"included","table_id","priority","long_name","units","comment","questions & notes","out_name","standard_name","unconfirmed or proposed standard name","unformatted units","cell_methods","valid_min","valid_max","ok_min_mean_abs","ok_max_mean_abs","positive","type","dimensions","name","modeling_realm","frequency","cell_measures","flag_values","flag_meanings","OMIP priority","OMIP override"
1,"Oclim",1,"Depth Below Geoid of Ocean Layer","m","None","This 3-d time dependent field should only be saved for models where it can't be calculated from the vertical coordinate information stored in the file.","zfull","depth_below_geoid","None","m","time: mean within years time: mean over years","None","None","None","None","None","real","longitude latitude olevel time2","zfull","ocean","monClim","area: areacello","None","None","",""
1,"Oclim",1,"Depth Below Geoid of Interfaces Between Ocean Layers","m","None","This 3-d time dependent field should only be saved for models where it can't be calculated from the vertical coordinate information stored in the file.","zhalf","depth_below_geoid","None","m","time: mean within years time: mean over years","None","None","None","None","None","real","longitude latitude olevel time2","zhalf","ocean","monClim","area: areacello","None","None","",""
1,"Amon",1,"Near-Surface Air Temperature","K","None","normally, the temperature should be reported at the 2 meter height","tas","air_temperature","None","K","time: mean","None","None","None","None","None","real","longitude latitude time height2m","tas","atmos","mon","area: areacella","None","None","",""
1,"Amon",1,"Surface Temperature","K","skin temperature (i.e., SST for open ocean)","None","ts","surface_temperature","None","K","time: mean","None","None","None","None","None","real","longitude latitude time","ts","atmos","mon","area: areacella","None","None","",""
1,"Amon",1,"Daily Minimum Near-Surface Air Temperature","K","monthly mean of the daily-minimum near-surface air temperature.","normally, this should be reported at the 2 meter height.","tasmin","air_temperature","None","K","time: minimum within days time: mean over days","None","None","None","None","None","real","longitude latitude time height2m","tasmin","atmos","mon","area: areacella","None","None","",""
1,"Amon",1,"Daily Maximum Near-Surface Air Temperature","K","monthly mean of the daily-maximum near-surface air temperature.","normally, this should be reported at the 2 meter height.","tasmax","air_temperature","None","K","time: maximum within days time: mean over days","None","None","None","None","None","real","longitude latitude time height2m","tasmax","atmos","mon","area: areacella","None","None","",""
1,"Amon",1,"Sea Level Pressure","Pa","not, in general, the same as surface pressure","None","psl","air_pressure_at_sea_level","None","Pa","time: mean","None","None","None","None","None","real","longitude latitude time","psl","atmos","mon","area: areacella","None","None","",""
1,"Amon",1,"Surface Air Pressure","Pa","not, in general, the same as mean sea-level pressure","None","ps","surface_air_pressure","None","Pa","time: mean","None","None","None","None","None","real","longitude latitude time","ps","atmos","mon","area: areacella","None","None","",""
1,"Amon",1,"Eastward Near-Surface Wind","m s-1","None","normally, the the wind component should be reported at the 10 meter height","uas","eastward_wind","None","m s-1","time: mean","None","None","None","None","None","real","longitude latitude time height10m","uas","atmos","mon","None","None","None","",""
1,"Amon",1,"Northward Near-Surface Wind","m s-1","None","normally, the the wind component should be reported at the 10 meter height","vas","northward_wind","None","m s-1","time: mean","None","None","None","None","None","real","longitude latitude time height10m","vas","atmos","mon","None","None","None","",""
1,"Amon",1,"Near-Surface Wind Speed","m s-1","This is the mean of the speed, not the speed computed from the mean u and
v components of wind","normally, the the wind  should be reported at the 10 meter height","sfcWind","wind_speed","None","m s-1","time: mean","None","None","None","None","None","real","longitude latitude time height10m","sfcWind","atmos","mon","None","None","None","",""
1,"Amon",1,"Near-Surface Relative Humidity","%","This is the relative humidity with respect to liquid water for T> 0 C, and with respect to ice for T<0 C.","express as a percentage.  Normally, the relative humidity  should be reported at the 2 meter height","hurs","relative_humidity","None","%","time: mean","None","None","None","None","None","real","longitude latitude time height2m","hurs","atmos","mon","area: areacella","None","None","",""
1,"Amon",1,"Near-Surface Specific Humidity",1,"None","Normally, the specific humidity should be reported at the 2 meter height","huss","specific_humidity","None",1,"time: mean","None","None","None","None","None","real","longitude latitude time height2m","huss","atmos","mon","area: areacella","None","None","",""
1,"Amon",1,"Precipitation","kg m-2 s-1","at surface; includes both liquid and solid phases from all types of clouds (both large-scale and convective)","None","pr","precipitation_flux","None","kg m-2 s-1","time: mean","None","None","None","None","None","real","longitude latitude time","pr","atmos","mon","area: areacella","None","None",2,""
1,"Amon",1,"Snowfall Flux","kg m-2 s-1","at surface; includes precipitation of all forms of water in the solid phase","None","prsn","snowfall_flux","None","kg m-2 s-1","time: mean","None","None","None","None","None","real","longitude latitude time","prsn","atmos","mon","area: areacella","None","None",2,""
1,"Amon",1,"Convective Precipitation","kg m-2 s-1","at surface; includes both liquid and solid phases.","None","prc","convective_precipitation_flux","None","kg m-2 s-1","time: mean","None","None","None","None","None","real","longitude latitude time","prc","atmos","mon","area: areacella","None","None","",""
1,"Amon",1,"Evaporation","kg m-2 s-1","at surface; flux of water into the atmosphere due to conversion of both liquid and solid phases to vapor (from underlying surface and vegetation)","None","evspsbl","water_evaporation_flux","None","kg m-2 s-1","time: mean","None","None","None","None","None","real","longitude latitude time","evspsbl","atmos","mon","area: areacella","None","None","",""
1,"Amon",1,"Surface Snow and Ice Sublimation Flux","kg m-2 s-1","The snow and ice sublimation flux is the loss of snow and ice mass from the surface resulting from their conversion to water vapor that enters the atmosphere.","This differs from sbl appearing in table Limon in that the flux is averaged over the entire grid cell, not just the land portion.","sbl","surface_snow_and_ice_sublimation_flux","None","kg m-2 s-1","time: mean","None","None","None","None","None","real","longitude latitude time","sbl","atmos","mon","area: areacella","None","None","",""
1,"Amon",1,"Surface Downward Eastward Wind Stress","Pa","None","None","tauu","surface_downward_eastward_stress","None","Pa","time: mean","None","None","None","None","down","real","longitude latitude time","tauu","atmos","mon","None","None","None","",""
1,"Amon",1,"Surface Downward Northward Wind Stress","Pa","None","None","tauv","surface_downward_northward_stress","None","Pa","time: mean","None","None","None","None","down","real","longitude latitude time","tauv","atmos","mon","None","None","None","",""
1,"Amon",1,"Surface Upward Latent Heat Flux","W m-2","includes both evaporation and sublimation","None","hfls","surface_upward_latent_heat_flux","None","W m-2","time: mean","None","None","None","None","up","real","longitude latitude time","hfls","atmos","mon","area: areacella","None","None",2,""
1,"Amon",1,"Surface Upward Sensible Heat Flux","W m-2","None","None","hfss","surface_upward_sensible_heat_flux","None","W m-2","time: mean","None","None","None","None","up","real","longitude latitude time","hfss","atmos","mon","area: areacella","None","None",2,""
1,"Amon",1,"Surface Downwelling Longwave Radiation","W m-2","None","None","rlds","surface_downwelling_longwave_flux_in_air","None","W m-2","time: mean","None","None","None","None","down","real","longitude latitude time","rlds","atmos","mon","area: areacella","None","None",2,""
1,"Amon",1,"Surface Upwelling Longwave Radiation","W m-2","None","None","rlus","surface_upwelling_longwave_flux_in_air","None","W m-2","time: mean","None","None","None","None","up","real","longitude latitude time","rlus","atmos","mon","area: areacella","None","None","",""
1,"Amon",1,"Surface Downwelling Shortwave Radiation","W m-2","None","None","rsds","surface_downwelling_shortwave_flux_in_air","None","W m-2","time: mean","None","None","None","None","down","real","longitude latitude time","rsds","atmos","mon","area: areacella","None","None","",""
1,"Amon",1,"Surface Upwelling Shortwave Radiation","W m-2","None","None","rsus","surface_upwelling_shortwave_flux_in_air","None","W m-2","time: mean","None","None","None","None","up","real","longitude latitude time","rsus","atmos","mon","area: areacella","None","None","",""
0,"Amon",1,"Surface Downwelling Clear-Sky Shortwave Radiation","W m-2","None","None","rsdscs","surface_downwelling_shortwave_flux_in_air_assuming_clear_sky","None","W m-2","time: mean","None","None","None","None","down","real","longitude latitude time","rsdscs","atmos","mon","area: areacella","None","None","",""
0,"Amon",1,"Surface Upwelling Clear-Sky Shortwave Radiation","W m-2","None","None","rsuscs","surface_upwelling_shortwave_flux_in_air_assuming_clear_sky","None","W m-2","time: mean","None","None","None","None","up","real","longitude latitude time","rsuscs","atmos","mon","area: areacella","None","None","",""
0,"Amon",1,"Surface Downwelling Clear-Sky Longwave Radiation","W m-2","None","None","rldscs","surface_downwelling_longwave_flux_in_air_assuming_clear_sky","None","W m-2","time: mean","None","None","None","None","down","real","longitude latitude time","rldscs","atmos","mon","area: areacella","None","None","",""
1,"Amon",1,"TOA Incident Shortwave Radiation","W m-2","at the top of the atmosphere","None","rsdt","toa_incoming_shortwave_flux","None","W m-2","time: mean","None","None","None","None","down","real","longitude latitude time","rsdt","atmos","mon","area: areacella","None","None","",""
1,"Amon",1,"TOA Outgoing Shortwave Radiation","W m-2","at the top of the atmosphere","None","rsut","toa_outgoing_shortwave_flux","None","W m-2","time: mean","None","None","None","None","up","real","longitude latitude time","rsut","atmos","mon","area: areacella","None","None","",""
1,"Amon",1,"TOA Outgoing Longwave Radiation","W m-2","at the top of the atmosphere (to be compared with satellite measurements)","None","rlut","toa_outgoing_longwave_flux","None","W m-2","time: mean","None","None","None","None","up","real","longitude latitude time","rlut","atmos","mon","area: areacella","None","None","",""
1,"Amon",1,"TOA Outgoing Clear-Sky Longwave Radiation","W m-2","None","None","rlutcs","toa_outgoing_longwave_flux_assuming_clear_sky","None","W m-2","time: mean","None","None","None","None","up","real","longitude latitude time","rlutcs","atmos","mon","area: areacella","None","None","",""
1,"Amon",1,"TOA Outgoing Clear-Sky Shortwave Radiation","W m-2","None","None","rsutcs","toa_outgoing_shortwave_flux_assuming_clear_sky","None","W m-2","time: mean","None","None","None","None","up","real","longitude latitude time","rsutcs","atmos","mon","area: areacella","None","None","",""
1,"Amon",1,"Water Vapor Path","kg m-2","vertically integrated through the atmospheric column","None","prw","atmosphere_water_vapor_content","None","kg m-2","time: mean","None","None","None","None","None","real","longitude latitude time","prw","atmos","mon","area: areacella","None","None","",""
1,"Amon",1,"Total Cloud Fraction","%","for the whole atmospheric column, as seen from the surface or the top of the atmosphere. Include both large-scale and convective cloud.","None","clt","cloud_area_fraction","None","%","time: mean","None","None","None","None","None","real","longitude latitude time","clt","atmos","mon","area: areacella","None","None","",""
1,"Amon",1,"Condensed Water Path","kg m-2","mass of condensed (liquid + ice) water in the column divided by the area of the column (not just the area of the cloudy portion of the column). Includes precipitating hydrometeors ONLY if the precipitating hydrometeor affects the calculation of radiative transfer in model.","None","clwvi","atmosphere_cloud_condensed_water_content","None","kg m-2","time: mean","None","None","None","None","None","real","longitude latitude time","clwvi","atmos","mon","area: areacella","None","None","",""
1,"Amon",1,"Ice Water Path","kg m-2","mass of ice water in the column divided by the area of the column (not just the area of the cloudy portion of the column). Includes precipitating frozen hydrometeors ONLY if the precipitating hydrometeor affects the calculation of radiative transfer in model.","None","clivi","atmosphere_cloud_ice_content","None","kg m-2","time: mean","None","None","None","None","None","real","longitude latitude time","clivi","atmos","mon","area: areacella","None","None","",""
0,"Amon",1,"Net Downward Flux at Top of Model","W m-2","i.e., at the top of that portion of the atmosphere where dynamics are explicitly treated by the model. This is reported only if it differs from the net downward radiative flux at the top of the atmosphere.","None","rtmt","net_downward_radiative_flux_at_top_of_atmosphere_model","None","W m-2","time: mean","None","None","None","None","down","real","longitude latitude time","rtmt","atmos","mon","area: areacella","None","None","",""
0,"Amon",1,"Air Pressure at Convective Cloud Base","Pa","None","None","ccb","air_pressure_at_convective_cloud_base","None","Pa","time: mean","None","None","None","None","None","real","longitude latitude time","ccb","atmos","mon","area: areacella","None","None","",""
0,"Amon",1,"Air Pressure at Convective Cloud Top","Pa","None","None","cct","air_pressure_at_convective_cloud_top","None","Pa","time: mean","None","None","None","None","None","real","longitude latitude time","cct","atmos","mon","area: areacella","None","None","",""
0,"Amon",1,"Fraction of Time Convection Occurs",1,"Fraction of time that convection occurs in the grid cell .","None","ci","convection_time_fraction","None",1,"time: mean","None","None","None","None","None","real","longitude latitude time","ci","atmos","mon","area: areacella","None","None","",""
0,"Amon",1,"Fraction of Time Shallow Convection Occurs",1,"Fraction of time that shallow convection occurs in the grid cell.","For models with a distinct shallow convection scheme only.","sci","shallow_convection_time_fraction","None",1,"time: mean","None","None","None","None","None","real","longitude latitude time","sci","atmos","mon","area: areacella","None","None","",""
0,"Amon",1,"Cloud Area Fraction","%","Includes both large-scale and convective cloud.","Report on model layers (not standard pressures).","cl","cloud_area_fraction_in_atmosphere_layer","None","%","time: mean","None","None","None","None","None","real","longitude latitude alevel time","cl","atmos","mon","area: areacella","None","None","",""
1,"Amon",1,"Mass Fraction of Cloud Liquid Water",1,"Includes both large-scale and convective cloud.  Calculate as the mass of cloud liquid water in the grid cell divided by the mass of air (including the water in all phases) in the grid cells. Precipitating hydrometeors are included ONLY if the precipitating hydrometeors affect the calculation of radiative transfer in model.","Report on model layers (not standard pressures).","clw","mass_fraction_of_cloud_liquid_water_in_air","None",1,"time: mean","None","None","None","None","None","real","longitude latitude alevel time","clw","atmos","mon","area: areacella","None","None","",""
1,"Amon",1,"Mass Fraction of Cloud Ice",1,"Includes both large-scale and convective cloud.  This is calculated as the mass of cloud ice in the grid cell divided by the mass of air (including the water in all phases) in the grid cell. It includes precipitating hydrometeors ONLY if the precipitating hydrometeors affect the calculation of radiative transfer in model.","Report on model layers (not standard pressures).","cli","mass_fraction_of_cloud_ice_in_air","None",1,"time: mean","None","None","None","None","None","real","longitude latitude alevel time","cli","atmos","mon","area: areacella","None","None","",""
0,"Amon",1,"Convective Mass Flux","kg m-2 s-1","The net mass flux should represent the difference between the updraft and downdraft components.  The flux is computed as the mass divided by the area of the grid cell.","Report on model half-levels (i.e., model layer bounds and not standard pressures).","mc","atmosphere_net_upward_convective_mass_flux","None","kg m-2 s-1","time: mean","None","None","None","None","up","real","longitude latitude alevhalf time","mc","atmos","mon","area: areacella","None","None","",""
1,"Amon",1,"Air Temperature","K","None","None","ta","air_temperature","None","K","time: mean","None","None","None","None","None","real","longitude latitude plevs time","ta","atmos","mon","area: areacella","None","None","",""
1,"Amon",1,"Eastward Wind","m s-1","None","None","ua","eastward_wind","None","m s-1","time: mean","None","None","None","None","None","real","longitude latitude plevs time","ua","atmos","mon","None","None","None","",""
1,"Amon",1,"Northward Wind","m s-1","None","None","va","northward_wind","None","m s-1","time: mean","None","None","None","None","None","real","longitude latitude plevs time","va","atmos","mon","None","None","None","",""
1,"Amon",1,"Specific Humidity",1,"None","None","hus","specific_humidity","None",1,"time: mean","None","None","None","None","None","real","longitude latitude plevs time","hus","atmos","mon","area: areacella","None","None","",""
1,"Amon",1,"Relative Humidity","%","This is the relative humidity with respect to liquid water for T> 0 C, and with respect to ice for T<0 C.","None","hur","relative_humidity","None","%","time: mean","None","None","None","None","None","real","longitude latitude plevs time","hur","atmos","mon","area: areacella","None","None","",""
1,"Amon",1,"omega (=dp/dt)","Pa s-1","commonly referred to as ""omega"", this represents the vertical component of velocity in pressure coordinates (positive down)","None","wap","lagrangian_tendency_of_air_pressure","None","Pa s-1","time: mean","None","None","None","None","None","real","longitude latitude plevs time","wap","atmos","mon","area: areacella","None","None","",""
1,"Amon",1,"Geopotential Height","m","None","None","zg","geopotential_height","None","m","time: mean","None","None","None","None","None","real","longitude latitude plevs time","zg","atmos","mon","area: areacella","None","None","",""
0,"Amon",1,"Pressure on Model Levels","Pa","None","None","pfull","air_pressure","None","Pa","time: mean within years time: mean over years","None","None","None","None","None","real","longitude latitude alevel time2","pfull","atmos","monClim","area: areacella","None","None","",""
0,"Amon",1,"Pressure on Model Half-Levels","Pa","None","None","phalf","air_pressure","None","Pa","time: mean within years time: mean over years","None","None","None","None","None","real","longitude latitude alevhalf time2","phalf","atmos","monClim","area: areacella","None","None","",""
1,"Omon",1,"Sea Water Mass","kg","None","None","masso","sea_water_mass","None","kg","time: mean area: sum where sea","None","None","None","None","None","real","time","masso","ocean","mon","None","None","None",1,""
1,"Omon",1,"Sea Water Pressure at Sea floor","dbar","None","None","pbo","sea_water_pressure_at_sea_floor","None","dbar","time: mean","None","None","None","None","None","real","longitude latitude time","pbo","ocean","mon","area: areacello","None","None",1,""
1,"Omon",1,"Sea Water Volume","m3","None","None","volo","sea_water_volume","None","m3","time: mean area: sum where sea","None","None","None","None","None","real","time","volo","ocean","mon","None","None","None",1,""
1,"Omon",1,"Sea Surface Height Above Geoid","m","None","None","zos","sea_surface_height_above_geoid","None","m","time: mean","None","None","None","None","None","real","longitude latitude time","zos","ocean","mon","area: areacello","None","None",1,""
0,"Omon",1,"Global Average Sea Level Change","m","None","None","zosga","global_average_sea_level_change","None","m","time: mean area: mean where sea","None","None","None","None","None","real","time","zosga","ocean","mon","None","None","None","",""
0,"Omon",1,"Global Average Steric Sea Level Change","m","None","None","zossga","global_average_steric_sea_level_change","None","m","time: mean area: mean where sea","None","None","None","None","None","real","time","zossga","ocean","mon","None","None","None","",""
0,"Omon",1,"Global Average Thermosteric Sea Level Change","m","None","None","zostoga","global_average_thermosteric_sea_level_change","None","m","time: mean area: mean where sea","None","None","None","None","None","real","time","zostoga","ocean","mon","None","None","None",1,""
0,"Omon",1,"Sea Water Mass Per Unit Area","kg m-2","None","None","masscello","sea_water_mass_per_unit_area","None","kg m-2","time: mean","None","None","None","None","None","real","longitude latitude olevel time","masscello","ocean","mon","area: areacello volume: volcello","None","None",1,""
0,"Omon",1,"Ocean Model Cell Thickness","m","None","None","thkcello","cell_thickness","None","m","time: mean","None","None","None","None","None","real","longitude latitude olevel time","thkcello","ocean","mon","area: areacello volume: volcello","None","None",1,""
1,"Omon",1,"Sea Water Potential Temperature","K","None","None","thetao","sea_water_potential_temperature","None","K","time: mean","None","None","None","None","None","real","longitude latitude olevel time","thetao","ocean","mon","area: areacello volume: volcello","None","None",1,""
1,"Omon",1,"Global Average Sea Water Potential Temperature","K","None","None","thetaoga","sea_water_potential_temperature","None","K","time: mean area: mean where sea","None","None","None","None","None","real","time","thetaoga","ocean","mon","None","None","None",1,""
1,"Omon",1,"Sea Water Salinity","psu","None","None","so","sea_water_salinity","None","psu","time: mean","None","None","None","None","None","real","longitude latitude olevel time","so","ocean","mon","area: areacello volume: volcello","None","None",1,""
1,"Omon",1,"Global Mean Sea Water Salinity","psu","None","None","soga","sea_water_salinity","None","psu","time: mean area: mean where sea","None","None","None","None","None","real","time","soga","ocean","mon","None","None","None",1,""
1,"Omon",1,"Sea Water X Velocity","m s-1","None","None","uo","sea_water_x_velocity","None","m s-1","time: mean","None","None","None","None","None","real","longitude latitude olevel time","uo","ocean","mon","None","None","None",1,""
1,"Omon",1,"Sea Water Y Velocity","m s-1","None","None","vo","sea_water_y_velocity","None","m s-1","time: mean","None","None","None","None","None","real","longitude latitude olevel time","vo","ocean","mon","None","None","None",1,""
1,"Omon",1,"Upward Ocean Mass Transport","kg s-1","differs from CMIP3, which only had upward velocity.","None","wmo","upward_ocean_mass_transport","None","kg s-1","time: mean","None","None","None","None","None","real","longitude latitude olevel time","wmo","ocean","mon","area: areacello volume: volcello","None","None",1,""
1,"Omon",1,"Square of Upward Ocean Mass Transport","kg2 s-2","None","None","wmosq","square_of_upward_ocean_mass_transport","None","kg2 s-2","time: mean","None","None","None","None","None","real","longitude latitude olevel time","wmosq","ocean","mon","area: areacello volume: volcello","None","None","",""
0,"Omon",1,"Water Flux into Sea Water due to Sea Ice Thermodynamics","kg m-2 s-1","computed as the sea ice thermodynamic water flux into the ocean divided by the area of the ocean portion of the grid cell.","The priority set by the WGOMD was 2 for this field.  The sea-ice folks requested that the priority be raised to 1.","fsitherm","water_flux_into_sea_water_due_to_sea_ice_thermodynamics","None","kg m-2 s-1","time: mean area: mean where sea","None","None","None","None","None","real","longitude latitude time","fsitherm","ocean seaIce","mon","area: areacello","None","None",2,""
1,"Omon",1,"Virtual Salt Flux into Sea Water due to Sea Ice Thermodynamics","kg m-2 s-1","This variable measures the virtual salt flux into sea water due to the melting of sea ice. It is set to zero in models which receive a real water flux.","The priority set by the WGOMD was 2 for this field.  The sea-ice folks requested that the priority be raised to 1.","vsfsit","virtual_salt_flux_into_sea_water_due_to_sea_ice_thermodynamics","None","kg m-2 s-1","time: mean area: mean where sea","None","None","None","None","None","real","longitude latitude time","vsfsit","ocean seaIce","mon","area: areacello","None","None",2,""
1,"Omon",1,"Downward Sea Ice Basal Salt Flux","kg m-2 s-1","This field is physical, and it arises since sea ice has a nonzero salt content, so it exchanges salt with the liquid ocean upon melting and freezing.","The priority set by the WGOMD was 2 for this field.  The sea-ice folks requested that the priority be raised to 1.","sfdsi","downward_sea_ice_basal_salt_flux","None","kg m-2 s-1","time: mean area: mean where sea","None","None","None","None","None","real","longitude latitude time","sfdsi","ocean seaIce","mon","area: areacello","None","None",1,""
0,"Omon",1,"Heat Flux into Sea Water due to Frazil Ice Formation","W m-2","None","As of May 2010, the WGOMD document recommends that this field should be saved instead of the field listed 2-lines below.  In general this should be reported as a function of depth, (i.e.,  it will be a function of the generic ""XYZ"" dimensions).  Include enough depth levels to represent  the non-zero values of this field everywhere on the globe.","hfsifrazil","heat_flux_into_sea_water_due_to_freezing_of_frazil_ice","None","W m-2","time: mean area: mean where sea","None","None","None","None","None","real","longitude latitude olevel time","hfsifrazil","ocean seaIce","mon","area: areacello","None","None",2,""
0,"Omon",1,"Heat Flux into Sea Water due to Frazil Ice Formation","W m-2","None","If only the vertically integrated heat flux is available, report as this 2-d field; otherwise the row above should be used.","hfsifrazil","heat_flux_into_sea_water_due_to_freezing_of_frazil_ice","None","W m-2","time: mean area: mean where sea","None","None","None","None","None","real","longitude latitude time","hfsifrazil2d","ocean seaIce","mon","area: areacello","None","None",2,""
1,"Omon",1,"Heat Flux into Sea Water due to Sea Ice Thermodynamics","W m-2","None","The priority set by the WGOMD was 2 for this field.  The sea-ice folks requested that the priority be raised to 1.  As of May 2010, the WGOMD document recommends that instead of saving this field, the field listed 2-lines above should be saved instead.  In general this should be reported as a function of depth, (i.e.,  it will be a function of the generic ""XYZ"" dimensions).  Include enough depth levels to represent  the non-zero values of this field everywhere on the globe.","hfsithermds","heat_flux_into_sea_water_due_to_sea_ice_thermodynamics","None","W m-2","time: mean area: mean where sea","None","None","None","None","None","real","longitude latitude olevel time","hfsithermds","ocean seaIce","mon","area: areacello","None","None",2,""
0,"Omon",1,"Heat Flux into Sea Water due to Sea Ice Thermodynamics","W m-2","None","If only the vertically integrated heat flux is available, report as this 2-d field; otherwise the row above should be used.","hfsithermds","heat_flux_into_sea_water_due_to_sea_ice_thermodynamics","None","W m-2","time: mean area: mean where sea","None","None","None","None","None","real","longitude latitude time","hfsithermds2d","ocean seaIce","mon","area: areacello","None","None",2,""
1,"Omon",1,"Downward Heat Flux at Sea Water Surface","W m-2","This is the net flux of heat entering the liquid water column through its upper surface (excluding any ""flux adjustment"") .","None","hfds","surface_downward_heat_flux_in_sea_water","None","W m-2","time: mean area: mean where sea","None","None","None","None","down","real","longitude latitude time","hfds","ocean","mon","area: areacello","None","None",1,""
1,"Omon",1,"Depth Below Geoid of Ocean Layer","m","None","This 3-d time dependent field should only be saved for models where it can't be calculated from the vertical coordinate information stored in the file.","zfull","depth_below_geoid","None","m","time: mean area: mean where sea","None","None","None","None","None","real","longitude latitude olevel time","zfull","ocean","mon","area: areacello","None","None","",""
1,"Omon",1,"Depth Below Geoid of Interfaces Between Ocean Layers","m","None","This 3-d time dependent field should only be saved for models where it can't be calculated from the vertical coordinate information stored in the file.","zhalf","depth_below_geoid","None","m","time: mean area: mean where sea","None","None","None","None","None","real","longitude latitude olevel time","zhalf","ocean","mon","area: areacello","None","None","",""
1,"Lmon",1,"Moisture in Upper Portion of Soil Column","kg m-2","the mass of water in all phases in a thin surface soil layer.","integrate over uppermost 10 cm","mrsos","moisture_content_of_soil_layer","None","kg m-2","time: mean area: mean where land","None","None","None","None","None","real","longitude latitude time sdepth1","mrsos","land","mon","area: areacella","None","None","",""
1,"Lmon",1,"Total Soil Moisture Content","kg m-2","the mass per unit area  (summed over all soil layers) of water in all phases.","None","mrso","soil_moisture_content","None","kg m-2","time: mean area: mean where land","None","None","None","None","None","real","longitude latitude time","mrso","land","mon","area: areacella","None","None","",""
1,"Lmon",1,"Soil Frozen Water Content","kg m-2","the mass (summed over all all layers) of frozen water.","None","mrfso","soil_frozen_water_content","None","kg m-2","time: mean area: mean where land","None","None","None","None","None","real","longitude latitude time","mrfso","land landIce","mon","area: areacella","None","None","",""
1,"Lmon",1,"Surface Runoff","kg m-2 s-1","the total surface runoff leaving the land portion of the grid cell.","None","mrros","surface_runoff_flux","None","kg m-2 s-1","time: mean area: mean where land","None","None","None","None","None","real","longitude latitude time","mrros","land","mon","area: areacella","None","None","",""
1,"Lmon",1,"Total Runoff","kg m-2 s-1","the total runoff (including ""drainage"" through the base of the soil model) leaving the land portion of the grid cell.","None","mrro","runoff_flux","None","kg m-2 s-1","time: mean area: mean where land","None","None","None","None","None","real","longitude latitude time","mrro","land","mon","area: areacella","None","None","",""
0,"Lmon",1,"Evaporation from Canopy","kg m-2 s-1","the canopy evaporation+sublimation (if present in model).","None","evspsblveg","water_evaporation_flux_from_canopy","None","kg m-2 s-1","time: mean area: mean where land","None","None","None","None","up","real","longitude latitude time","evspsblveg","land","mon","area: areacella","None","None","",""
