"included","table_id","priority","long_name","units","comment","questions & notes","out_name","standard_name","uncinfirmed or proposed standard name","unformatted units","cell_methods","valid_min","valid_max","ok_min_mean_abs","ok_max_mean_abs","positive","dimensions","type","name","modeling_realm","frequency","cell_measures","flag_values","flag_meanings","OMIP priority","OMIP override"
"1","Oclim","1","Depth Below Geoid of Ocean Layer","m","","None","zfull","depth_below_geoid","None","m","time: mean within years time: mean over years","","","","","","longitude latitude olevel time2","real","zfull","ocean","monClim","area: areacello","None","None","",""
"1","Oclim","1","Depth Below Geoid of Interfaces Between Ocean Layers","m","","None","zhalf","depth_below_geoid","None","m","time: mean within years time: mean over years","","","","","","longitude latitude olevel time2","real","zhalf","ocean","monClim","area: areacello","None","None","",""
"1","Amon","1","Near-Surface Air Temperature","K","","None","tas","air_temperature","None","K","time: mean","","","","","","longitude latitude time height2m","real","tas","atmos","mon","area: areacella","None","None","",""
"1","Amon","1","Surface Temperature","K","skin temperature (i.e., SST for open ocean)","None","ts","surface_temperature","None","K","time: mean","","","","","","longitude latitude time","real","ts","atmos","mon","area: areacella","None","None","",""
"1","Amon","1","Daily Minimum Near-Surface Air Temperature","K","monthly mean of the daily-minimum near-surface air temperature.","None","tasmin","air_temperature","None","K","time: minimum within days time: mean over days","","","","","","longitude latitude time height2m","real","tasmin","atmos","mon","area: areacella","None","None","",""
"1","Amon","1","Daily Maximum Near-Surface Air Temperature","K","monthly mean of the daily-maximum near-surface air temperature.","None","tasmax","air_temperature","None","K","time: maximum within days time: mean over days","","","","","","longitude latitude time height2m","real","tasmax","atmos","mon","area: areacella","None","None","",""
"1","Amon","1","Sea Level Pressure","Pa","not, in general, the same as surface pressure","None","psl","air_pressure_at_sea_level","None","Pa","time: mean","","","","","","longitude latitude time","real","psl","atmos","mon","area: areacella","None","None","",""
"1","Amon","1","Surface Air Pressure","Pa","not, in general, the same as mean sea-level pressure","None","ps","surface_air_pressure","None","Pa","time: mean","","","","","","longitude latitude time","real","ps","atmos","mon","area: areacella","None","None","",""
"1","Amon","1","Eastward Near-Surface Wind","m s-1","","None","uas","eastward_wind","None","m s-1","time: mean","","","","","","longitude latitude time height10m","real","uas","atmos","mon","","None","None","",""
"1","Amon","1","Northward Near-Surface Wind","m s-1","","None","vas","northward_wind","None","m s-1","time: mean","","","","","","longitude latitude time height10m","real","vas","atmos","mon","","None","None","",""
"1","Amon","1","Near-Surface Wind Speed","m s-1","This is the mean of the speed, not the speed computed from the mean u and
v components of wind","None","sfcWind","wind_speed","None","m s-1","time: mean","","","","","","longitude latitude time height10m","real","sfcWind","atmos","mon","","None","None","",""
"1","Amon","1","Near-Surface Relative Humidity","%","This is the relative humidity with respect to liquid water for T> 0 C, and with respect to ice for T<0 C.","None","hurs","relative_humidity","None","%","time: mean","","","","","","longitude latitude time height2m","real","hurs","atmos","mon","area: areacella","None","None","",""
"1","Amon","1","Near-Surface Specific Humidity","1","","None","huss","specific_humidity","None","1","time: mean","","","","","","longitude latitude time height2m","real","huss","atmos","mon","area: areacella","None","None","",""
"1","Amon","1","Precipitation","kg m-2 s-1","at surface; includes both liquid and solid phases from all types of clouds (both large-scale and convective)","None","pr","precipitation_flux","None","kg m-2 s-1","time: mean","","","","","","longitude latitude time","real","pr","atmos","mon","area: areacella","None","None","",""
"1","Amon","1","Snowfall Flux","kg m-2 s-1","at surface; includes precipitation of all forms of water in the solid phase","None","prsn","snowfall_flux","None","kg m-2 s-1","time: mean","","","","","","longitude latitude time","real","prsn","atmos","mon","area: areacella","None","None","",""
"1","Amon","1","Convective Precipitation","kg m-2 s-1","at surface; includes both liquid and solid phases.","None","prc","convective_precipitation_flux","None","kg m-2 s-1","time: mean","","","","","","longitude latitude time","real","prc","atmos","mon","area: areacella","None","None","",""
"1","Amon","1","Evaporation","kg m-2 s-1","at surface; flux of water into the atmosphere due to conversion of both liquid and solid phases to vapor (from underlying surface and vegetation)","None","evspsbl","water_evaporation_flux","None","kg m-2 s-1","time: mean","","","","","","longitude latitude time","real","evspsbl","atmos","mon","area: areacella","None","None","",""
"1","Amon","1","Surface Snow and Ice Sublimation Flux","kg m-2 s-1","The snow and ice sublimation flux is the loss of snow and ice mass from the surface resulting from their conversion to water vapor that enters the atmosphere.","None","sbl","surface_snow_and_ice_sublimation_flux","None","kg m-2 s-1","time: mean","","","","","","longitude latitude time","real","sbl","atmos","mon","area: areacella","None","None","",""
"1","Amon","1","Surface Downward Eastward Wind Stress","Pa","","None","tauu","surface_downward_eastward_stress","None","Pa","time: mean","","","","","down","longitude latitude time","real","tauu","atmos","mon","","None","None","",""
"1","Amon","1","Surface Downward Northward Wind Stress","Pa","","None","tauv","surface_downward_northward_stress","None","Pa","time: mean","","","","","down","longitude latitude time","real","tauv","atmos","mon","","None","None","",""
"1","Amon","1","Surface Upward Latent Heat Flux","W m-2","includes both evaporation and sublimation","None","hfls","surface_upward_latent_heat_flux","None","W m-2","time: mean","","","","","up","longitude latitude time","real","hfls","atmos","mon","area: areacella","None","None","",""
"1","Amon","1","Surface Upward Sensible Heat Flux","W m-2","","None","hfss","surface_upward_sensible_heat_flux","None","W m-2","time: mean","","","","","up","longitude latitude time","real","hfss","atmos","mon","area: areacella","None","None","",""
