"included","index","table_id","name","previous_table","frequency","comment","shape","levels","time_method","mask","priority","override","level_set","notes"
0,30,"1hrLev","pr","3hr","1hr","Total precipitation flux","XYT",,"Mean",,1,,,
0,31,"1hrLev","prc","3hr","1hr","Convective precipitation flux","XYT",,"Mean",,1,,,
0,87,"6hrPlev_intense","huss","3hr","6hr",,"XYT",,"Synoptic",,3,,,
0,123,"1ts","pr","3hr","Timestep","Total precipitation flux","XYT","surface","synoptic",,3,,,
0,124,"1ts","prc","3hr","Timestep","Convective precipitation flux","XYT","surface","synoptic",,3,,,
0,129,"1ts","hfss","3hr","Timestep",,"XYT","surface","synoptic",,3,,,
0,130,"1ts","hfls","3hr","Timestep",,"XYT","surface","synoptic",,3,,,
1,3,"Amon_ext","ua","6hrPlev","mon","in Amon","XYZT",7,"Mean",,1,,"plev7h",
1,4,"Amon_ext","va","6hrPlev","mon","in Amon","XYZT",7,"Mean",,1,,"plev7h",
1,10,"6hrPlev_extr","ua","6hrPlev","6hr","Extra levels - 925, 700, 600, 300, 50","XYZT",7,"Synoptic",,1,"3hrPlev","plev7h","please produce these 3 hourly if possible. If not possible produce them 6 hourly. Do not produce both."
1,11,"6hrPlev_extr","va","6hrPlev","6hr","Extra levels - 925, 700, 600, 300, 50","XYZT",7,"Synoptic",,1,"3hrPlev","plev7h","please produce these 3 hourly if possible. If not possible produce them 6 hourly. Do not produce both."
1,12,"6hrPlev_extr","ta","6hrPlev","6hr","Extra levels - 925, 700, 600, 300, 50","XYZT",7,"Synoptic",,1,,"plev7h",
1,16,"6hrPlev_extr_dr","ua","6hrPlev","6hr","eastward wind on plev4","XYZT",4,"Mean",,1,"3hrPlev, 6hrPlev_extr","plev4","please produce these 3 hourly if possible. If not possible produce them 6 hourly. Do not produce both."
1,17,"6hrPlev_extr_dr","va","6hrPlev","6hr","northward wind on plev4","XYZT",4,"Mean",,1,"3hrPlev, 6hrPlev_extr","plev4","please produce these 3 hourly if possible. If not possible produce them 6 hourly. Do not produce both."
1,21,"3hr_extr","ua","6hrPlev","3hr","Eastward wind on 850 hPa","XYT",1,"Synoptic",,1,,,
1,22,"3hr_extr","va","6hrPlev","3hr","Northward wind on 850 hPa","XYT",1,"Synoptic",,1,,,
1,23,"3hr_extr","psl","6hrPlev","3hr","Sea level pressure","XYT",,"Synoptic",,1,,,
1,25,"3hrPlev","ua","6hrPlev","3hr","Eastward wind on pressure levels","XYZT",4,"Synoptic",,2,,"plev4",
1,26,"3hrPlev","va","6hrPlev","3hr","Northward wind on pressure levels","XYZT",4,"Synoptic",,2,,"plev4",
0,28,"3hrPlev","ta","6hrPlev","3hr","Temperature on pressure levels","XYZT",4,"Synoptic",,2,,"plev4",
1,91,"6hrPlev_intense","psl","6hrPlev","6hr",,"XYT",,"Synoptic",,3,,,
1,5,"Amon_ext","hus","Amon","mon","in Amon","XYZT",7,"Mean",,1,,"plev7h",
1,6,"day_jet","ua","Amon","mon",,"XYZT",17,"Synoptic",,1,,"plev17",
0,7,"day_jet","va","Amon","day",,"XYZT",17,"Synoptic",,1,,"plev17",
0,13,"6hrPlev_extr","hus","Amon","6hr","Extra levels - 925, 700, 600, 300, 50","XYZT",7,"Synoptic",,1,"3hrPlev","plev7h","please produce these 3 hourly if possible. If not possible produce them 6 hourly. Do not produce both."
0,18,"6hrPlev_extr_dr","wap","Amon","6hr","omega on plev4","XYZT",4,"Mean",,1,"3hrPlev","plev4","please produce these 3 hourly if possible. If not possible produce them 6 hourly. Do not produce both."
0,19,"6hrPlev_extr_dr","hus","Amon","6hr","specific humidity on plev4","XYZT",4,"Mean",,1,"3hrPlev, 6hrPlev_extr","plev4","please produce these 3 hourly if possible. If not possible produce them 6 hourly. Do not produce both."
