"Priority","Long name","units","description","comment","Variable Name","CF Standard Name","cell_methods","positive","type","dimensions","CMOR Name","modeling_realm","frequency","cell_measures","prov","provNote","rowIndex","vid","MIPs (requesting)","MIPs (by experiment)","uid","AWI","CNRM","CMCC","ECEarth","MPI","METOFFICE","MO_key","STASH"
"1","Eastward Near-Surface Wind","m s-1","near-surface (usually, 10 meters) eastward component of wind.","Near surface eastward wind","uas","eastward_wind","time: point","None","real","longitude latitude time1","uas","atmos","6hr","area: areacella","HighResMIP [6hrPlev_extr]",,"14","e72b243a2a1c8691ab0168d8b62534c2","DCPP,HighResMIP","CMIP6,DCPP,DECK,HighResMIP","0ad64260-00a8-11e6-ab7d-5404a60d96b5","x",1,"False","x","x","False","lo-la-ti__uas","m01s03i225"
"1","Northward Near-Surface Wind","m s-1","unset","Near surace northward wind","vas","northward_wind","time: point","None","real","longitude latitude time1","vas","atmos","6hr","area: areacella","HighResMIP [6hrPlev_extr]",,"15","86b1cd51f370e346ecb20f1e80cb6ea4","DCPP,HighResMIP","CMIP6,DCPP,DECK,HighResMIP","0ad647b0-00a8-11e6-ab7d-5404a60d96b5","x",1,"False","x","x","False","lo-la-ti__vas","m01s03i226"
"1","vorticity_mean_850_700","s-1","Mean vorticity over 850,700,600 hPa","Mean vorticity over 850,700,600 hPa","vortmean",,"time: point",,,"longitude latitude plev3 time1","vortmean","atmos","6hr","area: areacella","HighResMIP [6hrPlev_extr]",,"21","59152e1c-9e49-11e5-803c-0d0b866b59f3","HighResMIP","CMIP6,DECK,HighResMIP","0ad66916-00a8-11e6-ab7d-5404a60d96b5","x",1,"False","x","False","UM:1","lo-la-p-ti__vortmean","m01s30i457"
"3","Air Temperature","K",,,"ta","air_temperature","time: point","None","real","longitude latitude plev27 time1","ta27","atmos","6hr","area: areacella","HighResMIP [6hrPlev_intense]",,"14","b9c3eb96337c69c1c4a5aab1317f5563","HighResMIP","CMIP6,DECK,HighResMIP","4a63c2b6-00b9-11e6-a080-5404a60d96b5","False","False","False","False","False","False","lo-la-p-ti__ta27","m01s30i204,m01s30i301"
"3","Pressure on Model Levels","Pa","unset",,"pfull","air_pressure","time: point",,,"longitude latitude plev27 time1","pfull27","atmos","6hr","area: areacella","HighResMIP [6hrPlev_intense]",,"15","7a107875bd58c5e655e8f87152a3bad7","HighResMIP","CMIP6,DECK,HighResMIP","4a5e22c0-00b9-11e6-a080-5404a60d96b5","False","False","False","False","False","False","lo-la-p-ti__pfull27","Structure not defined"
"3","Geopotential Height","m",,,"zg","geopotential_height","time: point","None","real","longitude latitude plev27 time1","zg27","atmos","6hr","area: areacella","HighResMIP [6hrPlev_intense]",,"16","28e774ec0ecd561a6a3d437e6c443a6b","HighResMIP","CMIP6,DECK,HighResMIP","4a5e9bce-00b9-11e6-a080-5404a60d96b5","False","False","False","False","False","False","lo-la-p-ti__zg27","m01s30i207,m01s30i301"
"3","Specific Humidity","1.0",,,"hus","specific_humidity","time: point","None","real","longitude latitude plev27 time1","hus27","atmos","6hr","area: areacella","HighResMIP [6hrPlev_intense]",,"17","53f4724d228998d54191c73352532ce3","HighResMIP","CMIP6,DECK,HighResMIP","4a63c78e-00b9-11e6-a080-5404a60d96b5","False","False","False","False","False","False","lo-la-p-ti__hus27","m01s30i205,m01s30i301"
"3","cloud_ice_mixing_ratio",,"Cloud ice mixing ratio",,"cldicemxrat","cloud_ice_mixing_ratio","time: point",,,"longitude latitude plev27 time1","cldicemxrat27","atmos","6hr","area: areacella","HighResMIP [6hrPlev_intense]",,"18","5913a2fe-9e49-11e5-803c-0d0b866b59f3","HighResMIP","CMIP6,DECK,HighResMIP","4a63575e-00b9-11e6-a080-5404a60d96b5","False","False","False","False","False","False","lo-la-p-ti__cldicemxrat27",
"3","cloud_water_mixing_ratio",,"Cloud water mixing ratio",,"cldwatmxrat","cloud_liquid_water_mixing_ratio","time: point",,,"longitude latitude plev27 time1","cldwatmxrat27","atmos","6hr","area: areacella","HighResMIP [6hrPlev_intense]",,"19","59151288-9e49-11e5-803c-0d0b866b59f3","HighResMIP","CMIP6,DECK,HighResMIP","4a655856-00b9-11e6-a080-5404a60d96b5","False","False","False","False","False","False","lo-la-p-ti__cldwatmxrat27",
"3","rain_mixing_ratio",,"Rain mixing ratio",,"rainmxrat","mass_fraction_of_rain_in_air","time: point",,,"longitude latitude plev27 time1","rainmxrat27","atmos","6hr","area: areacella","HighResMIP [6hrPlev_intense]",,"20","5914b9be-9e49-11e5-803c-0d0b866b59f3","HighResMIP","CMIP6,DECK,HighResMIP","4a615814-00b9-11e6-a080-5404a60d96b5","False","False","SOILLIQ","False","False","False","lo-la-p-ti__rainmxrat27",
