"priority","long_name","units","description","comment","name","standard_name","cell_methods","positive","type","dimensions","out_name","modeling_realm","frequency","cell_measures","prov","provNote","rowIndex","vid","MIPs (requesting)","MIPs (by experiment)","uid","AWI","CNRM","CMCC","ECEarth","MPI","METOFFICE","MO_key","STASH"
"1",,"K","near-surface (usually, 2 meter) air temperature","None","tas","air_temperature","time: mean","None","real","longitude latitude time  height2m","tas","atmos","mon","area: areacella","CMIP5 [Amon] ((isd.002))",,"15","5c4978e802ba55d5a298cf1b3bdc2b3a","AerChemMIP,C4MIP,CFMIP,DAMIP,DCPP,DynVar,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,LUMIP,PMIP,RFMIP,VolMIP","AerChemMIP,C4MIP,CFMIP,CMIP6,DAMIP,DCPP,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,LS3MIP,LUMIP,OMIP,PMIP,RFMIP,ScenarioMIP,SolarMIP,VolMIP","bab9237c-e5dd-11e5-8482-ac72891c3257","x",1,"TREFHT","x","x","UM:1","lo-la-ti-h__tas","m01s03i236"
"1","Surface Temperature","K","""skin"" temperature (i.e., SST for open ocean)","""""skin"""" temperature (i.e., SST for open ocean)","ts","surface_temperature","time: mean","None","real","longitude latitude time","ts","atmos","mon","area: areacella","CMIP5 [Amon] ((isd.002))",,"16","90c49fce92dc1f21647dad07d1342843","AerChemMIP,C4MIP,CFMIP,DAMIP,DCPP,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,LUMIP,PMIP,RFMIP,VolMIP","AerChemMIP,C4MIP,CFMIP,CMIP6,DAMIP,DCPP,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,LS3MIP,LUMIP,OMIP,PMIP,RFMIP,ScenarioMIP,VolMIP","babaef0e-e5dd-11e5-8482-ac72891c3257","x",1,"TS","x","x","UM:1","lo-la-ti__ts","m01s00i024"
"1","Daily Minimum Near-Surface Air Temperature","K","minimum near-surface (usually, 2 meter) air temperature (add cell_method attribute ""time: min"")","monthly mean of the daily-minimum near-surface air temperature.","tasmin","air_temperature","time: minimum within days time: mean over days","None","real","longitude latitude time  height2m","tasmin","atmos","mon","area: areacella","CMIP5 [Amon] ((isd.002))",,"17","cce3dd39c138bf3c4d713263cc2e6cff","AerChemMIP,C4MIP,CFMIP,DAMIP,DCPP,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,LUMIP,PMIP,RFMIP,VolMIP","AerChemMIP,C4MIP,CFMIP,CMIP6,DAMIP,DCPP,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,LS3MIP,LUMIP,OMIP,PMIP,RFMIP,ScenarioMIP,VolMIP","bab955ea-e5dd-11e5-8482-ac72891c3257","x",1,"TREFHTMN o TREFMNAV ?","x","x","UM:1","lo-la-ti-h__tasmin","m01s03i236"
"1","Daily Maximum Near-Surface Air Temperature","K","maximum near-surface (usually, 2 meter) air temperature (add cell_method attribute ""time: max"")","monthly mean of the daily-maximum near-surface air temperature.","tasmax","air_temperature","time: maximum within days time: mean over days","None","real","longitude latitude time  height2m","tasmax","atmos","mon","area: areacella","CMIP5 [Amon] ((isd.002))",,"18","2dd48e8c50b4b88a83ff07d308e4e642","AerChemMIP,C4MIP,CFMIP,DAMIP,DCPP,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,LUMIP,PMIP,RFMIP,VolMIP","AerChemMIP,C4MIP,CFMIP,CMIP6,DAMIP,DCPP,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,LS3MIP,LUMIP,OMIP,PMIP,RFMIP,ScenarioMIP,VolMIP","bab942a8-e5dd-11e5-8482-ac72891c3257","x",1,"TREFHTMX o TREFMXAV ?","x","x","UM:1","lo-la-ti-h__tasmax","m01s03i236"
"1","Sea Level Pressure","Pa","unset","not, in general, the same as surface pressure","psl","air_pressure_at_sea_level","time: mean","None","real","longitude latitude time","psl","atmos","mon","area: areacella","CMIP5 [Amon] ((isd.002))",,"19","3d23c359f44d6a153c4dcab9e07d7cb6","AerChemMIP,C4MIP,CFMIP,DAMIP,DCPP,DynVar,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,LUMIP,PMIP,RFMIP,VolMIP","AerChemMIP,C4MIP,CFMIP,CMIP6,DAMIP,DCPP,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,LS3MIP,LUMIP,OMIP,PMIP,RFMIP,ScenarioMIP,SolarMIP,VolMIP","bab48ce0-e5dd-11e5-8482-ac72891c3257","x",1,"PSL","x","x","UM:1","lo-la-ti__psl","m01s16i222"
"1","Surface Air Pressure","Pa","surface pressure (not mean sea-level pressure), 2-D field to calculate the 3-D pressure field from hybrid coordinates","not, in general, the same as mean sea-level pressure","ps","surface_air_pressure","time: mean","None","real","longitude latitude time","ps","atmos","mon","area: areacella","CMIP5 [Amon] ((isd.002))",,"20","8c9504d28596e05586c8e193082ac617","AerChemMIP,C4MIP,CFMIP,DAMIP,DCPP,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,LUMIP,PMIP,RFMIP,VolMIP","AerChemMIP,C4MIP,CFMIP,CMIP6,DAMIP,DCPP,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,LS3MIP,LUMIP,OMIP,PMIP,RFMIP,ScenarioMIP,VolMIP","bab47b56-e5dd-11e5-8482-ac72891c3257","x",1,"PS","x","x","UM:1","lo-la-ti__ps","m01s00i409"
"1","Eastward Near-Surface Wind","m s-1","near-surface (usually, 10 meters) eastward component of wind.","None","uas","eastward_wind","time: mean","None","real","longitude latitude time  height10m","uas","atmos","mon",,"CMIP5 [Amon] ((isd.002))",,"21","e72b243a2a1c8691ab0168d8b62534c2","AerChemMIP,C4MIP,CFMIP,DAMIP,DCPP,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,LUMIP,PMIP,RFMIP,VolMIP","AerChemMIP,C4MIP,CFMIP,CMIP6,DAMIP,DCPP,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,LS3MIP,LUMIP,OMIP,PMIP,RFMIP,ScenarioMIP,VolMIP","babb67c2-e5dd-11e5-8482-ac72891c3257","x",1,"da UBOT e U10 (anto)","x","x","UM:1","lo-la-ti-h__uas","m01s03i225"
"1","Northward Near-Surface Wind","m s-1","unset","None","vas","northward_wind","time: mean","None","real","longitude latitude time  height10m","vas","atmos","mon",,"CMIP5 [Amon] ((isd.002))",,"22","86b1cd51f370e346ecb20f1e80cb6ea4","AerChemMIP,C4MIP,CFMIP,DAMIP,DCPP,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,LUMIP,PMIP,RFMIP,VolMIP","AerChemMIP,C4MIP,CFMIP,CMIP6,DAMIP,DCPP,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,LS3MIP,LUMIP,OMIP,PMIP,RFMIP,ScenarioMIP,VolMIP","babbcd34-e5dd-11e5-8482-ac72891c3257","x",1,"da VBOT e U10 (anto)","x","x","UM:1","lo-la-ti-h__vas","m01s03i226"
"1","Near-Surface Wind Speed","m s-1","near-surface (usually, 10 meters) wind speed.","This is the mean of the speed, not the speed computed from the mean u and v components of wind","sfcWind","wind_speed","time: mean","None","real","longitude latitude time  height10m","sfcWind","atmos","mon",,"CMIP5 [Amon] ((isd.002))",,"23","4b97609a32d53dff5b8e73729e4f258b","AerChemMIP,C4MIP,CFMIP,DAMIP,DCPP,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,LUMIP,PMIP,RFMIP,VolMIP","AerChemMIP,C4MIP,CFMIP,CMIP6,DAMIP,DCPP,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,LS3MIP,LUMIP,OMIP,PMIP,RFMIP,ScenarioMIP,VolMIP","bab6f494-e5dd-11e5-8482-ac72891c3257","x",1,"WSPDSRFAV o WSPDSRFMX o U10 ?","x","x","UM:1","lo-la-ti-h__sfcWind","m01s03i227"
"1","Near-Surface Relative Humidity","%","This is the relative humidity with respect to liquid water for T> 0 C, and with respect to ice for T<0 C.","This is the relative humidity with respect to liquid water for T> 0 C, and with respect to ice for T<0 C.","hurs","relative_humidity","time: mean","None","real","longitude latitude time  height2m","hurs","atmos","mon","area: areacella","CMIP5 [Amon] ((isd.002))",,"24","c75f684ec69602e9de82b48e53afb2cc","AerChemMIP,C4MIP,CFMIP,DAMIP,DCPP,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,LUMIP,PMIP,RFMIP,VolMIP","AerChemMIP,C4MIP,CFMIP,CMIP6,DAMIP,DCPP,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,LS3MIP,LUMIP,OMIP,PMIP,RFMIP,ScenarioMIP,VolMIP","baaff41e-e5dd-11e5-8482-ac72891c3257","x",1,"RHREFHT","x","x","UM:1","lo-la-ti-h__hurs","m01s03i245"
