"Priority","Long name","units","description","comment","Variable Name","CF Standard Name","cell_methods","positive","type","dimensions","CMOR Name","modeling_realm","frequency","cell_measures","prov","provNote","rowIndex","vid","MIPs (requesting)","MIPs (by experiment)","uid","AWI","CNRM","CMCC","ECEarth","MPI","METOFFICE","MO_key","STASH"
"1","Snow Area Fraction","%","Fraction of each grid cell that is occupied by snow that rests on land portion of cell.","Fraction of each grid cell that is occupied by snow that rests on land portion of cell.","snc","surface_snow_area_fraction","time: mean","None","real","longitude latitude time","snc","landIce land","mon","area: areacella","CMIP5 [LImon] ((isd.002))",,"15","e53e97d7e904fe67aa54b721b3c6a290","C4MIP,CFMIP,DAMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,LUMIP,PMIP,VolMIP","C4MIP,CFMIP,CMIP6,DAMIP,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,LS3MIP,LUMIP,OMIP,PMIP,ScenarioMIP,VolMIP","bab7c2d4-e5dd-11e5-8482-ac72891c3257","False",1,"FSNO","False","False","False","lo-la-ti__snc",
"1","Surface Snow Amount","kg m-2","the mass of surface snow on the land portion of the grid cell divided by the land area in the grid cell; reported as 0.0 where the land fraction is 0; excludes snow on vegetation canopy or on sea ice.","Computed as the mass of surface snow on the land portion of the grid cell divided by the land area in the grid cell; reported as 0.0 where the land fraction is 0; excluded is snow on vegetation canopy or on sea ice.","snw","surface_snow_amount","time: mean area: mean where land","None","real","longitude latitude time","snw","landIce land","mon","area: areacella","CMIP5 [LImon] ((isd.002))",,"16","0e1704f8fbacbe223946d84392b8064e","C4MIP,CFMIP,DAMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,LUMIP,PMIP,VolMIP","C4MIP,CFMIP,CMIP6,DAMIP,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,LS3MIP,LUMIP,OMIP,PMIP,ScenarioMIP,VolMIP","bab81e50-e5dd-11e5-8482-ac72891c3257","x",1,"H2OSNO_TOP","x","x","UM:1","lo-la-ti_a:m-land_snw","m01s00i023"
"1","Snow Depth","m","where land over land, this is computed as the mean thickness of snow in the land portion of the grid cell (averaging over the entire land portion, including the snow-free fraction).  Reported as 0.0 where the land fraction is 0.","where land over land, this is computed as the mean thickness of snow in the land portion of the grid cell (averaging over the entire land portion, including the snow-free fraction).  Reported as 0.0 where the land fraction is 0.","snd","surface_snow_thickness","time: mean area: mean where land","None","real","longitude latitude time","snd","landIce land","mon","area: areacella","CMIP5 [LImon] ((isd.002))",,"17","19058c0a2aaaf3eaeca5093ea87c7e46","C4MIP,CFMIP,DAMIP,DCPP,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,LUMIP,PMIP,VolMIP","C4MIP,CFMIP,CMIP6,DAMIP,DCPP,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,LS3MIP,LUMIP,OMIP,PMIP,ScenarioMIP,VolMIP","bab7e05c-e5dd-11e5-8482-ac72891c3257","x",-999,"SNOWDP","x","x","False","lo-la-ti_a:m-land_snd",
"2","Liquid Water Content of Snow Layer","kg m-2","where land over land: this is computed as the total mass of liquid water contained interstitially within the snow layer of the land portion of a grid cell divided by the area of the land portion of the cell.","where land over land: this is computed as the total mass of liquid water contained interstitially within the snow layer of the land portion of a grid cell divided by the area of the land portion of the cell.","lwsnl","liquid_water_content_of_snow_layer","time: mean area: mean where land","None","real","longitude latitude time","lwsnl","landIce land","mon","area: areacella","CMIP5 [LImon] ((isd.002))",,"18","c7452587dbc0d44ad81fc174a656ecea","C4MIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,LUMIP,VolMIP","C4MIP,CMIP6,DAMIP,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,LS3MIP,LUMIP,OMIP,PMIP,ScenarioMIP,VolMIP","bab0f1a2-e5dd-11e5-8482-ac72891c3257","False","False","False","False","False","False","lo-la-ti_a:m-land_lwsnl",
"2","Snow Soot Content","kg m-2","the entire land portion of the grid cell is considered, with snow soot content set to 0.0 in regions free of snow.","the entire land portion of the grid cell is considered, with snow soot content set to 0.0 in regions free of snow.","sootsn","soot_content_of_surface_snow","time: mean area: mean where land","None","real","longitude latitude time","sootsn","landIce land","mon","area: areacella","CMIP5 [LImon] ((isd.002))",,"22","d421b6923b396998106a8c1c66ea07f1","C4MIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,LUMIP,VolMIP","C4MIP,CMIP6,DAMIP,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,LUMIP,OMIP,ScenarioMIP,VolMIP","bab83fc0-e5dd-11e5-8482-ac72891c3257","False","False","False","False","False","False","lo-la-ti_a:m-land_sootsn",
"1","Mean Age of Snow","day","Age of Snow (When computing the time-mean here, the time samples, weighted by the mass of snow on the land portion of the grid cell, are accumulated and then divided by the sum of the weights.  Reported as """"missing in regions free of snow on land.","When computing the time-mean here, the time samples, weighted by the mass of snow on the land portion of the grid cell, are accumulated and then divided by the sum of the weights.  Reported as """"missing in regions free of snow on land.","agesno","age_of_surface_snow","time: mean (with samples weighted by snow mass) area: mean where land","None","real","longitude latitude time","agesno","landIce land","mon","area: areacella","CMIP5 [LImon] ((isd.002))",,"23","51e0588121783d77407236e0d2eb5d14","C4MIP,DAMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,LUMIP,PMIP,VolMIP","C4MIP,CMIP6,DAMIP,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,LS3MIP,LUMIP,OMIP,PMIP,ScenarioMIP,VolMIP","baa7f8ae-e5dd-11e5-8482-ac72891c3257","False",-999,"False","False","False","False","lo-la-ti_a:m-land_agesno",
"1","Snow Internal Temperature","K","This temperature is averaged over all the snow in the grid cell that rests on land or land ice.  When computing the time-mean here, the time samples, weighted by the mass of snow on the land portion of the grid cell, are accumulated and then divided by the sum of the weights.   Reported as """"missing in regions free of snow on land.","This temperature is averaged over all the snow in the grid cell that rests on land or land ice.  When computing the time-mean here, the time samples, weighted by the mass of snow on the land portion of the grid cell, are accumulated and then divided by the sum of the weights.   Reported as """"missing in regions free of snow on land.","tsn","temperature_in_surface_snow","time: mean (with samples weighted by snow mass) area: mean where land","None","real","longitude latitude time","tsn","landIce land","mon","area: areacella","CMIP5 [LImon] ((isd.002))",,"24","15fd6126b9fb057118c71df94403e30c","C4MIP,DAMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,LUMIP,VolMIP","C4MIP,CMIP6,DAMIP,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,LS3MIP,LUMIP,OMIP,PMIP,ScenarioMIP,VolMIP","babb152e-e5dd-11e5-8482-ac72891c3257","False",1,"False","False","False","False","lo-la-ti_a:m-land_tsn",
"1","Surface Snow Melt","kg m-2 s-1","Compute as the total surface melt water on the land portion of the grid cell divided by the land area in the grid cell; report as 0.0 for snow-free land regions; report as 0.0 where the land fraction is 0.","Computed as the total surface melt water on the land portion of the grid cell divided by the land area in the grid cell; report as 0.0 for snow-free land regions; report as 0.0 where the land fraction is 0.","snm","surface_snow_melt_flux","time: mean area: mean where land","None","real","longitude latitude time","snm","landIce land","mon","area: areacella","CMIP5 [LImon] ((isd.002))",,"26","5652800cc64fd945cc990547aee633a1","C4MIP,DAMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,LUMIP,PMIP,VolMIP","C4MIP,CMIP6,DAMIP,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,LS3MIP,LUMIP,OMIP,PMIP,ScenarioMIP,VolMIP","bab802f8-e5dd-11e5-8482-ac72891c3257","x",1,"QSNOMELT","False","x","UM:1","lo-la-ti_a:m-land_snm",
"1","Surface Snow and Ice Sublimation Flux","kg m-2 s-1","The snow and ice sublimation flux is the loss of snow and ice mass from the surface resulting from their conversion to water vapor that enters the atmosphere.","The snow and ice sublimation flux is the loss of snow and ice mass resulting from their conversion to water vapor.  Computed as the total sublimation on the land portion of the grid cell divided by the land area in the grid cell; reported as 0.0 for snow-free land regions; reported as 0.0 where the land fraction is 0.","sbl","surface_snow_and_ice_sublimation_flux","time: mean area: mean where land","None","real","longitude latitude time","sbl","landIce land","mon","area: areacella","CMIP5 [LImon] ((isd.002))",,"27","3a8e1636a31c82fbdd9a1ae45ab3be7d","C4MIP,DAMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,LUMIP,PMIP,VolMIP","C4MIP,CMIP6,DAMIP,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,LS3MIP,LUMIP,OMIP,PMIP,ScenarioMIP,VolMIP","bab6bba0-e5dd-11e5-8482-ac72891c3257","False",-999,"False","False","False","UM:1","lo-la-ti_a:m-land_sbl","m01s03i331"
"1","Downward Heat Flux into Snow Where Land over Land","W m-2","the net downward heat flux from the atmosphere into the snow that lies on land divided by the land area in the grid cell; reported as 0.0 for snow-free land regions or where the land fraction is 0.","the net downward heat flux from the atmosphere into the snow that lies on land divided by the land area in the grid cell; reported as 0.0 for snow-free land regions or where the land fraction is 0.","hfdsn","surface_downward_heat_flux_in_snow","time: mean area: mean where land","down","real","longitude latitude time","hfdsn","landIce land","mon","area: areacella","CMIP5 [LImon] ((isd.002))",,"28","a634ef4f4c0cda3a3c0c02652ca8cc6a","C4MIP,DAMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,LUMIP,PMIP,VolMIP","C4MIP,CMIP6,DAMIP,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,LS3MIP,LUMIP,OMIP,PMIP,ScenarioMIP,VolMIP","baaed890-e5dd-11e5-8482-ac72891c3257","False",1,"FGR","False","False","False","lo-la-ti_a:m-land_hfdsn",
"3","Permafrost Layer Thickness","m","where land over land: This is the mean thickness of the permafrost layer in the land portion of the grid cell.  Reported as 0.0 in permafrost-free regions.","where land over land: This is the mean thickness of the permafrost layer in the land portion of the grid cell.  Reported as 0.0 in permafrost-free regions.","tpf","permafrost_layer_thickness","time: mean area: mean where land","None","real","longitude latitude time","tpf","landIce land","mon","area: areacella","CMIP5 [LImon] ((isd.002))",,"29","3e437daab5bc69123a859ad361babc59","C4MIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,LUMIP,PMIP,VolMIP","C4MIP,CMIP6,DAMIP,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,LUMIP,OMIP,PMIP,ScenarioMIP,VolMIP","baba8cbc-e5dd-11e5-8482-ac72891c3257","False","False","False","False","False","False","lo-la-ti_a:m-land_tpf",
"3","Liquid Water Content of Permafrost Layer","kg m-2","""""where land over land"""", i.e., this is the total mass of liquid water contained within the permafrost layer within the land portion of a grid cell divided by the area of the land portion of the cell.","""""where land over land"""", i.e., this is the total mass of liquid water contained within the permafrost layer within the land portion of a grid cell divided by the area of the land portion of the cell.","pflw","liquid_water_content_of_permafrost_layer","time: mean area: mean where land","None","real","longitude latitude time","pflw","landIce land","mon","area: areacella","CMIP5 [LImon] ((isd.002))",,"30","67adc30ae1278d2ef6d696ba0e2c92e8","C4MIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,LUMIP,VolMIP","C4MIP,CMIP6,DAMIP,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,LUMIP,OMIP,ScenarioMIP,VolMIP","bab323d2-e5dd-11e5-8482-ac72891c3257","False","False","False","False","False","False","lo-la-ti_a:m-land_pflw",
