"Priority","Long name","units","description","comment","Variable Name","CF Standard Name","cell_methods","positive","type","dimensions","CMOR Name","modeling_realm","frequency","cell_measures","prov","provNote","rowIndex","vid","MIPs (requesting)","MIPs (by experiment)","uid","AWI","CNRM","CMCC","ECEarth","MPI","METOFFICE","MO_key","STASH"
"1","Moisture in Upper Portion of Soil Column","kg m-2","the mass of water in all phases in a thin surface soil layer.","the mass of water in all phases in a thin surface soil layer.","mrsos","moisture_content_of_soil_layer","time: mean area: mean where land","None","real","longitude latitude time  sdepth1","mrsos","land","mon","area: areacella","CMIP5 [Lmon] ((isd.002))",,"15","40c091a01dc9db6d6d5901528c375ab3","AerChemMIP,CFMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,LUMIP,PMIP,RFMIP,VolMIP","AerChemMIP,C4MIP,CFMIP,CMIP6,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,LUMIP,PMIP,RFMIP,ScenarioMIP,VolMIP","bab1c85c-e5dd-11e5-8482-ac72891c3257","False",1,"SOILWATER_10CM","x","False","UM:1","lo-la-ti-sd_a:m-land_mrsos","m01s08i223"
"1","Total Soil Moisture Content","kg m-2","the mass per unit area  (summed over all soil layers) of water in all phases.","the mass per unit area  (summed over all soil layers) of water in all phases.","mrso","soil_moisture_content","time: mean area: mean where land","None","real","longitude latitude time","mrso","land","mon","area: areacella","CMIP5 [Lmon] ((isd.002))",,"16","af574f1ac4a9f44a2d943352a455cfeb","AerChemMIP,CFMIP,DCPP,FAFMIP,GMMIP,GeoMIP,HighResMIP,LUMIP,PMIP,RFMIP,VolMIP","AerChemMIP,C4MIP,CFMIP,CMIP6,DCPP,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,LUMIP,PMIP,RFMIP,ScenarioMIP,VolMIP","bab1a782-e5dd-11e5-8482-ac72891c3257","x",1,"TWS","x","x","UM:1","lo-la-ti_a:m-land_mrso","m01s08i223"
"1","Soil Frozen Water Content","kg m-2","the mass (summed over all all layers) of frozen water.","the mass (summed over all all layers) of frozen water.","mrfso","soil_frozen_water_content","time: mean area: mean where land","None","real","longitude latitude time","mrfso","land landIce","mon","area: areacella","CMIP5 [Lmon] ((isd.002))",,"17","154d00de9ab9aff72373a673df10946a","AerChemMIP,CFMIP,DCPP,FAFMIP,GMMIP,GeoMIP,HighResMIP,LUMIP,PMIP,RFMIP,VolMIP","AerChemMIP,C4MIP,CFMIP,CMIP6,DCPP,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,LUMIP,PMIP,RFMIP,ScenarioMIP,VolMIP","bab1688a-e5dd-11e5-8482-ac72891c3257","False",1,"SOILICE","x","False","UM:1","lo-la-ti_a:m-land_mrfso","m01s08i230"
"1","Surface Runoff","kg m-2 s-1","the total surface runoff leaving the land portion of the grid cell.","the total surface runoff leaving the land portion of the grid cell.","mrros","surface_runoff_flux","time: mean area: mean where land","None","real","longitude latitude time","mrros","land","mon","area: areacella","CMIP5 [Lmon] ((isd.002))",,"18","26a31ad76858198bd4d719aafeebe801","AerChemMIP,CFMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,LUMIP,PMIP,RFMIP,VolMIP","AerChemMIP,C4MIP,CFMIP,CMIP6,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,LUMIP,PMIP,RFMIP,ScenarioMIP,VolMIP","bab19ff8-e5dd-11e5-8482-ac72891c3257","x",1,"QOVER","x","x","UM:1","lo-la-ti_a:m-land_mrros","m01s08i234"
"1","Total Runoff","kg m-2 s-1","""the total runoff (including """"drainage"""" through the base of the soil model) leaving the land portion of the grid cell.""","""the total runoff (including """"drainage"""" through the base of the soil model) leaving the land portion of the grid cell.""","mrro","runoff_flux","time: mean area: mean where land","None","real","longitude latitude time","mrro","land","mon","area: areacella","CMIP5 [Lmon] ((isd.002))",,"19","e0a0f457ec117b27ca8353b11bf9d4fa","AerChemMIP,CFMIP,DCPP,FAFMIP,GMMIP,GeoMIP,HighResMIP,LUMIP,PMIP,RFMIP,VolMIP","AerChemMIP,C4MIP,CFMIP,CMIP6,DCPP,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,LUMIP,PMIP,RFMIP,ScenarioMIP,VolMIP","bab17a6e-e5dd-11e5-8482-ac72891c3257","x",1,"QRUNOFF+QDRAI","x","x","UM:1","lo-la-ti_a:m-land_mrro","m01s08i234,m01s08i235"
"2","Precipitation onto Canopy","kg m-2 s-1","the precipitation flux that is intercepted by the vegetation canopy (if present in model) before reaching the ground.","the precipitation flux that is intercepted by the vegetation canopy (if present in model) before reaching the ground.","prveg","precipitation_flux_onto_canopy","time: mean area: mean where land","None","real","longitude latitude time","prveg","land","mon","area: areacella","CMIP5 [Lmon] ((isd.002))",,"20","e54a3eda3d5fc42a9cd1354038ad45ed","AerChemMIP,CFMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,LUMIP,RFMIP,VolMIP","AerChemMIP,C4MIP,CFMIP,CMIP6,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,LUMIP,RFMIP,ScenarioMIP,VolMIP","bab45658-e5dd-11e5-8482-ac72891c3257","False","False","False","False","False","False","lo-la-ti_a:m-land_prveg","m01s05i216,m01s08i233"
"1","Evaporation from Canopy","kg m-2 s-1","the canopy evaporation+sublimation (if present in model).","the canopy evaporation+sublimation (if present in model).","evspsblveg","water_evaporation_flux_from_canopy","time: mean area: mean where land","up","real","longitude latitude time","evspsblveg","land","mon","area: areacella","CMIP5 [Lmon] ((isd.002))",,"21","32ed0e80b1ae2adc7d4fb4b71bce9285","AerChemMIP,CFMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,LUMIP,PMIP,RFMIP,VolMIP","AerChemMIP,C4MIP,CFMIP,CMIP6,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,LUMIP,PMIP,RFMIP,ScenarioMIP,VolMIP","baad6596-e5dd-11e5-8482-ac72891c3257","False",1,"QVEGE","False","False","UM:1","lo-la-ti_a:m-land_evspsblveg","m01s03i297"
"1","Water Evaporation from Soil","kg m-2 s-1","includes sublimation.","includes sublimation.","evspsblsoi","water_evaporation_flux_from_soil","time: mean area: mean where land","up","real","longitude latitude time","evspsblsoi","land","mon","area: areacella","CMIP5 [Lmon] ((isd.002))",,"23","fb6dac37f41c49ca02fc234d4da1a782","AerChemMIP,CFMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,LUMIP,PMIP,RFMIP,VolMIP","AerChemMIP,C4MIP,CFMIP,CMIP6,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,LUMIP,PMIP,RFMIP,ScenarioMIP,VolMIP","baad5d9e-e5dd-11e5-8482-ac72891c3257","False",1,"QSOIL","False","False","UM:1","lo-la-ti_a:m-land_evspsblsoi","m01s03i296"
"1","Transpiration","kg m-2 s-1","unset","None","tran","transpiration_flux","time: mean area: mean where land","up","real","longitude latitude time","tran","land","mon","area: areacella","CMIP5 [Lmon] ((isd.002))",,"24","19e117c2298a016c96c496ee22f39976","AerChemMIP,CFMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,LUMIP,PMIP,RFMIP,VolMIP","AerChemMIP,C4MIP,CFMIP,CMIP6,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,LUMIP,PMIP,RFMIP,ScenarioMIP,VolMIP","baba9752-e5dd-11e5-8482-ac72891c3257","False",1,"QVEGT","False","False","False","lo-la-ti_a:m-land_tran",
"1","Water Content of Soil Layer","kg m-2","in each soil layer, the mass of water in all phases, including ice.  Reported as """"missing"""" for grid cells occupied entirely by """"sea""""","in each soil layer, the mass of water in all phases, including ice.  Reported as """"missing"""" for grid cells occupied entirely by """"sea""""","mrlsl","moisture_content_of_soil_layer","time: mean area: mean where land","None","real","longitude latitude sdepth time","mrlsl","land","mon","area: areacella","CMIP5 [Lmon] ((isd.002))",,"25","9f9b6ac3b6a206d024fb2a340dc338d5","AerChemMIP,CFMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,LUMIP,PMIP,RFMIP,VolMIP","AerChemMIP,C4MIP,CFMIP,CMIP6,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,LUMIP,PMIP,RFMIP,ScenarioMIP,VolMIP","bab17032-e5dd-11e5-8482-ac72891c3257","x",-999,"H2OSOI (% )","x","x","UM:1","lo-la-sd-ti_a:m-land_mrlsl","m01s08i223"
