Priority,Long name,units,description,comment,Variable Name,CF Standard Name,cell_methods,positive,type,dimensions,CMOR Name,modeling_realm,frequency,cell_measures,prov,provNote,rowIndex,vid,MIPs (requesting),MIPs (by experiment),uid,AWI,CNRM,CMCC,ECEarth,MPI,METOFFICE,MO_key,STASH
3,ocean vertical heat diffusivity,m2/sec,Vertical/dianeutral diffusivity applied to prognostic temperature field.,None,difvho,ocean_vertical_heat_diffusivity,time: mean within years time: mean over years,None,real,longitude latitude olevel time2,difvho,ocean,monClim,area: areacello volume: volcello,CMIP5 [Oclim] ((isd.002)),,15,120719dde7f96f9bc088acd33b97967f,"C4MIP,FAFMIP,GeoMIP,HighResMIP,LUMIP,RFMIP","C4MIP,CMIP6,DAMIP,DECK,FAFMIP,GeoMIP,HighResMIP,LS3MIP,LUMIP,OMIP,RFMIP,ScenarioMIP",baabe3d8-e5dd-11e5-8482-ac72891c3257,False,False,False,False,x,False,lo-la-ol-ti__difvho,
3,ocean vertical salt diffusivity,m2/sec,Vertical/dianeutral diffusivity applied to prognostic salinity field.,None,difvso,ocean_verticalt_salt_diffusivity,time: mean within years time: mean over years,None,real,longitude latitude olevel time2,difvso,ocean,monClim,area: areacello volume: volcello,CMIP5 [Oclim] ((isd.002)),,16,52b1076476b074a18a91b9da1baa6bc3,"C4MIP,FAFMIP,GeoMIP,HighResMIP,LUMIP,RFMIP","C4MIP,CMIP6,DAMIP,DECK,FAFMIP,GeoMIP,HighResMIP,LS3MIP,LUMIP,OMIP,RFMIP,ScenarioMIP",baabefb8-e5dd-11e5-8482-ac72891c3257,False,False,False,False,x,False,lo-la-ol-ti__difvso,
3,Ocean Vertical Tracer Diffusivity due to Background,m2 s-1,unset,None,difvtrbo,ocean_vertical_tracer_diffusivity_due_to_background,time: mean within years time: mean over years,None,real,longitude latitude olevel time2,difvtrbo,ocean,monClim,area: areacello volume: volcello,CMIP5 [Oclim] ((isd.002)),,17,4fb426293126d528f2bbf902b6ede847,"C4MIP,FAFMIP,HighResMIP,LUMIP,RFMIP","C4MIP,CMIP6,DAMIP,DECK,FAFMIP,GeoMIP,HighResMIP,LS3MIP,LUMIP,OMIP,RFMIP,ScenarioMIP",baabf242-e5dd-11e5-8482-ac72891c3257,False,False,False,False,False,False,lo-la-ol-ti__difvtrbo,
3,Ocean Vertical Tracer Diffusivity due to Tides,m2 s-1,unset,None,difvtrto,ocean_vertical_tracer_diffusivity_due_to_tides,time: mean within years time: mean over years,None,real,longitude latitude olevel time2,difvtrto,ocean,monClim,area: areacello volume: volcello,CMIP5 [Oclim] ((isd.002)),,18,70094996b08eba1d39c13d30dc44b30f,"C4MIP,FAFMIP,HighResMIP,LUMIP,RFMIP","C4MIP,CMIP6,DAMIP,DECK,FAFMIP,GeoMIP,HighResMIP,LS3MIP,LUMIP,OMIP,RFMIP,ScenarioMIP",baabf4ea-e5dd-11e5-8482-ac72891c3257,False,False,False,False,False,False,lo-la-ol-ti__difvtrto,
3,tendency of ocean potential energy content,W/m2,"Rate that work is done against vertical stratification, as measured by the vertical heat and salt diffusivity. Report here as depth integrated two-dimensional field.",None,tnpeo,endency_of_ocean_potential_energy_content,time: mean within years time: mean over years,None,real,longitude latitude olevel time2,tnpeo,ocean,monClim,area: areacello volume: volcello,CMIP5 [Oclim] ((isd.002)),,19,dfd869cd3463de6a57b2a9e10605efe7,"C4MIP,FAFMIP,HighResMIP,LUMIP,RFMIP","C4MIP,CMIP6,DAMIP,DECK,FAFMIP,GeoMIP,HighResMIP,LS3MIP,LUMIP,OMIP,RFMIP,ScenarioMIP",bab9e8c0-e5dd-11e5-8482-ac72891c3257,False,False,False,False,False,False,lo-la-ol-ti__tnpeo,
3,Tendency of Ocean Potential Energy Content due to Tides,W m-2,unset,None,tnpeot,tendency_of_ocean_potential_energy_content_due_to_tides,time: mean within years time: mean over years,None,real,longitude latitude olevel time2,tnpeot,ocean,monClim,area: areacello volume: volcello,CMIP5 [Oclim] ((isd.002)),,20,1763f47c438dc252b1317c9861792f50,"C4MIP,FAFMIP,HighResMIP,LUMIP,RFMIP","C4MIP,CMIP6,DAMIP,DECK,FAFMIP,GeoMIP,HighResMIP,LS3MIP,LUMIP,OMIP,RFMIP,ScenarioMIP",bab9eb4a-e5dd-11e5-8482-ac72891c3257,False,False,False,False,False,False,lo-la-ol-ti__tnpeot,
3,Tendency of Ocean Potential Energy Content due to Background,W m-2,unset,None,tnpeotb,tendency_of_ocean_potential_energy_content_due_to_background,time: mean within years time: mean over years,None,real,longitude latitude olevel time2,tnpeotb,ocean,monClim,area: areacello volume: volcello,CMIP5 [Oclim] ((isd.002)),,21,d00cab8104f1a9e853ebfa511d725462,"C4MIP,FAFMIP,HighResMIP,LUMIP,RFMIP","C4MIP,CMIP6,DAMIP,DECK,FAFMIP,GeoMIP,HighResMIP,LS3MIP,LUMIP,OMIP,RFMIP,ScenarioMIP",bab9edde-e5dd-11e5-8482-ac72891c3257,False,False,False,False,False,False,lo-la-ol-ti__tnpeotb,
3,Ocean Vertical Momentum Diffusivity,m2 s-1,unset,None,difvmo,ocean_vertical_momentum_diffusivity,time: mean within years time: mean over years,None,real,longitude latitude olevel time2,difvmo,ocean,monClim,area: areacello volume: volcello,CMIP5 [Oclim] ((isd.002)),,22,5f19c4be9ae133db06403c986c8136d6,"C4MIP,FAFMIP,GeoMIP,HighResMIP,LUMIP,RFMIP","C4MIP,CMIP6,DAMIP,DECK,FAFMIP,GeoMIP,HighResMIP,LS3MIP,LUMIP,OMIP,RFMIP,ScenarioMIP",baabeb12-e5dd-11e5-8482-ac72891c3257,False,False,False,False,x,False,lo-la-ol-ti__difvmo,
3,Ocean Vertical Momentum Diffusivity due to Background,m2 s-1,unset,None,difvmbo,ocean_vertical_momentum_diffusivity_due_to_background,time: mean within years time: mean over years,None,real,longitude latitude olevel time2,difvmbo,ocean,monClim,area: areacello volume: volcello,CMIP5 [Oclim] ((isd.002)),,23,f94930c327a257dddea9ef9d0e260ed3,"C4MIP,FAFMIP,HighResMIP,LUMIP,RFMIP","C4MIP,CMIP6,DAMIP,DECK,FAFMIP,GeoMIP,HighResMIP,LS3MIP,LUMIP,OMIP,RFMIP,ScenarioMIP",baabe63a-e5dd-11e5-8482-ac72891c3257,False,False,False,False,False,False,lo-la-ol-ti__difvmbo,
3,Ocean Vertical Momentum Diffusivity due to Tides,m2 s-1,unset,None,difvmto,ocean_vertical_momentum_diffusivity_due_to_tides,time: mean within years time: mean over years,None,real,longitude latitude olevel time2,difvmto,ocean,monClim,area: areacello volume: volcello,CMIP5 [Oclim] ((isd.002)),,24,9e50f2bc84a18f56a9c317be11770663,"C4MIP,FAFMIP,HighResMIP,LUMIP,RFMIP","C4MIP,CMIP6,DAMIP,DECK,FAFMIP,GeoMIP,HighResMIP,LS3MIP,LUMIP,OMIP,RFMIP,ScenarioMIP",baabed60-e5dd-11e5-8482-ac72891c3257,False,False,False,False,False,False,lo-la-ol-ti__difvmto,
