"priority","long_name","units","description","comment","name","standard_name","cell_methods","positive","type","dimensions","out_name","modeling_realm","frequency","cell_measures","prov","provNote","rowIndex","vid","MIPs (requesting)","MIPs (by experiment)","uid","AWI","CNRM","CMCC","ECEarth","MPI","METOFFICE","MO_key","STASH"
"0","Heat Flux Correction","W m-2",,,"hfcorr","heat_flux_correction","time: mean area: mean where sea","down","real","longitude latitude time","hfcorr","ocean","mon","area: areacello","CMIP6 [OMIP] ((isd.001))",,"0","0312fb7cbaaff353e66b17c21fb13482","AerChemMIP,DAMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,OMIP,PMIP,VolMIP","AerChemMIP,CMIP6,DAMIP,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,OMIP,PMIP,ScenarioMIP,VolMIP","baa6beda-e5dd-11e5-8482-ac72891c3257","False","False","False","False","False","False","lo-la-ti_a:m-sea_hfcorr",
"0","Surface Downward X Stress Correction","N m-2","This is the stress on the liquid ocean from overlying atmosphere, sea ice, ice shelf, etc.","This is the stress on the liquid ocean from overlying atmosphere, sea ice, ice shelf, etc.","tauucorr","surface_downward_x_stress_correction","time: mean area: mean where sea","down","real","longitude latitude time","tauucorr","ocean","mon",,"CMIP6 [OMIP] ((isd.001))",,"0","06942529e05aac1e9a39ca1f5737af2f","AerChemMIP,DAMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,OMIP,VolMIP","AerChemMIP,CMIP6,DAMIP,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,OMIP,ScenarioMIP,VolMIP","baa6d78a-e5dd-11e5-8482-ac72891c3257","False","False","False","False","False","False","lo-la-ti_a:m-sea_tauucorr",
"1 (0)","Surface Downward X Stress","N m-2","This is the stress on the liquid ocean from overlying atmosphere, sea ice, ice shelf, etc.","This is the stress on the liquid ocean from overlying atmosphere, sea ice, ice shelf, etc.","tauuo","surface_downward_x_stress","time: mean area: mean where sea","down","real","longitude latitude time","tauuo","ocean","mon",,"CMIP6 [OMIP] ((isd.001))",,"0","d1cfe9e20a66d3e922554248677efaba","AerChemMIP,DAMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,OMIP,VolMIP","AerChemMIP,CMIP6,DAMIP,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,OMIP,ScenarioMIP,VolMIP","baa6cf38-e5dd-11e5-8482-ac72891c3257","False","False","False","False","x","NEMO:1","lo-la-ti_a:m-sea_tauuo",
"0","Surface Downward Y Stress Correction","N m-2","This is the stress on the liquid ocean from overlying atmosphere, sea ice, ice shelf, etc.","This is the stress on the liquid ocean from overlying atmosphere, sea ice, ice shelf, etc.","tauvcorr","surface_downward_y_stress_correction","time: mean area: mean where sea","down","real","longitude latitude time","tauvcorr","ocean","mon",,"CMIP6 [OMIP] ((isd.001))",,"0","ab495084beb82a29c24bf6c226fd0e57","AerChemMIP,DAMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,OMIP,VolMIP","AerChemMIP,CMIP6,DAMIP,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,OMIP,ScenarioMIP,VolMIP","baa6dbb8-e5dd-11e5-8482-ac72891c3257","False","False","False","False","False","False","lo-la-ti_a:m-sea_tauvcorr",
"1 (0)","Surface Downward Y Stress","N m-2","This is the stress on the liquid ocean from overlying atmosphere, sea ice, ice shelf, etc.","This is the stress on the liquid ocean from overlying atmosphere, sea ice, ice shelf, etc.","tauvo","surface_downward_y_stress","time: mean area: mean where sea","down","real","longitude latitude time","tauvo","ocean","mon",,"CMIP6 [OMIP] ((isd.001))",,"0","593ed46e925a8bce9de9eb47f5e72632","AerChemMIP,DAMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,OMIP,VolMIP","AerChemMIP,CMIP6,DAMIP,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,OMIP,ScenarioMIP,VolMIP","baa6d366-e5dd-11e5-8482-ac72891c3257","False","False","False","False","x","NEMO:1","lo-la-ti_a:m-sea_tauvo",
"0","Virtual Salt Flux Correction","kg m-2 s-1","It is set to zero in models which receive a real water flux.","It is set to zero in models which receive a real water flux.","vsfcorr","virtual_salt_flux_correction","time: mean area: mean where sea",,"real","longitude latitude time","vsfcorr","ocean","mon","area: areacello","CMIP6 [OMIP] ((isd.001))",,"0","87fbc4126ce4daecf084edf9ad1f4aaf","AerChemMIP,DAMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,OMIP,VolMIP","AerChemMIP,CMIP6,DAMIP,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,OMIP,ScenarioMIP,VolMIP","baa65eae-e5dd-11e5-8482-ac72891c3257","False","False","False","False","False","False","lo-la-ti_a:m-sea_vsfcorr",
"0","Water Flux Correction","kg m-2 s-1","Positive flux implies correction adds water to ocean.","Positive flux implies correction adds water to ocean.","wfcorr","water_flux_correction","time: mean area: mean where sea","down","real","longitude latitude time","wfcorr","ocean","mon","area: areacello","CMIP6 [OMIP] ((isd.001))",,"0","604242476d85346b48bd6d791ed05583","AerChemMIP,DAMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,OMIP,VolMIP","AerChemMIP,CMIP6,DAMIP,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,OMIP,PMIP,ScenarioMIP,VolMIP","baa63dd4-e5dd-11e5-8482-ac72891c3257","False","False","False","False","False","False","lo-la-ti_a:m-sea_wfcorr",
"1","Moles Per Unit Mass of CFC-11 in Sea Water","mol kg-1",,,"cfc11","moles_of_cfc11_per_unit_mass_in_sea_water","time: mean",,"real","longitude latitude olevel time","cfc11","ocean","mon","area: areacello volume: volcello","CMIP6 [OMIP] ((isd.001))","chem","3","42625c97b8fe75124a345962c4430982","AerChemMIP,CFMIP,DAMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,OMIP,VolMIP","AerChemMIP,CFMIP,CMIP6,DAMIP,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,OMIP,PMIP,ScenarioMIP,VolMIP","ba9ad9c6-e5dd-11e5-8482-ac72891c3257","False","False","False","False","False","False","lo-la-ol-ti__cfc11",
"1","Sea Water Mass","kg","Total mass of liquid seawater. For Boussinesq models, report this diagnostic as Boussinesq reference density times total volume.","Total mass of liquid seawater. For Boussinesq models, report this diagnostic as Boussinesq reference density times total volume.","masso","sea_water_mass","time: mean area: sum where sea",,"real","time","masso","ocean","mon",,"CMIP6 [OMIP] ((isd.001))","phys","3","7619324f698659657f466d5dc6660b9d","AerChemMIP,DAMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,OMIP,PMIP,VolMIP","AerChemMIP,CMIP6,DAMIP,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,OMIP,PMIP,ScenarioMIP,VolMIP","baa4f730-e5dd-11e5-8482-ac72891c3257","False",1,"x","x","x","NEMO:1","ti_a:sum_masso",
"1","Sea Water Pressure at Sea floor","Pa",,,"pbo","sea_water_pressure_at_sea_floor","time: mean",,"real","longitude latitude time","pbo","ocean","mon","area: areacello","CMIP6 [OMIP] ((isd.001))","phys","4","3ed1667233f6ae4fe3c5ff93cd2de2f3","AerChemMIP,DAMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,OMIP,VolMIP","AerChemMIP,CMIP6,DAMIP,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,OMIP,PMIP,ScenarioMIP,VolMIP","baa4fb54-e5dd-11e5-8482-ac72891c3257","False",1,"x","x","x","NEMO:1","lo-la-ti__pbo",
