"priority","long_name","units","description","comment","name","standard_name","cell_methods","positive","type","dimensions","out_name","modeling_realm","frequency","cell_measures","prov","provNote","rowIndex","vid","MIPs (requesting)","MIPs (by experiment)","uid","AWI","CNRM","CMCC","ECEarth","MPI","METOFFICE","MO_key","STASH"
"1","Fraction of time steps with sea ice","1.0","Fraction of time steps of the averaging period during which sea ice is present (siconc >0 ) in a grid cell",,"sitimefrac","sea_ice_time_fraction","time: mean area: mean where sea_ice over sea",,,"longitude latitude time","sitimefrac","seaIce","mon","area: areacella","SIMIP [seaicemon]",,"4","590e8b2a-9e49-11e5-803c-0d0b866b59f3","C4MIP,DAMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,RFMIP,SIMIP","C4MIP,CMIP6,DAMIP,DCPP,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,LUMIP,OMIP,PMIP,RFMIP,ScenarioMIP","0b0ca774-00a8-11e6-ab7d-5404a60d96b5","False",3,"False","False","False","CICE:1 & JULES:1","lo-la-ti_a:m-seaice_sitimefrac","Structure not defined"
"1","Sea-ice area fraction","1.0","Area fraction of grid cell covered by sea ice",,"siconc","sea_ice_area_fraction","time: mean area: mean where sea_ice over sea",,,"longitude latitude time","siconc","seaIce","mon","area: areacello","SIMIP [seaicemon]",,"5","5914ab90-9e49-11e5-803c-0d0b866b59f3","C4MIP,DAMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,RFMIP,SIMIP","C4MIP,CMIP6,DAMIP,DCPP,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,LUMIP,OMIP,PMIP,RFMIP,ScenarioMIP","0b0cb016-00a8-11e6-ab7d-5404a60d96b5","x",3,"x","False","x","CICE:1","lo-la-ti_a:m-seaice_siconc","Structure not defined"
"1","Sea-ice mass per area","kg  m-2","Total mass of sea ice divided by grid-cell area","(in OImon, sim included snow and sea ice mass)","simass","sea_ice_amount","time: mean area: mean where sea_ice over sea",,,"longitude latitude time","simass","seaIce","mon","area: areacella","SIMIP [seaicemon]",,"6","5917184e-9e49-11e5-803c-0d0b866b59f3","C4MIP,DAMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,RFMIP,SIMIP","C4MIP,CMIP6,DAMIP,DCPP,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,LUMIP,OMIP,PMIP,RFMIP,ScenarioMIP","0b0cb61a-00a8-11e6-ab7d-5404a60d96b5","False",3,"False","False","False","CICE:1","lo-la-ti_a:m-seaice_simass","Structure not defined"
"1","Sea-ice thickness","m","Actual (floe) thickness of sea ice (NOT volume divided by grid area as was done in CMIP5)","(in OImon, sit was volume per entire cell area)","sithick","sea_ice_thickness","time: mean area: mean where sea_ice over sea",,,"longitude latitude time","sithick","seaIce","mon","area: areacella","SIMIP [seaicemon]",,"7","591321f8-9e49-11e5-803c-0d0b866b59f3","C4MIP,DAMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,RFMIP,SIMIP","C4MIP,CMIP6,DAMIP,DCPP,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,LUMIP,OMIP,PMIP,RFMIP,ScenarioMIP","0b0cbc3c-00a8-11e6-ab7d-5404a60d96b5","x",3,"x","False","x","CICE:1","lo-la-ti_a:m-seaice_sithick","Structure not defined"
"1","Sea-ice volume per area","m","Total volume of sea ice divided by grid-cell area (this used to be called ice thickness in CMIP5)",,"sivol","sea_ice_thickness","time: mean area: mean where sea_ice over sea",,,"longitude latitude time","sivol","seaIce","mon","area: areacello","SIMIP [seaicemon]",,"8","591801d2-9e49-11e5-803c-0d0b866b59f3","C4MIP,DAMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,RFMIP,SIMIP","C4MIP,CMIP6,DAMIP,DCPP,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,LUMIP,OMIP,PMIP,RFMIP,ScenarioMIP","0b0cc1b4-00a8-11e6-ab7d-5404a60d96b5","x",3,"x","False","False","CICE:1","lo-la-ti_a:m-seaice_sivol","Structure not defined"
"1","Snow area fraction","1.0","Area fraction of grid cell covered by snow that lies on sea ice; exclude snow that lies on land or land ice.",,"sisnconc","surface_snow_area_fraction","time: mean where sea_ice area: mean where sea_ice area: mean where sea_ice",,,"longitude latitude time","sisnconc","seaIce","mon","area: areacella","SIMIP [seaicemon]",,"9","590d38b0-9e49-11e5-803c-0d0b866b59f3","C4MIP,DAMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,RFMIP,SIMIP","C4MIP,CMIP6,DAMIP,DCPP,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,LUMIP,OMIP,PMIP,RFMIP,ScenarioMIP","0b0cc7ae-00a8-11e6-ab7d-5404a60d96b5","x",3,"x","False","False","CICE:1","lo-la-ti_a:m-seaice_sisnconc","Structure not defined"
"1","Snow mass per area","kg / m2","Total mass of snow on sea ice divided by grid-cell area","(in OImon, sim included snow and sea ice mass)","sisnmass","surface_snow_amount","time: mean where sea_ice area: mean where sea_ice area: mean where sea_ice",,,"longitude latitude time","sisnmass","seaIce","mon","area: areacella","SIMIP [seaicemon]",,"10","5914a6b8-9e49-11e5-803c-0d0b866b59f3","C4MIP,DAMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,RFMIP,SIMIP","C4MIP,CMIP6,DAMIP,DCPP,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,LUMIP,OMIP,PMIP,RFMIP,ScenarioMIP","0b0ccd44-00a8-11e6-ab7d-5404a60d96b5","False",3,"False","False","False","CICE:1","lo-la-ti_a:m-seaice_sisnmass","Structure not defined"
"1","Snow thickness","m","Actual thickness of snow (snow volume divided by snow-covered area)","(in OImon, snd was volume per entire cell area)","sisnthick","surface_snow_thickness","time: mean where sea_ice area: mean where sea_ice area: mean where snow over sea_ice",,,"longitude latitude time","sisnthick","seaIce","mon","area: areacella","SIMIP [seaicemon]",,"11","5913c266-9e49-11e5-803c-0d0b866b59f3","C4MIP,DAMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,RFMIP,SIMIP","C4MIP,CMIP6,DAMIP,DCPP,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,LUMIP,OMIP,PMIP,RFMIP,ScenarioMIP","0b0cd2da-00a8-11e6-ab7d-5404a60d96b5","False",3,"x","False","x","CICE:1","lo-la-ti_a:m-seaice_sisnthick","Structure not defined"
"1","Sea-ice area fractions in thickness categories","1.0","Area fraction of grid cell covered by each ice-thickness category (vector with one entry for each thickness category starting from the thinnest category, netcdf file should use thickness bounds of the categories as third coordinate axis)","K=ice depth bands","siitdconc","sea_ice_area_fraction_over_categories","time: mean where sea_ice area: mean where sea_ice area: mean where sea_ice",,,"longitude latitude time angle","siitdconc","seaIce","mon","area: areacella","SIMIP [seaicemon]",,"12","590d98b4-9e49-11e5-803c-0d0b866b59f3","C4MIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,RFMIP,SIMIP","C4MIP,CMIP6,DAMIP,DCPP,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,LUMIP,OMIP,PMIP,RFMIP,ScenarioMIP","0b0cd88e-00a8-11e6-ab7d-5404a60d96b5","False","False","x","False","False","False","lo-la-ti-ang_a:m-seaice_siitdconc","Structure not defined"
"1","Sea-ice thickness in thickness categories","m","Actual (floe) thickness of sea ice in each  category (NOT volume divided by grid area),  (vector with one entry for each thickness category starting from the thinnest category, netcdf file should use thickness bounds of categories as third coordinate axis)","K=ice depth bands","siitdthick","sea_ice_thickness_over_categories","time: mean where sea_ice area: mean where sea_ice area: mean where sea_ice",,,"longitude latitude time angle","siitdthick","seaIce","mon","area: areacella","SIMIP [seaicemon]",,"13","59133288-9e49-11e5-803c-0d0b866b59f3","C4MIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,RFMIP,SIMIP","C4MIP,CMIP6,DAMIP,DCPP,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,LUMIP,OMIP,PMIP,RFMIP,ScenarioMIP","0b0cde60-00a8-11e6-ab7d-5404a60d96b5","False","False","x","False","False","False","lo-la-ti-ang_a:m-seaice_siitdthick","Structure not defined"
