"Priority","Long name","units","description","comment","Variable Name","CF Standard Name","cell_methods","positive","type","dimensions","CMOR Name","modeling_realm","frequency","cell_measures","prov","provNote","rowIndex","vid","MIPs (requesting)","MIPs (by experiment)","uid","AWI","CNRM","CMCC","ECEarth","MPI","METOFFICE","MO_key","STASH"
"0","surface altitude","m","The surface called ""surface"" means the lower boundary of the atmosphere. Altitude is the (geometric) height above the geoid, which is the reference geopotential surface. The geoid is similar to mean sea level.","height above the geoid; as defined here, """"the geoid"""" is a surface of constant geopotential that, if the ocean were at rest, would coincide with mean sea level. Under this definition, the geoid changes as the mean volume of the ocean changes (e.g., due to glacial melt, or global warming of the ocean).  Report here the height above the present-day geoid.  Over ocean, report as 0.0","orog","surface_altitude",,"None","real","longitude latitude","orog","atmos","mon",,"CMIP5 [aero] ((isd.002))",,"0","00e77372e8b909d9a827a0790e991fd9","CFMIP,DAMIP,GeoMIP,HighResMIP,PMIP","CFMIP,CMIP6,DAMIP,DECK,GeoMIP,HighResMIP,PMIP","bab2e7d2-e5dd-11e5-8482-ac72891c3257",,,,,,"False","lo-la__orog","m01s00i033"
"0","Surface Air Pressure","Pa","surface pressure (not mean sea-level pressure), 2-D field to calculate the 3-D pressure field from hybrid coordinates","not, in general, the same as mean sea-level pressure","ps","surface_air_pressure","time: mean","None","real","longitude latitude time","ps","atmos","mon",,"CMIP5 [aero] ((isd.002))",,"0","8c9504d28596e05586c8e193082ac617","CFMIP,DAMIP,GeoMIP,HighResMIP,PMIP","CFMIP,CMIP6,DAMIP,DECK,GeoMIP,HighResMIP,PMIP","bab47d18-e5dd-11e5-8482-ac72891c3257",,,,,,"False","lo-la-ti__ps","m01s00i409"
"1","ambient aerosol optical thickness at 550 nm","1.0","AOD from the ambient aerosls (i.e., includes aerosol water).  Does not include AOD from stratospheric aerosols if these are prescribed but includes other possible background aerosol types. Needs a comment attribute ""wavelength: 550 nm""","AOD from the ambient aerosls (i.e., includes aerosol water).  Does not include AOD from stratospheric aerosols if these are prescribed but includes other possible background aerosol types.","od550aer","atmosphere_optical_thickness_due_to_ambient_aerosol","time: mean","None","real","longitude latitude time","od550aer","aerosol","mon","area: areacella","CMIP5 [aero] ((isd.002))",,"16","8f2fb9e812c26ee6cb8d9673e09d2644","CFMIP,DAMIP,GeoMIP,HighResMIP,PMIP","CFMIP,CMIP6,DAMIP,DECK,GeoMIP,HighResMIP,PMIP","bab2a6be-e5dd-11e5-8482-ac72891c3257","False",-999,"False","False","False","CHECK","lo-la-ti__od550aer","m01s02i300,m01s02i301,m01s02i302,m01s02i303,m01s02i304,m01s02i305"
"1","ambient fine aerosol optical thickness at 550 nm","1.0","od550 due to particles with wet diameter less than 1 um  (""""ambient"""" means """"wetted""""). When models do not include explicit size information, it can be assumed that all anthropogenic aerosols and natural secondary aerosols have diameter less than 1 um.","od550 due to particles with wet diameter less than 1 um  (""""ambient"""" means """"wetted""""). When models do not include explicit size information, it can be assumed that all anthropogenic aerosols and natural secondary aerosols have diameter less than 1 um.","od550lt1aer","atmosphere_optical_thickness_due_to_pm1_ambient_aerosol","time: mean","None","real","longitude latitude time","od550lt1aer","aerosol","mon","area: areacella","CMIP5 [aero] ((isd.002))",,"17","05aec7fe79d030ffc90a089a6a60b0f2","CFMIP,DAMIP,GeoMIP,HighResMIP,PMIP","CFMIP,CMIP6,DAMIP,DECK,GeoMIP,HighResMIP,PMIP","bab2b56e-e5dd-11e5-8482-ac72891c3257","False",-999,"False","False","False","CHECK","lo-la-ti__od550lt1aer","m01s02i300,m01s02i301,m01s02i303,m01s02i304"
"1","Ambient Aerosol Absorption Optical Thickness at 550 nm","1.0",,"None","abs550aer","atmosphere_absorption_optical_thickness_due_to_ambient_aerosol","time: mean","None","real","longitude latitude time","abs550aer","aerosol","mon","area: areacella","CMIP5 [aero] ((isd.002))",,"18","0baf6a333b91c4db341b515c28cd2c05","CFMIP,DAMIP,GeoMIP,HighResMIP,PMIP","CFMIP,CMIP6,DAMIP,DECK,GeoMIP,HighResMIP,PMIP","baa7e472-e5dd-11e5-8482-ac72891c3257","False",-999,"False","False","False","CHECK","lo-la-ti__abs550aer","m01s02i300,m01s02i301,m01s02i302,m01s02i303,m01s02i304,m01s02i305"
"2","ambient aerosol optical thickness at 870 nm","1.0","AOD from the ambient aerosls (i.e., includes aerosol water).  Does not include AOD from stratospheric aerosols if these are prescribed but includes other possible background aerosol types.","AOD from the ambient aerosls (i.e., includes aerosol water).  Does not include AOD from stratospheric aerosols if these are prescribed but includes other possible background aerosol types.","od870aer",,"time: mean","None","real","longitude latitude time","od870aer","aerosol","mon","area: areacella","CMIP5 [aero] ((isd.002))",,"19","0a9c3f8ff6151a5baa8bb93d5a1fa090","CFMIP,GeoMIP,HighResMIP,PMIP","CFMIP,CMIP6,DECK,GeoMIP,HighResMIP,PMIP","bab2c59a-e5dd-11e5-8482-ac72891c3257","False","False","False","False","False","False","lo-la-ti__od870aer","m01s02i300,m01s02i301,m01s02i302,m01s02i303,m01s02i304,m01s02i305"
"1","rate of emission and production of dry aerosol total organic matter","kg m-2 s-1","tendency of atmosphere mass content of organic matter dry aerosol due to net production and emission.  This is the sum of total emission of POA and total production of SOA (emipoa+chepsoa). """"Mass"""" refers to the mass of organic matter, not mass of organic carbon alone. We recommend a scale factor of POM=1.4*OC, unless your model has more detailed info available. Was called emi_pom in old ACCMIP Excel table. Integrate 3D emission field vertically to 2d field. """"mass"""" refers to the mass of organic matter, not mass of organic carbon alone. Was called emi_apom in old ACCMIP Excel table.  Integrate 3D emission field vertically to 2d field.","tendency of atmosphere mass content of organic matter dry aerosol due to net production and emission.  This is the sum of total emission of POA and total production of SOA (see next two entries). """"Mass"""" refers to the mass of organic matter, not mass of organic carbon alone.","emioa","tendency_of_atmosphere_mass_content_of_particulate_organic_matter_dry_aerosol_due_to_net_chemical_production_and_emission","time: mean","None","real","longitude latitude time","emioa","aerosol","mon","area: areacella","CMIP5 [aero] ((isd.002))",,"21","523886b41b608ce9215833b0406b9c27","CFMIP,DAMIP,GeoMIP,HighResMIP,PMIP","CFMIP,CMIP6,DAMIP,DECK,GeoMIP,HighResMIP,PMIP","baacd9e6-e5dd-11e5-8482-ac72891c3257","False",-999,"False","False","False","False","lo-la-ti__emioa",
"1","Emission Rate of Dry Aerosol Primary Organic Matter","kg m-2 s-1","tendency of atmosphere mass content of primary organic aerosol due to emission:  """"mass"""" refers to the mass of primary organic matter, not mass of organic carbon alone.","tendency of atmosphere mass content of primary organic aerosol due to emission:  """"mass"""" refers to the mass of primary organic matter, not mass of organic carbon alone.","emipoa","tendency_of_atmosphere_mass_content_of_primary_particulate_organic_matter_dry_aerosol_due_to_emission","time: mean","None","real","longitude latitude time","emipoa","aerosol","mon","area: areacella","CMIP5 [aero] ((isd.002))",,"22","56369626e34fd5929d2bf572748d9c41","CFMIP,DAMIP,GeoMIP,HighResMIP,PMIP","CFMIP,CMIP6,DAMIP,DECK,GeoMIP,HighResMIP,PMIP","baacdedc-e5dd-11e5-8482-ac72891c3257","False",-999,"False","False","False","False","lo-la-ti__emipoa",
"1","production rate of dry aerosol secondary organic matter","kg m-2 s-1","tendency of atmosphere mass content of secondary organic matter_dry aerosol due to net production:  If model lumps SOA emissions with POA, then the sum of POA and SOA emissions is reported as POA emissions. """"mass"""" refers to the mass of primary organic matter, not mass of organic carbon alone. Instead of emi_soa in original ACCMIP Excel spreadsheet. That variable had notes: This can be a pseudo-emission flux as used in AEROCOM (Dentener et al, ACP, 2006) or the net. """"mass"""" refers to the mass of primary organic matter, not mass of organic carbon alone. proposed name: tendency_of_atmosphere_mass_content_of_anthropogenic_secondary_particulate_organic_matter_dry_aerosol_due_to_net_chemical_production. Used instead of emi_asoa in original ACCMIP Excel spreadsheet. That variable had notes: This can be a pseudo-emission flux as used in AEROCOM (Dentener et al, ACP, 2006) or the net.","tendency of atmosphere mass content of secondary organic matter_dry aerosol due to net production:  If model lumps SOA emissions with POA, then the sum of POA and SOA emissions is reported as POA emissions.  """"mass"""" refers to the mass of primary organic matter, not mass of organic carbon alone.","chepsoa","tendency_of_atmosphere_mass_content_of_secondary_particulate_organic_matter_dry_aerosol_due_to_net_chemical_production","time: mean","None","real","longitude latitude time","chepsoa","aerosol","mon","area: areacella","CMIP5 [aero] ((isd.002))",,"23","6b9531f047e39c91d82d58852a429555","CFMIP,DAMIP,GeoMIP,HighResMIP,PMIP","CFMIP,CMIP6,DAMIP,DECK,GeoMIP,HighResMIP,PMIP","baaa0950-e5dd-11e5-8482-ac72891c3257","False",-999,"False","False","False","False","lo-la-ti__chepsoa",
"1","emission rate of black carbon aerosol mass","kg m-2 s-1","Integrate 3D emission field vertically to 2d field.","None","emibc","tendency_of_atmosphere_mass_content_of_black_carbon_dry_aerosol_due_to_emission","time: mean","None","real","longitude latitude time","emibc","aerosol","mon","area: areacella","CMIP5 [aero] ((isd.002))",,"24","4d3400f4c74e9cd4d4100da7a915e6d9","CFMIP,DAMIP,GeoMIP,HighResMIP,PMIP","CFMIP,CMIP6,DAMIP,DECK,GeoMIP,HighResMIP,PMIP","baacb66e-e5dd-11e5-8482-ac72891c3257","False",-999,"False","False","False","False","lo-la-ti__emibc",
