"Priority","Long name","units","description","comment","Variable Name","CF Standard Name","cell_methods","positive","type","dimensions","CMOR Name","modeling_realm","frequency","cell_measures","prov","provNote","rowIndex","vid","MIPs (requesting)","MIPs (by experiment)","uid","AWI","CNRM","CMCC","ECEarth","MPI","METOFFICE","MO_key","STASH"
"1","Upwelling Longwave Radiation","W m-2","Includes also the fluxes at the surface and TOA.","Includes also the fluxes at the surface and TOA.","rlu","upwelling_longwave_flux_in_air","time: mean","up","real","longitude latitude alevhalf time","rlu","atmos","mon","area: areacella","CMIP5 [cfMon] ((isd.002))",,"15","bcfeacf77d49ef51a6ee66a1ab0ebcb4","AerChemMIP,CFMIP,DAMIP,GeoMIP,HighResMIP,PMIP","AerChemMIP,CFMIP,CMIP6,DAMIP,DECK,GeoMIP,HighResMIP,PMIP,ScenarioMIP","bab56d68-e5dd-11e5-8482-ac72891c3257","False",1,"False","x","x","UM:1","lo-la-ah-ti__rlu","m01s02i217"
"1","Upwelling Shortwave Radiation","W m-2","Includes also the fluxes at the surface and TOA.","Includes also the fluxes at the surface and TOA.","rsu","upwelling_shortwave_flux_in_air","time: mean","up","real","longitude latitude alevhalf time","rsu","atmos","mon","area: areacella","CMIP5 [cfMon] ((isd.002))",,"16","c323f38340e4846931ad4891232d839d","AerChemMIP,CFMIP,DAMIP,GeoMIP,HighResMIP,PMIP","AerChemMIP,CFMIP,CMIP6,DAMIP,DECK,GeoMIP,HighResMIP,PMIP,ScenarioMIP","bab64814-e5dd-11e5-8482-ac72891c3257","False",1,"False","x","x","UM:1","lo-la-ah-ti__rsu","m01s01i217"
"1","Downwelling Longwave Radiation","W m-2","Includes also the fluxes at the surface and TOA.","Includes also the fluxes at the surface and TOA.","rld","downwelling_longwave_flux_in_air","time: mean","down","real","longitude latitude alevhalf time","rld","atmos","mon","area: areacella","CMIP5 [cfMon] ((isd.002))",,"17","c432bfbfc0e7f4403f91af39736ff61c","AerChemMIP,CFMIP,DAMIP,GeoMIP,HighResMIP,PMIP","AerChemMIP,CFMIP,CMIP6,DAMIP,DECK,GeoMIP,HighResMIP,PMIP,ScenarioMIP","bab51cf0-e5dd-11e5-8482-ac72891c3257","False",1,"False","x","x","UM:1","lo-la-ah-ti__rld","m01s02i218"
"1","Downwelling Shortwave Radiation","W m-2","Includes also the fluxes at the surface and TOA.","Includes also the fluxes at the surface and TOA.","rsd","downwelling_shortwave_flux_in_air","time: mean","down","real","longitude latitude alevhalf time","rsd","atmos","mon","area: areacella","CMIP5 [cfMon] ((isd.002))",,"18","eb9ac643cd9c73cae960d6d2db7b901d","AerChemMIP,CFMIP,DAMIP,GeoMIP,HighResMIP,PMIP","AerChemMIP,CFMIP,CMIP6,DAMIP,DECK,GeoMIP,HighResMIP,PMIP,ScenarioMIP","bab5d424-e5dd-11e5-8482-ac72891c3257","False",1,"False","x","x","UM:1","lo-la-ah-ti__rsd","m01s01i218"
"1","Upwelling Clear-Sky Longwave Radiation","W m-2","Includes also the fluxes at the surface and TOA.","Includes also the fluxes at the surface and TOA.","rlucs","upwelling_longwave_flux_in_air_assuming_clear_sky","time: mean","up","real","longitude latitude alevhalf time","rlucs","atmos","mon","area: areacella","CMIP5 [cfMon] ((isd.002))",,"19","a8607fe15cb4f2997228523340233d91","AerChemMIP,CFMIP,DAMIP,GeoMIP,HighResMIP,PMIP","AerChemMIP,CFMIP,CMIP6,DAMIP,DECK,GeoMIP,HighResMIP,PMIP,ScenarioMIP","bab5768c-e5dd-11e5-8482-ac72891c3257","False",1,"False","False","x","UM:1","lo-la-ah-ti__rlucs","m01s02i219"
"1","Upwelling Clear-Sky Shortwave Radiation","W m-2","Includes also the fluxes at the surface and TOA.","Includes also the fluxes at the surface and TOA.","rsucs","upwelling_shortwave_flux_in_air_assuming_clear_sky","time: mean","up","real","longitude latitude alevhalf time","rsucs","atmos","mon","area: areacella","CMIP5 [cfMon] ((isd.002))",,"20","eb72b66b6365daed79aefeda9d3d30b5","AerChemMIP,CFMIP,DAMIP,GeoMIP,HighResMIP,PMIP","AerChemMIP,CFMIP,CMIP6,DAMIP,DECK,GeoMIP,HighResMIP,PMIP,ScenarioMIP","bab64ee0-e5dd-11e5-8482-ac72891c3257","False",1,"False","False","x","UM:1","lo-la-ah-ti__rsucs","m01s01i219"
"1","Downwelling Clear-Sky Longwave Radiation","W m-2","Includes also the fluxes at the surface and TOA.","Includes also the fluxes at the surface and TOA.","rldcs","downwelling_longwave_flux_in_air_assuming_clear_sky","time: mean","down","real","longitude latitude alevhalf time","rldcs","atmos","mon","area: areacella","CMIP5 [cfMon] ((isd.002))",,"21","e79eb59d74038643b2201bb0556e720a","AerChemMIP,CFMIP,DAMIP,GeoMIP,HighResMIP,PMIP","AerChemMIP,CFMIP,CMIP6,DAMIP,DECK,GeoMIP,HighResMIP,PMIP,ScenarioMIP","bab5268c-e5dd-11e5-8482-ac72891c3257","False",1,"False","False","x","UM:1","lo-la-ah-ti__rldcs","m01s02i220"
"1","Downwelling Clear-Sky Shortwave Radiation","W m-2","Includes also the fluxes at the surface and TOA.","Includes also the fluxes at the surface and TOA.","rsdcs","downwelling_shortwave_flux_in_air_assuming_clear_sky","time: mean","down","real","longitude latitude alevhalf time","rsdcs","atmos","mon","area: areacella","CMIP5 [cfMon] ((isd.002))",,"22","38806cec3ba894d7745fada80c9f6fe6","AerChemMIP,CFMIP,DAMIP,GeoMIP,HighResMIP,PMIP","AerChemMIP,CFMIP,CMIP6,DAMIP,DECK,GeoMIP,HighResMIP,PMIP,ScenarioMIP","bab5d898-e5dd-11e5-8482-ac72891c3257","False",1,"False","False","x","UM:1","lo-la-ah-ti__rsdcs","m01s01i220"
"1","Air Temperature","K",,"None","ta","air_temperature","time: mean","None","real","longitude latitude alevel time","ta","atmos","mon","area: areacella","CMIP5 [cfMon] ((isd.002))",,"24","b9c3eb96337c69c1c4a5aab1317f5563","AerChemMIP,CFMIP,DAMIP,GeoMIP,HighResMIP","AerChemMIP,CFMIP,CMIP6,DAMIP,DECK,GeoMIP,HighResMIP,ScenarioMIP","bab8ff64-e5dd-11e5-8482-ac72891c3257","False",-3,"False","x","x","UM:1","lo-la-al-ti__ta","m01s16i004"
"1","Tendency of Air Temperature","K s-1","unset","None","tnt","tendency_of_air_temperature","time: mean","None","real","longitude latitude alevel time","tnt","atmos","mon","area: areacella","CMIP5 [cfMon] ((isd.002))",,"25","c8b1814845661bcad37910e70a59b285","AerChemMIP,CFMIP,DAMIP,GeoMIP,HighResMIP,PMIP","AerChemMIP,CFMIP,CMIP6,DAMIP,DECK,GeoMIP,HighResMIP,PMIP,ScenarioMIP","baba4b30-e5dd-11e5-8482-ac72891c3257","False",-3,"False","False","False","UM:1","lo-la-al-ti__tnt","m01s30i181"
