"priority","long_name","units","description","comment","name","standard_name","cell_methods","positive","type","dimensions","out_name","modeling_realm","frequency","cell_measures","prov","provNote","rowIndex","vid","MIPs (requesting)","MIPs (by experiment)","uid","AWI","CNRM","CMCC","ECEarth","MPI","METOFFICE","MO_key","STASH",
"1","Precipitation","kg m-2 s-1","includes both liquid and solid phases","at surface; includes both liquid and solid phases.  This is the 3-hour mean precipitation flux.","pr","precipitation_flux","time: mean","None","real","longitude latitude time","pr","atmos","3hr","area: areacella","CMIP5 [3hr] ((isd.002))",,"15","62f26742cf240c1b5169a5cd511196b6","AerChemMIP,HighResMIP","AerChemMIP,CMIP6,DECK,HighResMIP","bab3c904-e5dd-11e5-8482-ac72891c3257","x",1,"PRECT","x","x","UM:1","lo-la-ti__pr","m01s05i216",
"1",,"K","near-surface (usually, 2 meter) air temperature","This is sampled synoptically.","tas","air_temperature","time: point","None","real","longitude latitude time1  height2m","tas","atmos","3hr","area: areacella","CMIP5 [3hr] ((isd.002))",,"16","5c4978e802ba55d5a298cf1b3bdc2b3a","AerChemMIP,HighResMIP","AerChemMIP,CMIP6,DECK,HighResMIP","bab91b20-e5dd-11e5-8482-ac72891c3257","x",1,"TREFHT","x","x","UM:1","lo-la-ti-h__tas","m01s03i236",
"1","Surface Upward Latent Heat Flux","W m-2",,"This is the 3-hour mean flux.","hfls","surface_upward_latent_heat_flux","time: mean","up","real","longitude latitude time","hfls","atmos","3hr","area: areacella","CMIP5 [3hr] ((isd.002))",,"17","95cbf6ac889c8fe7d92e20e8c34960d1","AerChemMIP,HighResMIP","AerChemMIP,CMIP6,DECK,HighResMIP","baaefbcc-e5dd-11e5-8482-ac72891c3257","x",1,"False","x","x","UM:1","lo-la-ti__hfls","m01s03i234",
"1","Surface Upward Sensible Heat Flux","W m-2",,"This is the 3-hour mean flux.","hfss","surface_upward_sensible_heat_flux","time: mean","up","real","longitude latitude time","hfss","atmos","3hr","area: areacella","CMIP5 [3hr] ((isd.002))",,"18","a13ed886b17e20cdae8b89b9ff8e4610","AerChemMIP,HighResMIP","AerChemMIP,CMIP6,DECK,HighResMIP","baaf8452-e5dd-11e5-8482-ac72891c3257","x",1,"False","x","x","UM:1","lo-la-ti__hfss","m01s03i217",
"1","surface downwelling longwave radiation","W m-2",,"This is the 3-hour mean flux.","rlds","surface_downwelling_longwave_flux_in_air","time: mean","down","real","longitude latitude time","rlds","atmos","3hr","area: areacella","CMIP5 [3hr] ((isd.002))",,"19","70d7d6fc0e9c2f14624a0270bf2b99b9","AerChemMIP,HighResMIP","AerChemMIP,CMIP6,DECK,HighResMIP","bab52b5a-e5dd-11e5-8482-ac72891c3257","x",1,"False","x","x","UM:1","lo-la-ti__rlds","m01s02i207",
"1","surface upwelling longwave radiation","W m-2",,"This is the 3-hour mean flux.","rlus","surface_upwelling_longwave_flux_in_air","time: mean","up","real","longitude latitude time","rlus","atmos","3hr","area: areacella","CMIP5 [3hr] ((isd.002))",,"20","89027ee0079acb709750ddeac1c08899","AerChemMIP,HighResMIP","AerChemMIP,CMIP6,DECK,HighResMIP","bab59202-e5dd-11e5-8482-ac72891c3257","x",1,"False","x","x","UM:1","lo-la-ti__rlus","m01s02i201,m01s02i207",
"1","Surface Downwelling Shortwave Radiation","W m-2","surface solar irradiance for UV calculations","This is the 3-hour mean flux.","rsds","surface_downwelling_shortwave_flux_in_air","time: mean","down","real","longitude latitude time","rsds","atmos","3hr","area: areacella","CMIP5 [3hr] ((isd.002))",,"21","6e7b9f984d3bba15daccaaa18039a85d","AerChemMIP,HighResMIP","AerChemMIP,CMIP6,DECK,HighResMIP","bab5df78-e5dd-11e5-8482-ac72891c3257","x",1,"False","x","x","UM:1","lo-la-ti__rsds","m01s01i235",
"1","surface upwelling shortwave radiation","W m-2",,"This is the 3-hour mean flux.","rsus","surface_upwelling_shortwave_flux_in_air","time: mean","up","real","longitude latitude time","rsus","atmos","3hr","area: areacella","CMIP5 [3hr] ((isd.002))",,"22","70bf79db957daa3b82413da949233ac7","AerChemMIP,HighResMIP","AerChemMIP,CMIP6,DECK,HighResMIP","bab65138-e5dd-11e5-8482-ac72891c3257","x",1,"False","x","x","UM:1","lo-la-ti__rsus","m01s01i201,m01s01i235",
"1","Eastward Near-Surface Wind","m s-1","near-surface (usually, 10 meters) eastward component of wind.","This is sampled synoptically.","uas","eastward_wind","time: point","None","real","longitude latitude time1  height10m","uas","atmos","3hr",,"CMIP5 [3hr] ((isd.002))",,"24","e72b243a2a1c8691ab0168d8b62534c2","AerChemMIP,HighResMIP","AerChemMIP,CMIP6,DECK,HighResMIP","babb5db8-e5dd-11e5-8482-ac72891c3257","x",1,"False","x","x","UM:1","lo-la-ti-h__uas","m01s03i225",
"1","Northward Near-Surface Wind","m s-1","unset","This is sampled synoptically.","vas","northward_wind","time: point","None","real","longitude latitude time1  height10m","vas","atmos","3hr",,"CMIP5 [3hr] ((isd.002))",,"25","86b1cd51f370e346ecb20f1e80cb6ea4","AerChemMIP,HighResMIP","AerChemMIP,CMIP6,DECK,HighResMIP","babbdec8-e5dd-11e5-8482-ac72891c3257","x",1,"False","x","x","UM:1","lo-la-ti-h__vas","m01s03i226",
"1","Near-Surface Specific Humidity","1.0","near-surface (usually, 2 meter) specific humidity.","This is sampled synoptically.","huss","specific_humidity","time: point","None","real","longitude latitude time1  height2m","huss","atmos","3hr","area: areacella","CMIP5 [3hr] ((isd.002))",,"26","ebfefc2ab8716ef597b128171b275945","AerChemMIP,HighResMIP","AerChemMIP,CMIP6,DECK,HighResMIP","bab034a6-e5dd-11e5-8482-ac72891c3257","x",1,"False","x","x","UM:1","lo-la-ti-h__huss","m01s03i237",
"1","Moisture in Upper Portion of Soil Column","kg m-2","the mass of water in all phases in a thin surface soil layer.","the mass of water in all phases in a thin surface soil layer.","mrsos","moisture_content_of_soil_layer","time: point area: mean where land","None","real","longitude latitude time1  sdepth1","mrsos","land","3hr","area: areacella","CMIP5 [3hr] ((isd.002))",,"27","40c091a01dc9db6d6d5901528c375ab3","AerChemMIP,HighResMIP","AerChemMIP,CMIP6,DECK,HighResMIP","bab1c668-e5dd-11e5-8482-ac72891c3257","False",1,"False","x","False","UM:1","lo-la-ti-sd_a:m-land_mrsos","m01s08i223",
"1","Surface Temperature where Land or Sea Ice","K","""skin"" temperature of all surfaces except open ocean.","""""skin"""" temperature of all surfaces except open ocean, sampled synoptically.","tslsi","surface_temperature","time: point","None","real","longitude latitude time1","tslsi","land","3hr","area: areacella","CMIP5 [3hr] ((isd.002))",,"28","2a92e434b37059d90e72b193bdbcce0f","AerChemMIP,HighResMIP","AerChemMIP,CMIP6,DECK,HighResMIP","babb12ae-e5dd-11e5-8482-ac72891c3257","x",1,"False","x","x","UM:1","lo-la-ti__tslsi","m01s00i024",
"1","Sea Surface Temperature","K","temperature of surface of open ocean, sampled synoptically.","temperature of surface of open ocean, sampled synoptically.","tos","sea_surface_temperature","time: point area: mean where sea","None","real","longitude latitude time1","tos","ocean","3hr","area: areacella","CMIP5 [3hr] ((isd.002))",,"29","a7adfe95f91ab2379bd368936ae82edf","AerChemMIP,HighResMIP","AerChemMIP,CMIP6,DECK,HighResMIP","babb20b4-e5dd-11e5-8482-ac72891c3257","x",1,"False","x","x","UM:1","lo-la-ti_a:m-sea_tos",,
"1","Convective Precipitation","kg m-2 s-1","at surface; includes both liquid and solid phases.","at surface.  This is a 3-hour mean convective precipitation flux.","prc","convective_precipitation_flux","time: mean","None","real","longitude latitude time","prc","atmos","3hr","area: areacella","CMIP5 [3hr] ((isd.002))",,"30","aa2bea81f238ad8f2c35a7e16ad97801","AerChemMIP,HighResMIP","AerChemMIP,CMIP6,DECK,HighResMIP","bab40c20-e5dd-11e5-8482-ac72891c3257","x",1,"False","x","x","UM:1","lo-la-ti__prc","m01s05i205,m01s05i206",
"1","Snowfall Flux","kg m-2 s-1","at surface; includes precipitation of all forms of water in the solid phase","at surface.  Includes precipitation of all forms water in the solid phase.  This is the 3-hour mean snowfall flux.","prsn","snowfall_flux","time: mean","None","real","longitude latitude time","prsn","atmos","3hr","area: areacella","CMIP5 [3hr] ((isd.002))",,"31","051919eddec810e292c883205c944ceb","AerChemMIP,HighResMIP","AerChemMIP,CMIP6,DECK,HighResMIP","bab42912-e5dd-11e5-8482-ac72891c3257","x",1,"False","x","x","UM:1","lo-la-ti__prsn","m01s05i215",
"1","Total Runoff","kg m-2 s-1","""the total runoff (including """"drainage"""" through the base of the soil model) leaving the land portion of the grid cell.""","the total runoff (including """"drainage"""" through the base of the soil model) leaving the land portion of the grid cell divided by the land area in the grid cell, averaged over the 3-hour interval.","mrro","runoff_flux","time: mean area: mean where land","None","real","longitude latitude time","mrro","land","3hr","area: areacella","CMIP5 [3hr] ((isd.002))",,"32","e0a0f457ec117b27ca8353b11bf9d4fa","AerChemMIP,HighResMIP","AerChemMIP,CMIP6,DECK,HighResMIP","bab177b2-e5dd-11e5-8482-ac72891c3257","x",1,"False","x","x","UM:1","lo-la-ti_a:m-land_mrro","m01s08i234,m01s08i235",
"1","Surface Downwelling Clear-Sky Longwave Radiation","W m-2","unset","This is a 3-hour mean flux.","rldscs","surface_downwelling_longwave_flux_in_air_assuming_clear_sky","time: mean","down","real","longitude latitude time","rldscs","atmos","3hr","area: areacella","CMIP5 [3hr] ((isd.002))",,"33","7b2d1e1a3ece1169d8ac61af4b758ed2","AerChemMIP,HighResMIP","AerChemMIP,CMIP6,DECK,HighResMIP","bab55f12-e5dd-11e5-8482-ac72891c3257","False",1,"False","False","x","UM:1","lo-la-ti__rldscs","m01s02i208",
"1","Surface Downwelling Clear-Sky Shortwave Radiation","W m-2","surface solar irradiance clear sky for UV calculations","This is a 3-hour mean flux.","rsdscs","surface_downwelling_shortwave_flux_in_air_assuming_clear_sky","time: mean","down","real","longitude latitude time","rsdscs","atmos","3hr","area: areacella","CMIP5 [3hr] ((isd.002))",,"34","d0a35d5c99a0aa93ad4069cfe83bf748","AerChemMIP,HighResMIP","AerChemMIP,CMIP6,DECK,HighResMIP","bab612cc-e5dd-11e5-8482-ac72891c3257","False",1,"False","False","x","UM:1","lo-la-ti__rsdscs","m01s01i210",
"1","surface upwelling shortwave radiation","W m-2",,"This is a 3-hour mean flux.","rsus","surface_upwelling_shortwave_flux_in_air","time: mean","up","real","longitude latitude time","rsuscs","atmos","3hr","area: areacella","CMIP5 [3hr] ((isd.002))",,"35","70bf79db957daa3b82413da949233ac7","AerChemMIP,HighResMIP","AerChemMIP,CMIP6,DECK,HighResMIP","bab66e70-e5dd-11e5-8482-ac72891c3257","False",1,"False","False","x","UM:1","lo-la-ti__rsuscs","m01s01i211","Faulty: CMOR name and variable name do not match. most entries are for the variable rsus rather than its clear sky equivalent rsuscs. This error is in the CMIP6 data request"
"1","Surface Air Pressure","Pa","surface pressure (not mean sea-level pressure), 2-D field to calculate the 3-D pressure field from hybrid coordinates","sampled synoptically to diagnose atmospheric tides, this is better than mean sea level pressure.","ps","surface_air_pressure","time: point","None","real","longitude latitude time1","ps","atmos","3hr","area: areacella","CMIP5 [3hr] ((isd.002))",,"36","8c9504d28596e05586c8e193082ac617","AerChemMIP,HighResMIP","AerChemMIP,CMIP6,DECK,HighResMIP","bab47354-e5dd-11e5-8482-ac72891c3257","x",1,"False","x","x","UM:1","lo-la-ti__ps","m01s00i409",
"1","Cloud Area Fraction","1.0","cloud area fraction","for the whole atmospheric column, as seen from the surface or the top of the atmosphere. Include both large-scale and convective cloud.  This is a 3-hour mean.","clt","cloud_area_fraction_in_atmosphere_layer","time: mean","None","real","longitude latitude time","clt","atmos","3hr","area: areacella","CMIP5 [3hr] ((isd.002))",,"37","7c2249d424dde72f8616d42870a9d425","AerChemMIP,HighResMIP","AerChemMIP,CMIP6,DECK,HighResMIP","baaad560-e5dd-11e5-8482-ac72891c3257","x",1,"False","x","x","UM:1","lo-la-ti__clt","m01s02i204",
"1","Surface Diffuse Downwelling Shortwave Radiation","W m-2","unset","This is a 3-hour mean flux.","rsdsdiff","surface_diffuse_downwelling_shortwave_flux_in_air","time: mean","None","real","longitude latitude time","rsdsdiff","atmos","3hr","area: areacella","CMIP5 [3hr] ((isd.002))",,"38","f27656eeae247192e82aa1032c911399","AerChemMIP,HighResMIP","AerChemMIP,CMIP6,DECK,HighResMIP","bab61768-e5dd-11e5-8482-ac72891c3257","False",1,"False","x","False","UM:1","lo-la-ti__rsdsdiff","m01s01i231",
