"priority","long_name","units","description","comment","name","standard_name","cell_methods","positive","type","dimensions","out_name","modeling_realm","frequency","cell_measures","prov","provNote","rowIndex","vid","MIPs (requesting)","MIPs (by experiment)","uid","AWI","CNRM","CMCC","ECEarth","MPI","METOFFICE","MO_key","STASH"
"0","surface altitude","m","The surface called ""surface"" means the lower boundary of the atmosphere. Altitude is the (geometric) height above the geoid, which is the reference geopotential surface. The geoid is similar to mean sea level.","height above the geoid; as defined here, """"the geoid"""" is a surface of constant geopotential that, if the ocean were at rest, would coincide with mean sea level. Under this definition, the geoid changes as the mean volume of the ocean changes (e.g., due to glacial melt, or global warming of the ocean).  Report here the height above the present-day geoid.  Over ocean, report as 0.0","orog","surface_altitude",,"None","real","longitude latitude","orog","atmos","day",,"CMIP5 [cfDay] ((isd.002))",,"0","00e77372e8b909d9a827a0790e991fd9","AerChemMIP,CFMIP,HighResMIP,VolMIP","AerChemMIP,CFMIP,CMIP6,DECK,HighResMIP,ScenarioMIP,VolMIP","bab2eb42-e5dd-11e5-8482-ac72891c3257",,,,"x",,,"lo-la__orog","m01s00i033"
"1","Surface Air Pressure","Pa","surface pressure (not mean sea-level pressure), 2-D field to calculate the 3-D pressure field from hybrid coordinates","None","ps","surface_air_pressure","time: mean","None","real","longitude latitude time","ps","atmos","day","area: areacella","CMIP5 [cfDay] ((isd.002))",,"15","8c9504d28596e05586c8e193082ac617","AerChemMIP,CFMIP,HighResMIP,VolMIP","AerChemMIP,CFMIP,CMIP6,DECK,HighResMIP,ScenarioMIP,VolMIP","bab46db4-e5dd-11e5-8482-ac72891c3257","False",1,"False","x","x","UM:1","lo-la-ti__ps","m01s00i409"
"1","TOA Incident Shortwave Radiation","W m-2","at the top of the atmosphere","None","rsdt","toa_incoming_shortwave_flux","time: mean","down","real","longitude latitude time","rsdt","atmos","day","area: areacella","CMIP5 [cfDay] ((isd.002))",,"16","a21e250a10f96b1c1ad6d742206a157e","AerChemMIP,CFMIP,HighResMIP,VolMIP","AerChemMIP,CFMIP,CMIP6,DECK,HighResMIP,ScenarioMIP,VolMIP","bab625a0-e5dd-11e5-8482-ac72891c3257","error",1,"False","x","x","UM:1","lo-la-ti__rsdt","m01s01i207"
"1","toa outgoing shortwave radiation","W m-2","at the top of the atmosphere","None","rsut","toa_outgoing_shortwave_flux","time: mean","up","real","longitude latitude time","rsut","atmos","day","area: areacella","CMIP5 [cfDay] ((isd.002))",,"17","b907fef85d4c9571a9457ee1b259bb8f","AerChemMIP,CFMIP,HighResMIP,VolMIP","AerChemMIP,CFMIP,CMIP6,DECK,HighResMIP,ScenarioMIP,VolMIP","bab68392-e5dd-11e5-8482-ac72891c3257","False",1,"False","x","x","UM:1","lo-la-ti__rsut","m01s01i208"
"1","Surface Downwelling Clear-Sky Shortwave Radiation","W m-2","surface solar irradiance clear sky for UV calculations","None","rsdscs","surface_downwelling_shortwave_flux_in_air_assuming_clear_sky","time: mean","down","real","longitude latitude time","rsdscs","atmos","day","area: areacella","CMIP5 [cfDay] ((isd.002))",,"18","d0a35d5c99a0aa93ad4069cfe83bf748","AerChemMIP,CFMIP,HighResMIP,VolMIP","AerChemMIP,CFMIP,CMIP6,DECK,HighResMIP,ScenarioMIP,VolMIP","bab60b42-e5dd-11e5-8482-ac72891c3257","False",1,"False","False","x","UM:1","lo-la-ti__rsdscs","m01s01i210"
"1","Surface Upwelling Clear-Sky Shortwave Radiation","W m-2","unset","None","rsuscs","surface_upwelling_shortwave_flux_in_air_assuming_clear_sky","time: mean","up","real","longitude latitude time","rsuscs","atmos","day","area: areacella","CMIP5 [cfDay] ((isd.002))",,"19","90df05fe3dcd9fe0c9b48aaa74b5e9e2","AerChemMIP,CFMIP,HighResMIP,VolMIP","AerChemMIP,CFMIP,CMIP6,DECK,HighResMIP,ScenarioMIP,VolMIP","bab67424-e5dd-11e5-8482-ac72891c3257","False",1,"False","False","x","UM:1","lo-la-ti__rsuscs","m01s01i211"
"1","Surface Downwelling Clear-Sky Longwave Radiation","W m-2","unset","None","rldscs","surface_downwelling_longwave_flux_in_air_assuming_clear_sky","time: mean","down","real","longitude latitude time","rldscs","atmos","day","area: areacella","CMIP5 [cfDay] ((isd.002))",,"20","7b2d1e1a3ece1169d8ac61af4b758ed2","AerChemMIP,CFMIP,HighResMIP,VolMIP","AerChemMIP,CFMIP,CMIP6,DECK,HighResMIP,ScenarioMIP,VolMIP","bab55792-e5dd-11e5-8482-ac72891c3257","False",1,"False","False","x","UM:1","lo-la-ti__rldscs","m01s02i208"
"1","toa outgoing clear-sky longwave radiation","W m-2",,"None","rlutcs","toa_outgoing_longwave_flux_assuming_clear_sky","time: mean","up","real","longitude latitude time","rlutcs","atmos","day","area: areacella","CMIP5 [cfDay] ((isd.002))",,"21","921b8b8f6620826567d9324314c70410","AerChemMIP,CFMIP,HighResMIP,VolMIP","AerChemMIP,CFMIP,CMIP6,DECK,HighResMIP,ScenarioMIP,VolMIP","bab5c09c-e5dd-11e5-8482-ac72891c3257","False",1,"False","x","x","UM:1","lo-la-ti__rlutcs","m01s02i206"
"1","toa outgoing clear-sky shortwave radiation","W m-2",,"None","rsutcs","toa_outgoing_shortwave_flux_assuming_clear_sky","time: mean","up","real","longitude latitude time","rsutcs","atmos","day","area: areacella","CMIP5 [cfDay] ((isd.002))",,"22","12e0369ff0ba1a6f1a84e0d9565d4b07","AerChemMIP,CFMIP,HighResMIP,VolMIP","AerChemMIP,CFMIP,CMIP6,DECK,HighResMIP,ScenarioMIP,VolMIP","bab69f76-e5dd-11e5-8482-ac72891c3257","False",-3,"False","x","x","UM:1","lo-la-ti__rsutcs","m01s01i209"
"1","Condensed Water Path","kg m-2","Mass of condensed (liquid + ice) water in the column divided by the area of the column (not just the area of the cloudy portion of the column). Includes precipitating hydrometeors ONLY if the precipitating hydrometeors affect the calculation of radiative transfer in model.","calculate mass of condensed (liquid + ice) water in the column divided by the area of the column (not just the area of the cloudy portion of the column). This includes precipitating hydrometeors ONLY if the precipitating hydrometeors affect the calculation of radiative transfer in model.","clwvi","atmosphere_cloud_condensed_water_content","time: mean","None","real","longitude latitude time","clwvi","atmos","day","area: areacella","CMIP5 [cfDay] ((isd.002))",,"24","80a1dd605b563e9f09c718a5ba9cb9cc","AerChemMIP,CFMIP,HighResMIP,VolMIP","AerChemMIP,CFMIP,CMIP6,DECK,HighResMIP,ScenarioMIP,VolMIP","baab15a2-e5dd-11e5-8482-ac72891c3257","False",1,"False","x","x","UM:1","lo-la-ti__clwvi","m01s00i409"
