"priority","long_name","units","description","comment","name","standard_name","cell_methods","positive","type","dimensions","out_name","modeling_realm","frequency","cell_measures","prov","provNote","rowIndex","vid","MIPs (requesting)","MIPs (by experiment)","uid","AWI","CNRM","CMCC","ECEarth","MPI","METOFFICE","MO_key","STASH"
"1","Precipitation","kg m-2 s-1","includes both liquid and solid phases","Total precipitation flux","pr","precipitation_flux","time: mean","None","real","longitude latitude time","pr","atmos","1hr","area: areacella","HighResMIP [1hrLev]",,"13","62f26742cf240c1b5169a5cd511196b6","HighResMIP","CMIP6,DECK,HighResMIP","0ad6e2e2-00a8-11e6-ab7d-5404a60d96b5","False",1,"False","False","can be done in time slice together with 1h PRIMAVERA additional variables","UM:1","lo-la-ti__pr","m01s05i216"
"1","Convective Precipitation","kg m-2 s-1","at surface; includes both liquid and solid phases.","Convective precipitation flux","prc","convective_precipitation_flux","time: mean","None","real","longitude latitude time","prc","atmos","1hr","area: areacella","HighResMIP [1hrLev]",,"14","aa2bea81f238ad8f2c35a7e16ad97801","HighResMIP","CMIP6,DECK,HighResMIP","0ad6e80a-00a8-11e6-ab7d-5404a60d96b5","False","False","False","False","can be done in time slice together with 1h PRIMAVERA additional variables","UM:1","lo-la-ti__prc","m01s05i205,m01s05i206"
"3","Eastward Wind","m s-1",,"Pressure levels (3)","ua","eastward_wind","time: point","None","real","longitude latitude plev3 time1","ua","atmos","1hr","area: areacella","HighResMIP [1hr_energy]",,"13","21db90c0a12448299f855fdab60930d4","HighResMIP","DECK,HighResMIP","0ad95a4a-00a8-11e6-ab7d-5404a60d96b5","False","False","False","False","False","False","lo-la-p-ti__ua","m01s30i201,m01s30i301"
"3","Northward Wind","m s-1",,"Pressure levels (3)","va","northward_wind","time: point","None","real","longitude latitude plev3 time1","va","atmos","1hr","area: areacella","HighResMIP [1hr_energy]",,"14","2dedcb347c18e132a2f4d625abf94585","HighResMIP","DECK,HighResMIP","0ad95f5e-00a8-11e6-ab7d-5404a60d96b5","False","False","False","False","False","False","lo-la-p-ti__va","m01s30i202,m01s30i301"
"3","omega (=dp/dt)","Pa s-1","commonly referred to as """"omega"""", this represents the vertical component of velocity in pressure coordinates (positive down)","Pressure levels (3)","wap","lagrangian_tendency_of_air_pressure","time: point","None","real","longitude latitude plev3 time1","wap","atmos","1hr","area: areacella","HighResMIP [1hr_energy]",,"15","51fb29dd55442361fa9c5dbe23aca9c6","HighResMIP","DECK,HighResMIP","0ad96468-00a8-11e6-ab7d-5404a60d96b5","False","False","False","False","False","False","lo-la-p-ti__wap","m01s30i208,m01s30i301"
"3","Air Temperature","K",,"Pressure levels (3)","ta","air_temperature","time: point","None","real","longitude latitude plev3 time1","ta","atmos","1hr","area: areacella","HighResMIP [1hr_energy]",,"16","b9c3eb96337c69c1c4a5aab1317f5563","HighResMIP","DECK,HighResMIP","0ad96b70-00a8-11e6-ab7d-5404a60d96b5","False","False","False","False","False","False","lo-la-p-ti__ta","m01s30i204,m01s30i301"
"3","Eastward Wind","m s-1",,"Model levels or plev_27","ua","eastward_wind","time: point","None","real","longitude latitude plev27 time1","ua27","atmos","1hr","area: areacella","HighResMIP [1hr_strat]",,"13","21db90c0a12448299f855fdab60930d4","HighResMIP","DECK,HighResMIP","4a64285a-00b9-11e6-a080-5404a60d96b5","False","False","False","False","False","False","lo-la-p-ti__ua27","m01s30i201,m01s30i301"
"3","Northward Wind","m s-1",,"Model levels or plev_27","va","northward_wind","time: point","None","real","longitude latitude plev27 time1","va27","atmos","1hr","area: areacella","HighResMIP [1hr_strat]",,"14","2dedcb347c18e132a2f4d625abf94585","HighResMIP","DECK,HighResMIP","4a6365b4-00b9-11e6-a080-5404a60d96b5","False","False","False","False","False","False","lo-la-p-ti__va27","m01s30i202,m01s30i301"
"3","omega (=dp/dt)","Pa s-1","commonly referred to as """"omega"""", this represents the vertical component of velocity in pressure coordinates (positive down)","Model levels or plev_27","wap","lagrangian_tendency_of_air_pressure","time: point","None","real","longitude latitude plev27 time1","wap27","atmos","1hr","area: areacella","HighResMIP [1hr_strat]",,"15","51fb29dd55442361fa9c5dbe23aca9c6","HighResMIP","DECK,HighResMIP","4a5de6b6-00b9-11e6-a080-5404a60d96b5","False","False","False","False","False","False","lo-la-p-ti__wap27","m01s30i208,m01s30i301"
"3","Air Temperature","K",,"Model levels or plev_27","ta","air_temperature","time: point","None","real","longitude latitude plev27 time1","ta27","atmos","1hr","area: areacella","HighResMIP [1hr_strat]",,"16","b9c3eb96337c69c1c4a5aab1317f5563","HighResMIP","DECK,HighResMIP","4a6231f8-00b9-11e6-a080-5404a60d96b5","False","False","False","False","False","False","lo-la-p-ti__ta27","m01s30i204,m01s30i301"
"3","Geopotential Height","m",,"Model levels or plev_27","zg","geopotential_height","time: point","None","real","longitude latitude plev27 time1","zg27","atmos","1hr","area: areacella","HighResMIP [1hr_strat]",,"17","28e774ec0ecd561a6a3d437e6c443a6b","HighResMIP","DECK,HighResMIP","4a61e09a-00b9-11e6-a080-5404a60d96b5","False","False","False","False","False","False","lo-la-p-ti__zg27","m01s30i207,m01s30i301"
"3","Tendency of Air Temperature due to Radiative Heating","K s-1","unset","Model levels or plev_27","tntr","tendency_of_air_temperature_due_to_radiative_heating","time: point","None","real","longitude latitude plev27 time1","tntr27","atmos","1hr","area: areacella","HighResMIP [1hr_strat]",,"18","93a0ba1f23bfc41b720ea68951d28144","HighResMIP","DECK,HighResMIP","4a5e13a2-00b9-11e6-a080-5404a60d96b5","False","False","False","False","False","False","lo-la-p-ti__tntr27",
"3","x_gravity_wave_drag_param","m s-2","Parameterised x-component of non-orographic gravity wave drag","lower priority","xnonoroggwdparam","x_gravity_wave_drag_param","time: point",,,"longitude latitude plev27 time1","xnonoroggwdparam27","atmos","1hr","area: areacella","HighResMIP [1hr_strat]",,"19","590d3bf8-9e49-11e5-803c-0d0b866b59f3","HighResMIP","DECK,HighResMIP","4a64c29c-00b9-11e6-a080-5404a60d96b5","False","False","False","False","False","False","lo-la-p-ti__xnonoroggwdparam27",
