"priority","long_name","units","description","comment","name","standard_name","cell_methods","positive","type","dimensions","out_name","modeling_realm","frequency","cell_measures","prov","provNote","rowIndex","vid","MIPs (requesting)","MIPs (by experiment)","uid","AWI","CNRM","CMCC","ECEarth","MPI","METOFFICE","MO_key","STASH"
"1","Specific Humidity","1.0",,"These are standard variables from CMIP5.","hus","specific_humidity","time: mean","None","real","longitude latitude plev10 time","hus10","atmos","day","area: areacella","DynVar [DYVR_daily_d]",,"18","53f4724d228998d54191c73352532ce3","DynVar","AerChemMIP,CMIP6,DECK,HighResMIP,ScenarioMIP,SolarMIP,VolMIP","0abde1ac-00a8-11e6-ab7d-5404a60d96b5",,,,"False",,"False","lo-la-p-ti__hus10","m01s30i205,m01s30i301"
"2","Specific Humidity","1.0",,"These are standard variables from CMIP5.","hus","specific_humidity","time: mean","None","real","longitude latitude plev19 time","hus17","atmos","day","area: areacella","DynVar [DYVR_daily_d]",,"18","53f4724d228998d54191c73352532ce3","DynVar","AerChemMIP,CMIP6,DECK,HighResMIP,ScenarioMIP,SolarMIP,VolMIP","4a6343c2-00b9-11e6-a080-5404a60d96b5",,,,"False",,"False","lo-la-p-ti__hus17","m01s30i205,m01s30i301"
"3","Specific Humidity","1.0",,"These are standard variables from CMIP5.","hus","specific_humidity","time: mean","None","real","longitude latitude plev23 time","hus23","atmos","day","area: areacella","DynVar [DYVR_daily_d]",,"18","53f4724d228998d54191c73352532ce3","DynVar","AerChemMIP,CMIP6,DECK,HighResMIP,ScenarioMIP,SolarMIP,VolMIP","4a6345de-00b9-11e6-a080-5404a60d96b5",,,,"x",,"UM:1","lo-la-p-ti__hus23","m01s30i205,m01s30i301"
"1","Air Temperature","K",,"The difference is to request greater vertical","ta","air_temperature","time: mean","None","real","longitude latitude plev10 time","ta10","atmos","day","area: areacella","DynVar [DYVR_daily_d]",,"19","b9c3eb96337c69c1c4a5aab1317f5563","DynVar","AerChemMIP,CMIP6,DECK,HighResMIP,ScenarioMIP,SolarMIP,VolMIP","0abde706-00a8-11e6-ab7d-5404a60d96b5",,,,"False",,"False","lo-la-p-ti__ta10","m01s30i204,m01s30i301"
"2","Air Temperature","K",,"The difference is to request greater vertical","ta","air_temperature","time: mean","None","real","longitude latitude plev19 time","ta17","atmos","day","area: areacella","DynVar [DYVR_daily_d]",,"19","b9c3eb96337c69c1c4a5aab1317f5563","DynVar","AerChemMIP,CMIP6,DECK,HighResMIP,ScenarioMIP,SolarMIP,VolMIP","4a63f2e0-00b9-11e6-a080-5404a60d96b5",,,,"False",,"False","lo-la-p-ti__ta17","m01s30i204,m01s30i301"
"3","Air Temperature","K",,"The difference is to request greater vertical","ta","air_temperature","time: mean","None","real","longitude latitude plev23 time","ta23","atmos","day","area: areacella","DynVar [DYVR_daily_d]",,"19","b9c3eb96337c69c1c4a5aab1317f5563","DynVar","AerChemMIP,CMIP6,DECK,HighResMIP,ScenarioMIP,SolarMIP,VolMIP","4a63f524-00b9-11e6-a080-5404a60d96b5",,,,"x",,"UM:1","lo-la-p-ti__ta23","m01s30i204,m01s30i301"
"1","Eastward Wind","m s-1",,"resolution: 17 standard level.","ua","eastward_wind","time: mean","None","real","longitude latitude plev10 time","ua10","atmos","day","area: areacella","DynVar [DYVR_daily_d]",,"20","21db90c0a12448299f855fdab60930d4","DynVar","AerChemMIP,CMIP6,DECK,HighResMIP,ScenarioMIP,SolarMIP,VolMIP","0abdebac-00a8-11e6-ab7d-5404a60d96b5",,,,"False",,"False","lo-la-p-ti__ua10","m01s30i201,m01s30i301"
"2","Eastward Wind","m s-1",,"resolution: 17 standard level.","ua","eastward_wind","time: mean","None","real","longitude latitude plev19 time","ua17","atmos","day","area: areacella","DynVar [DYVR_daily_d]",,"20","21db90c0a12448299f855fdab60930d4","DynVar","AerChemMIP,CMIP6,DECK,HighResMIP,ScenarioMIP,SolarMIP,VolMIP","4a62d946-00b9-11e6-a080-5404a60d96b5",,,,"False",,"False","lo-la-p-ti__ua17","m01s30i201,m01s30i301"
"3","Eastward Wind","m s-1",,"resolution: 17 standard level.","ua","eastward_wind","time: mean","None","real","longitude latitude plev23 time","ua23","atmos","day","area: areacella","DynVar [DYVR_daily_d]",,"20","21db90c0a12448299f855fdab60930d4","DynVar","AerChemMIP,CMIP6,DECK,HighResMIP,ScenarioMIP,SolarMIP,VolMIP","4a62db44-00b9-11e6-a080-5404a60d96b5",,,,"x",,"UM:1","lo-la-p-ti__ua23","m01s30i201,m01s30i301"
"1","Northward Wind","m s-1",,,"va","northward_wind","time: mean","None","real","longitude latitude plev10 time","va10","atmos","day","area: areacella","DynVar [DYVR_daily_d]",,"21","2dedcb347c18e132a2f4d625abf94585","DynVar","AerChemMIP,CMIP6,DECK,HighResMIP,ScenarioMIP,SolarMIP,VolMIP","0abdf048-00a8-11e6-ab7d-5404a60d96b5",,,,"False",,"False","lo-la-p-ti__va10","m01s30i202,m01s30i301"
"2","Northward Wind","m s-1",,,"va","northward_wind","time: mean","None","real","longitude latitude plev19 time","va17","atmos","day","area: areacella","DynVar [DYVR_daily_d]",,"21","2dedcb347c18e132a2f4d625abf94585","DynVar","AerChemMIP,CMIP6,DECK,HighResMIP,ScenarioMIP,SolarMIP,VolMIP","4a612150-00b9-11e6-a080-5404a60d96b5",,,,"False",,"False","lo-la-p-ti__va17","m01s30i202,m01s30i301"
"3","Northward Wind","m s-1",,,"va","northward_wind","time: mean","None","real","longitude latitude plev23 time","va23","atmos","day","area: areacella","DynVar [DYVR_daily_d]",,"21","2dedcb347c18e132a2f4d625abf94585","DynVar","AerChemMIP,CMIP6,DECK,HighResMIP,ScenarioMIP,SolarMIP,VolMIP","4a6123c6-00b9-11e6-a080-5404a60d96b5",,,,"x",,"UM:1","lo-la-p-ti__va23","m01s30i202,m01s30i301"
"1","omega (=dp/dt)","Pa s-1","commonly referred to as """"omega"""", this represents the vertical component of velocity in pressure coordinates (positive down)","wap is a lower priority request (level 2, not level 1)","wap","lagrangian_tendency_of_air_pressure","time: mean","None","real","longitude latitude plev10 time","wap10","atmos","day","area: areacella","DynVar [DYVR_daily_d]",,"22","51fb29dd55442361fa9c5dbe23aca9c6","DynVar","AerChemMIP,CMIP6,DECK,HighResMIP,ScenarioMIP,SolarMIP,VolMIP","0abdf4da-00a8-11e6-ab7d-5404a60d96b5",,,,"False",,"False","lo-la-p-ti__wap10","m01s30i208,m01s30i301"
"2","omega (=dp/dt)","Pa s-1","commonly referred to as """"omega"""", this represents the vertical component of velocity in pressure coordinates (positive down)","wap is a lower priority request (level 2, not level 1)","wap","lagrangian_tendency_of_air_pressure","time: mean","None","real","longitude latitude plev19 time","wap17","atmos","day","area: areacella","DynVar [DYVR_daily_d]",,"22","51fb29dd55442361fa9c5dbe23aca9c6","DynVar","AerChemMIP,CMIP6,DECK,HighResMIP,ScenarioMIP,SolarMIP,VolMIP","4a5d050c-00b9-11e6-a080-5404a60d96b5",,,,"False",,"False","lo-la-p-ti__wap17","m01s30i208,m01s30i301"
"3","omega (=dp/dt)","Pa s-1","commonly referred to as """"omega"""", this represents the vertical component of velocity in pressure coordinates (positive down)","wap is a lower priority request (level 2, not level 1)","wap","lagrangian_tendency_of_air_pressure","time: mean","None","real","longitude latitude plev23 time","wap23","atmos","day","area: areacella","DynVar [DYVR_daily_d]",,"22","51fb29dd55442361fa9c5dbe23aca9c6","DynVar","AerChemMIP,CMIP6,DECK,HighResMIP,ScenarioMIP,SolarMIP,VolMIP","4a5d07c8-00b9-11e6-a080-5404a60d96b5",,,,"x",,"UM:1","lo-la-p-ti__wap23","m01s30i208,m01s30i301"
"1","Geopotential Height","m",,,"zg","geopotential_height","time: mean","None","real","longitude latitude plev10 time","zg10","atmos","day","area: areacella","DynVar [DYVR_daily_d]",,"23","28e774ec0ecd561a6a3d437e6c443a6b","DynVar","AerChemMIP,CMIP6,DECK,HighResMIP,ScenarioMIP,SolarMIP,VolMIP","0abdf96c-00a8-11e6-ab7d-5404a60d96b5",,,,"False",,"False","lo-la-p-ti__zg10","m01s30i207,m01s30i301"
