"priority","long_name","units","description","comment","name","standard_name","cell_methods","positive","type","dimensions","out_name","modeling_realm","frequency","cell_measures","prov","provNote","rowIndex","vid","MIPs (requesting)","MIPs (by experiment)","uid","AWI","CNRM","CMCC","ECEarth","MPI","METOFFICE","MO_key","STASH"
"1","Eastward Near-Surface Wind","m s-1","near-surface (usually, 10 meters) eastward component of wind.","This is sampled synoptically.","uas","eastward_wind","time: point","None","real","longitude latitude time1  height10m","uas","atmos","1hr",,"PRIMAVERA additional",,,,,,"prim1hrpt_uas",0,"False","False","False","x","LIMITED","lo-la-h-ti__uas","m01s03i209"
"1","Northward Near-Surface Wind","m s-1","near-surface (usually, 10 meters) northward component of wind.","This is sampled synoptically.","vas","northward_wind","time: point","None","real","longitude latitude time1  height10m","vas","atmos","1hr",,"PRIMAVERA additional",,,,,,"prim1hrpt_vas",0,"False","False","False","x","LIMITED","lo-la-h-ti__vas","m01s03i210"
"1","Eastward 50m Wind","m s-1","eastward component of wind at 50 m","limited domain, 10 year data set, nearest level","ua50m","eastward_wind","time: point","None","real","longitude latitude height50m time1",,"atmos","1hr",,"PRIMAVERA additional",,,,,,"prim1hrpt_ua50m",0,"False","False","False","False","LIMITED","lo-la-h-ti__ua50m","m01s15i212"
"1","Northward 50m Wind","m s-1","northward component of wind at 50 m","limited domain, 10 year data set, nearest level","va50m","northward_wind","time: point","None","real","longitude latitude height50m time1",,"atmos","1hr",,"PRIMAVERA additional",,,,,,"prim1hrpt_va50m",0,"False","False","False","False","LIMITED","lo-la-h-ti__va50m","m01s15i213"
"1","Eastward 50m Wind","m s-1","eastward component of wind at 100 m","limited domain, 10 year data set, nearest level","ua100m","eastward_wind","time: point","None","real","longitude latitude height100m time1",,"atmos","1hr",,"PRIMAVERA additional",,,,,,"prim1hrpt_ua100m",0,"False","False","False","False","LIMITED","lo-la-h-ti__ua100m","m01s00i002"
"1","Northward 50m Wind","m s-1","northward component of wind at 100 m","limited domain, 10 year data set, nearest level","va100m","northward_wind","time: point","None","real","longitude latitude height100m time1",,"atmos","1hr",,"PRIMAVERA additional",,,,,,"prim1hrpt_va100m",0,"False","False","False","False","LIMITED","lo-la-h-ti__va100m","m01s00i003"
"1","Surface Diffuse Downwelling Shortwave Radiation","W m-2","unset","limited domain, 10 year data set","rsdsdiff","surface_diffuse_downwelling_shortwave_flux_in_air","time: point","None","real","longitude latitude time1 ","rsdsdiff","atmos","1hr","area: areacella","PRIMAVERA additional",,,,,,"prim1hrpt_rsdsdiff",0,"False","False","False","False","LIMITED","lo-la-ti__rsdsdiff","m01s01i231"
"1","Surface Downwelling Shortwave Radiation","W m-2","surface solar irradiance for UV calculations","limited domain, 10 year data set","rsds","surface_downwelling_shortwave_flux_in_air","time: point","down","real","longitude latitude time","rsds","atmos","1hr","area: areacella","PRIMAVERA additional",,,,,,"prim1hrpt_rsds",0,"False","False","False","x","LIMITED","lo-la-ti__rsds","m01s01i235"
"2","Maximum Near-Surface Wind Speed","m s-1","near-surface (usually, 10 meters) wind speed.","limited domain, 10 year data set","sfcWindmax","wind_speed","time: maximum","None","real","longitude latitude time  height10m","sfcWindmax","atmos","1hr",,"PRIMAVERA additional",,,,,,"prim1hrpt_sfcWindmax",0,"False","False","False","False","LIMITED","lo-la-h-ti__sfcWindmax","m01s03i227"
"2","maximum 50m wind speed","m s-1","50m wind speed","limited domain, 10 year data set, nearest level","wind50max","wind_speed","time: maximum","None","real","longitude latitude height50m time1",,"atmos","1hr",,"PRIMAVERA additional",,,,,,"prim1hrpt_wind50max",0,"False","False","False","False",,"lo-la-h-ti__wind50max",
