"Priority","Long name","units","description","comment","Variable Name","CF Standard Name","cell_methods","positive","type","dimensions","CMOR Name","modeling_realm","frequency","cell_measures","prov","provNote","rowIndex","vid","MIPs (requesting)","MIPs (by experiment)","uid","AWI","CNRM","CMCC","ECEarth","MPI","METOFFICE","MO_key","STASH"
"1","Near-Surface Specific Humidity","1.0","near-surface (usually, 2 meter) specific humidity.","None","huss","specific_humidity","time: mean","None","real","longitude latitude time  height2m","huss","atmos","day","area: areacella","CMIP5 [day] ((isd.002))",,"15","ebfefc2ab8716ef597b128171b275945","AerChemMIP,CFMIP,CORDEX,DAMIP,HighResMIP,VolMIP","AerChemMIP,CFMIP,CMIP6,DAMIP,DECK,HighResMIP,ScenarioMIP,VolMIP","bab0238a-e5dd-11e5-8482-ac72891c3257","x",1,"QREFHT","x","x","UM:1","lo-la-ti-h__huss","m01s03i237"
"1","Daily Minimum Near-Surface Air Temperature","K","minimum near-surface (usually, 2 meter) air temperature (add cell_method attribute ""time: min"")","None","tasmin","air_temperature","time: minimum","None","real","longitude latitude time  height2m","tasmin","atmos","day","area: areacella","CMIP5 [day] ((isd.002))",,"16","cce3dd39c138bf3c4d713263cc2e6cff","AerChemMIP,CFMIP,CORDEX,DAMIP,DCPP,GeoMIP,HighResMIP,PMIP,VolMIP","AerChemMIP,CFMIP,CMIP6,DAMIP,DCPP,DECK,GeoMIP,HighResMIP,PMIP,ScenarioMIP,VolMIP","bab95fae-e5dd-11e5-8482-ac72891c3257","x",1,"TREFHTMN","x","x","UM:1","lo-la-ti-h__tasmin","m01s03i236"
"1","Daily Maximum Near-Surface Air Temperature","K","maximum near-surface (usually, 2 meter) air temperature (add cell_method attribute ""time: max"")","None","tasmax","air_temperature","time: maximum","None","real","longitude latitude time  height2m","tasmax","atmos","day","area: areacella","CMIP5 [day] ((isd.002))",,"17","2dd48e8c50b4b88a83ff07d308e4e642","AerChemMIP,CFMIP,CORDEX,DAMIP,DCPP,GeoMIP,HighResMIP,PMIP,VolMIP","AerChemMIP,CFMIP,CMIP6,DAMIP,DCPP,DECK,GeoMIP,HighResMIP,PMIP,ScenarioMIP,VolMIP","bab94a50-e5dd-11e5-8482-ac72891c3257","x",1,"TREFHTMX","x","x","UM:1","lo-la-ti-h__tasmax","m01s03i236"
"1",,"K","near-surface (usually, 2 meter) air temperature","None","tas","air_temperature","time: mean","None","real","longitude latitude time  height2m","tas","atmos","day","area: areacella","CMIP5 [day] ((isd.002))",,"18","5c4978e802ba55d5a298cf1b3bdc2b3a","AerChemMIP,CFMIP,CORDEX,DAMIP,DCPP,DynVar,HighResMIP,PMIP,VolMIP","AerChemMIP,CFMIP,CMIP6,DAMIP,DCPP,DECK,HighResMIP,PMIP,ScenarioMIP,SolarMIP,VolMIP","bab928ae-e5dd-11e5-8482-ac72891c3257","x",1,"TREFHT","x","x","UM:1","lo-la-ti-h__tas","m01s03i236"
"1","Precipitation","kg m-2 s-1","includes both liquid and solid phases","at surface; includes both liquid and solid phases from all types of clouds (both large-scale and convective)","pr","precipitation_flux","time: mean","None","real","longitude latitude time","pr","atmos","day","area: areacella","CMIP5 [day] ((isd.002))",,"19","62f26742cf240c1b5169a5cd511196b6","AerChemMIP,CFMIP,CORDEX,DAMIP,DCPP,DynVar,GeoMIP,HighResMIP,PMIP,VolMIP","AerChemMIP,CFMIP,CMIP6,DAMIP,DCPP,DECK,GeoMIP,HighResMIP,PMIP,ScenarioMIP,SolarMIP,VolMIP","bab3d692-e5dd-11e5-8482-ac72891c3257","x",1,"PRECT","x","x","UM:1","lo-la-ti__pr","m01s05i216"
"1","Sea Level Pressure","Pa","unset","None","psl","air_pressure_at_sea_level","time: mean","None","real","longitude latitude time","psl","atmos","day","area: areacella","CMIP5 [day] ((isd.002))",,"20","3d23c359f44d6a153c4dcab9e07d7cb6","AerChemMIP,CFMIP,CORDEX,DAMIP,DCPP,DynVar,HighResMIP,VolMIP","AerChemMIP,CFMIP,CMIP6,DAMIP,DCPP,DECK,HighResMIP,ScenarioMIP,SolarMIP,VolMIP","bab491f4-e5dd-11e5-8482-ac72891c3257","x",1,"PSL","x","x","UM:1","lo-la-ti__psl","m01s16i222"
"1","Near-Surface Wind Speed","m s-1","near-surface (usually, 10 meters) wind speed.","None","sfcWind","wind_speed","time: mean","None","real","longitude latitude time  height10m","sfcWind","atmos","day",,"CMIP5 [day] ((isd.002))",,"21","4b97609a32d53dff5b8e73729e4f258b","AerChemMIP,CFMIP,CORDEX,DAMIP,DCPP,HighResMIP,VolMIP","AerChemMIP,CFMIP,CMIP6,DAMIP,DCPP,DECK,HighResMIP,ScenarioMIP,VolMIP","bab6fe58-e5dd-11e5-8482-ac72891c3257","x",1,"WSPDSRFAV o WSPDSRFMX o U10 ?","x","x","UM:1","lo-la-ti-h__sfcWind","m01s03i227"
"1","Square of Sea Surface Temperature","degree_C2","square of temperature of liquid ocean, averaged over the day.","square of temperature of liquid ocean, averaged over the day.","tossq","square_of_sea_surface_temperature","time: mean","None","real","longitude latitude time","tossq","ocean","day","area: areacello","CMIP5 [day] ((isd.002))",,"22","d1b497a4f7f4cb666757ec97d152079e","AerChemMIP,CFMIP,CORDEX,DAMIP,HighResMIP,VolMIP","AerChemMIP,CFMIP,CMIP6,DAMIP,DECK,HighResMIP,ScenarioMIP,VolMIP","baba865e-e5dd-11e5-8482-ac72891c3257","False",1,"False","x","x","NEMO:1","lo-la-ti__tossq",
"1","Sea Surface Temperature","K","this may differ from ""surface temperature"" in regions of sea ice.","temperature of liquid ocean.  Note that the correct standard_name for this variable is """"sea_surface_temperature"""", not """"surface_temperature"""", but this was discovered too late to correct.  To maintain consistency across CMIP5 models, the wrong standard_name will continue to be used.","tos","sea_surface_temperature","time: mean","None","real","longitude latitude time","tos","ocean","day","area: areacello","CMIP5 [day] ((isd.002))",,"23","0e5d376315a376cd2b1e37f440fe43d3","AerChemMIP,CFMIP,CORDEX,DAMIP,HighResMIP,VolMIP","AerChemMIP,CFMIP,CMIP6,DAMIP,DECK,HighResMIP,ScenarioMIP,VolMIP","baba7510-e5dd-11e5-8482-ac72891c3257","x",1,"False","x","x","NEMO:1","lo-la-ti__tos",
"1","Mean Daily Maximum Ocean Mixed Layer Thickness Defined by Mixing Scheme","m","unset","None","omldamax","ocean_mixed_layer_thickness_defined_by_mixing_scheme","time: maximum","None","real","longitude latitude time","omldamax","ocean","day","area: areacello","CMIP5 [day] ((isd.002))",,"24","5f8dc9362d17e2daa42dd6f0f38afb76","AerChemMIP,CFMIP,CORDEX,DAMIP,HighResMIP,VolMIP","AerChemMIP,CFMIP,CMIP6,DAMIP,DECK,HighResMIP,ScenarioMIP,VolMIP","bab2ce3c-e5dd-11e5-8482-ac72891c3257","x",1,"False","False","x","UM:1","lo-la-ti__omldamax",
