"Priority","Long name","units","description","comment","Variable Name","CF Standard Name","cell_methods","positive","type","dimensions","CMOR Name","modeling_realm","frequency","cell_measures","prov","provNote","rowIndex","vid","MIPs (requesting)","MIPs (by experiment)","uid","AWI","CNRM","CMCC","ECEarth","MPI","METOFFICE","MO_key","STASH"
"2","toa outgoing longwave radiation","W m-2","at the top of the atmosphere (to be compared with satellite measurements)","TOA outgoing longwave radiation","rlut","toa_outgoing_longwave_flux","time: mean","up","real","longitude latitude time","rlut","atmos","3hr","area: areacella","HighResMIP [3hr_cloud]",,"14","63345d9732c72b97ca395f24ce2d6642","HighResMIP","DECK,HighResMIP","0ad8c9f4-00a8-11e6-ab7d-5404a60d96b5","False","False","False","False","False","False","lo-la-ti__rlut","m01s03i332"
"2","toa outgoing shortwave radiation","W m-2","at the top of the atmosphere","TOA outgoing shortwave radiation","rsut","toa_outgoing_shortwave_flux","time: mean","up","real","longitude latitude time","rsut","atmos","3hr","area: areacella","HighResMIP [3hr_cloud]",,"15","b907fef85d4c9571a9457ee1b259bb8f","HighResMIP","DECK,HighResMIP","0ad8ceea-00a8-11e6-ab7d-5404a60d96b5","False","False","False","False","False","False","lo-la-ti__rsut","m01s01i208"
"2","toa outgoing clear-sky longwave radiation","W m-2",,"TOA outgoing clear sky longwave","rlutcs","toa_outgoing_longwave_flux_assuming_clear_sky","time: mean","up","real","longitude latitude time","rlutcs","atmos","3hr","area: areacella","HighResMIP [3hr_cloud]",,"16","921b8b8f6620826567d9324314c70410","HighResMIP","DECK,HighResMIP","0ad8d3f4-00a8-11e6-ab7d-5404a60d96b5","False","False","False","False","False","False","lo-la-ti__rlutcs","m01s02i206"
"2","TOA Incident Shortwave Radiation","W m-2","at the top of the atmosphere","TOA incident shortwave radiation","rsdt","toa_incoming_shortwave_flux","time: mean","down","real","longitude latitude time","rsdt","atmos","3hr","area: areacella","HighResMIP [3hr_cloud]",,"18","a21e250a10f96b1c1ad6d742206a157e","HighResMIP","DECK,HighResMIP","0ad8ddcc-00a8-11e6-ab7d-5404a60d96b5","False","False","False","False","False","False","lo-la-ti__rsdt","m01s01i207"
"2","Water Vapor Path","kg m-2","vertically integrated through the atmospheric column","Column-integrated water vapour","prw","atmosphere_water_vapor_content","time: mean","None","real","longitude latitude time","prw","atmos","3hr","area: areacella","HighResMIP [3hr_cloud]",,"19","fc637f1c75e58be8a6e4112411a00f36","HighResMIP","DECK,HighResMIP","0ad8e2ae-00a8-11e6-ab7d-5404a60d96b5","False","False","False","False","False","UM:1","lo-la-ti__prw","m01s30i404,m01s30i403,m01s30i405,m01s30i406"
"2","Condensed Water Path","kg m-2","Mass of condensed (liquid + ice) water in the column divided by the area of the column (not just the area of the cloudy portion of the column). Includes precipitating hydrometeors ONLY if the precipitating hydrometeors affect the calculation of radiative transfer in model.","Liquid water path","clwvi","atmosphere_cloud_condensed_water_content","time: mean","None","real","longitude latitude time","clwvi","atmos","3hr","area: areacella","HighResMIP [3hr_cloud]",,"20","80a1dd605b563e9f09c718a5ba9cb9cc","HighResMIP","DECK,HighResMIP","0ad8e79a-00a8-11e6-ab7d-5404a60d96b5","False","False","False","False","False","False","lo-la-ti__clwvi","m01s00i409"
"2","Ice Water Path","kg m-2","Mass of ice water in the column divided by the area of the column (not just the area of the cloudy portion of the column). Includes precipitating frozen hydrometeors ONLY if the precipitating hydrometeor affects the calculation of radiative transfer in model.","Ice water path","clivi","atmosphere_mass_content_of_cloud_ice","time: mean","None","real","longitude latitude time","clivi","atmos","3hr","area: areacella","HighResMIP [3hr_cloud]",,"21","73c496f5669cc122cf1cddfe4df2a27a","HighResMIP","DECK,HighResMIP","0ad8ec7c-00a8-11e6-ab7d-5404a60d96b5","False","False","False","False","False","False","lo-la-ti__clivi","m01s00i409"
"2","Sea Level Pressure","Pa","unset","Sea level pressure","psl","air_pressure_at_sea_level","time: mean","None","real","longitude latitude time","psl","atmos","3hr","area: areacella","HighResMIP [3hr_cloud]",,"22","3d23c359f44d6a153c4dcab9e07d7cb6","HighResMIP","DECK,HighResMIP","0ad8f17c-00a8-11e6-ab7d-5404a60d96b5","False","False","False","False","False","False","lo-la-ti__psl","m01s16i222"
"2","ISCCP Cloud Area Fraction","%","unset","ISCCP 7x7","clisccp","isccp_cloud_area_fraction","time: mean","None","real","longitude latitude plev7c time tau","clisccp7c","atmos","3hr","area: areacella","HighResMIP [3hr_cloud]",,"24","fa7666d61b92de5bad1ad76561b8b850","HighResMIP","DECK,HighResMIP","0ad8fb9a-00a8-11e6-ab7d-5404a60d96b5","False","False","False","False","False","False","lo-la-p-ti-ta__clisccp7c",
"1","shallow_conv_precipitation_flux","kg m-2 s-1","Convection precipitation from shallow convection","Shallow convection precipitation flux","prcsh",,"time: mean",,,"longitude latitude time","prcsh","atmos","3hr","area: areacella","HighResMIP [3hr_extr]",,"16","590d6e02-9e49-11e5-803c-0d0b866b59f3","HighResMIP","CMIP6,DECK,HighResMIP","0ad6adae-00a8-11e6-ab7d-5404a60d96b5","False","False","False","False","False","UM:1","lo-la-ti__prcsh","m01s05i278"
