"priority","long_name","units","description","comment","name","standard_name","cell_methods","positive","type","dimensions","out_name","modeling_realm","frequency","cell_measures","prov","provNote","rowIndex","vid","MIPs (requesting)","MIPs (by experiment)","uid","AWI","CNRM","CMCC","ECEarth","MPI","METOFFICE","MO_key","STASH"
"1","u-tendency orographic gravity wave drag","m s^-2","Tendency of the eastward wind by parameterized orographic gravity waves.",,"utendogw","tendency_of_eastward_wind_due_to_orographic_gravity_wave_drag","time: mean",,,"longitude latitude plev19 time","utendogw17",,"mon","area: areacella","DynVar [DYVR_monthly_d]",,"14","590ed5a8-9e49-11e5-803c-0d0b866b59f3","DynVar","AerChemMIP,CMIP6,DECK,HighResMIP,ScenarioMIP,SolarMIP,VolMIP","0abd75fa-00a8-11e6-ab7d-5404a60d96b5",,,,,,"False","lo-la-p-ti__utendogw17",
"2","u-tendency orographic gravity wave drag","m s^-2","Tendency of the eastward wind by parameterized orographic gravity waves.",,"utendogw","tendency_of_eastward_wind_due_to_orographic_gravity_wave_drag","time: mean",,,"longitude latitude plev23 time","utendogw23",,"mon","area: areacella","DynVar [DYVR_monthly_d]",,"14","590ed5a8-9e49-11e5-803c-0d0b866b59f3","DynVar","AerChemMIP,CMIP6,DECK,HighResMIP,ScenarioMIP,SolarMIP,VolMIP","4a655298-00b9-11e6-a080-5404a60d96b5",,,,,,"False","lo-la-p-ti__utendogw23",
"1","u-tendency nonorographic gravity wave drag","m s^-2","Tendency of the eastward wind by parameterized nonorographic gravity waves.",,"utendnogw","tendency_of_eastward_wind_due_to_nonorographic_gravity_wave_drag","time: mean",,,"longitude latitude plev19 time","utendnogw17",,"mon","area: areacella","DynVar [DYVR_monthly_d]",,"15","590e85a8-9e49-11e5-803c-0d0b866b59f3","DynVar","AerChemMIP,CMIP6,DECK,HighResMIP,ScenarioMIP,SolarMIP,VolMIP","0abd7b9a-00a8-11e6-ab7d-5404a60d96b5",,,,,,"False","lo-la-p-ti__utendnogw17","m01s06i115"
"2","u-tendency nonorographic gravity wave drag","m s^-2","Tendency of the eastward wind by parameterized nonorographic gravity waves.",,"utendnogw","tendency_of_eastward_wind_due_to_nonorographic_gravity_wave_drag","time: mean",,,"longitude latitude plev23 time","utendnogw23",,"mon","area: areacella","DynVar [DYVR_monthly_d]",,"15","590e85a8-9e49-11e5-803c-0d0b866b59f3","DynVar","AerChemMIP,CMIP6,DECK,HighResMIP,ScenarioMIP,SolarMIP,VolMIP","4a5dd0a4-00b9-11e6-a080-5404a60d96b5",,,,,,"UM:1","lo-la-p-ti__utendnogw23","m01s06i115"
"1","v-tendency orographic gravity wave drag","m s^-2","Tendency of the northward wind by parameterized orographic gravity waves.  (Note that CF name tables only have a general northward tendency for all gravity waves, and we need it separated by type.)",,"vtendogw","tendency_of_northward_wind_due_to_orographic_gravity_wave_drag","time: mean",,,"longitude latitude plev19 time","vtendogw17",,"mon","area: areacella","DynVar [DYVR_monthly_d]",,"16","59140c12-9e49-11e5-803c-0d0b866b59f3","DynVar","AerChemMIP,CMIP6,DECK,HighResMIP,ScenarioMIP,SolarMIP,VolMIP","0abd816c-00a8-11e6-ab7d-5404a60d96b5",,,,,,"False","lo-la-p-ti__vtendogw17",
"2","v-tendency orographic gravity wave drag","m s^-2","Tendency of the northward wind by parameterized orographic gravity waves.  (Note that CF name tables only have a general northward tendency for all gravity waves, and we need it separated by type.)",,"vtendogw","tendency_of_northward_wind_due_to_orographic_gravity_wave_drag","time: mean",,,"longitude latitude plev23 time","vtendogw23",,"mon","area: areacella","DynVar [DYVR_monthly_d]",,"16","59140c12-9e49-11e5-803c-0d0b866b59f3","DynVar","AerChemMIP,CMIP6,DECK,HighResMIP,ScenarioMIP,SolarMIP,VolMIP","4a6360c8-00b9-11e6-a080-5404a60d96b5",,,,,,"False","lo-la-p-ti__vtendogw23",
"1","v-tendency nonorographic gravity wave drag","m s^-2","Tendency of the northward wind by parameterized nonorographic gravity waves.  (Note that CF name tables only have a general northward tendency for all gravity waves, and we need it separated by type.)",,"vtendnogw","tendency_of_northward_wind_due_to_nonorographic_gravity_wave_drag","time: mean",,,"longitude latitude plev19 time","vtendnogw17",,"mon","area: areacella","DynVar [DYVR_monthly_d]",,"17","59170700-9e49-11e5-803c-0d0b866b59f3","DynVar","AerChemMIP,CMIP6,DECK,HighResMIP,ScenarioMIP,SolarMIP,VolMIP","0abd8702-00a8-11e6-ab7d-5404a60d96b5",,,,,,"False","lo-la-p-ti__vtendnogw17",
"2","v-tendency nonorographic gravity wave drag","m s^-2","Tendency of the northward wind by parameterized nonorographic gravity waves.  (Note that CF name tables only have a general northward tendency for all gravity waves, and we need it separated by type.)",,"vtendnogw","tendency_of_northward_wind_due_to_nonorographic_gravity_wave_drag","time: mean",,,"longitude latitude plev23 time","vtendnogw23",,"mon","area: areacella","DynVar [DYVR_monthly_d]",,"17","59170700-9e49-11e5-803c-0d0b866b59f3","DynVar","AerChemMIP,CMIP6,DECK,HighResMIP,ScenarioMIP,SolarMIP,VolMIP","4a5cb6ba-00b9-11e6-a080-5404a60d96b5",,,,,,"False","lo-la-p-ti__vtendnogw23",
"2","Tendency of Air Temperature due to Radiative Heating","K s-1","unset","Net radiative heating rate on model levels","tntr","tendency_of_air_temperature_due_to_radiative_heating","time: mean","None","real","longitude latitude alevel time","tntr","atmos","mon","area: areacella","HighResMIP [Amon_conv]",,"14","93a0ba1f23bfc41b720ea68951d28144","HighResMIP","DECK,HighResMIP","0ad6fdb8-00a8-11e6-ab7d-5404a60d96b5","False","False","False","False","False","False","lo-la-al-ti__tntr","m01s02i181,m01s01i181"
"2","Cloud Area Fraction","%","Includes both large-scale and convective cloud.","Cloud fraction on model levels","cl","cloud_area_fraction_in_atmosphere_layer","time: mean","None","real","longitude latitude alevel time","cl","atmos","mon","area: areacella","HighResMIP [Amon_conv]",,"17","e0ecf1c1305c1bdc69bee0e7ba1e2e03","HighResMIP","DECK,HighResMIP","0ad70cea-00a8-11e6-ab7d-5404a60d96b5","x","False","False","False","False","False","lo-la-al-ti__cl","m01s02i261"
"2","Convective Updraft Mass Flux","kg m-2 s-1","In accordance with common usage in geophysical disciplines, ""flux"" implies per unit area, called ""flux density"" in physics. The atmosphere convective mass flux is the vertical transport of mass for a field of cumulus clouds or thermals, given by the product of air density and vertical velocity. For an area-average, cell_methods should specify whether the average is over all the area or the area of updrafts only.","Updraght mass flux from convection scheme","mcu","atmosphere_updraft_convective_mass_flux","time: mean","up","real","longitude latitude alevel time","mcu","atmos","mon","area: areacella","HighResMIP [Amon_conv]",,"18","62aa098b13f86fa22de1a874536a64ae","HighResMIP","DECK,HighResMIP","0ad711f4-00a8-11e6-ab7d-5404a60d96b5","False","False","False","False","False","False","lo-la-al-ti__mcu","m01s05i250"
"2","Downdraft Convective Mass Flux","kg m-2 s-1","Calculated as the convective mass flux divided by the area of the whole grid cell (not just the area of the cloud).","Updraght mass flux from convection scheme","mcd","atmosphere_downdraft_convective_mass_flux","time: mean","down","real","longitude latitude alevel time","mcd","atmos","mon","area: areacella","HighResMIP [Amon_conv]",,"19","e889a99259ce24104c8b21894ace22da","HighResMIP","DECK,HighResMIP","0ad71708-00a8-11e6-ab7d-5404a60d96b5","False","False","False","False","False","False","lo-la-al-ti__mcd","m01s05i251"
"2","Tendency of Air Temperature due to Model Physics","K s-1","This includes sources and sinks from parametrized physics (e.g. radiation, convection, boundary layer, stratiform condensation/evaporation, etc.). It excludes sources and sinks from resolved dynamics and numerical diffusion not associated with parametrized physics.  For example, any vertical diffusion which is part of the boundary layer mixing scheme should be included, while numerical diffusion applied in addition to physics or resolved dynamics should be excluded.  This term is required to check the closure of the heat budget.","Heating rate due to diabatic processes","tntmp","tendency_of_air_temperature_due_to_model_physics","time: mean",,,"longitude latitude plev27 time","tntmp27","atmos","mon","area: areacella","HighResMIP [Amon_diag]",,"13","621681bc7c376de66228fdde13b97516","HighResMIP","DECK,HighResMIP","4a5e96ce-00b9-11e6-a080-5404a60d96b5","False","False","False","False","False","False","lo-la-p-ti__tntmp27",
"2","tendency_of_air_temperature_due_to_longwave_heating","K s-1","Tendency of air temperature due to longwave radiative heating","Heating rate due to shortwave radiative flux","tntrl","tendency_of_air_temperature_due_to_longwave_heating","time: mean",,,"longitude latitude plev27 time","tntrl27","atmos","mon","area: areacella","HighResMIP [Amon_diag]",,"14","5917483c-9e49-11e5-803c-0d0b866b59f3","HighResMIP","DECK,HighResMIP","4a630718-00b9-11e6-a080-5404a60d96b5","False","False","False","False","False","False","lo-la-p-ti__tntrl27",
"2","tendency_of_air_temperature_due_to_shortwave_heating","K s-1","Tendency of air temperature due to shortwave radiative heating","Heating rate due to longwave radiative flux","tntrs","tendency_of_air_temperature_due_to_shortwave_heating","time: mean",,,"longitude latitude plev27 time","tntrs27","atmos","mon","area: areacella","HighResMIP [Amon_diag]",,"15","59173c0c-9e49-11e5-803c-0d0b866b59f3","HighResMIP","DECK,HighResMIP","4a61c6f0-00b9-11e6-a080-5404a60d96b5","False","False","False","False","False","False","lo-la-p-ti__tntrs27",
"2","Air Temperature","K",,,"ta","air_temperature","time: mean","None","real","longitude latitude plev27 time","ta27","atmos","mon","area: areacella","HighResMIP [Amon_diag]",,"16","b9c3eb96337c69c1c4a5aab1317f5563","HighResMIP","DECK,HighResMIP","4a653204-00b9-11e6-a080-5404a60d96b5","False","False","False","False","False","False","lo-la-p-ti__ta27","m01s30i204,m01s30i301"
"2","Eastward Wind","m s-1",,,"ua","eastward_wind","time: mean","None","real","longitude latitude plev27 time","ua27","atmos","mon","area: areacella","HighResMIP [Amon_diag]",,"17","21db90c0a12448299f855fdab60930d4","HighResMIP","DECK,HighResMIP","4a6109e0-00b9-11e6-a080-5404a60d96b5","False","False","False","False","False","False","lo-la-p-ti__ua27","m01s30i201,m01s30i301"
"2","Northward Wind","m s-1",,,"va","northward_wind","time: mean","None","real","longitude latitude plev27 time","va27","atmos","mon","area: areacella","HighResMIP [Amon_diag]",,"18","2dedcb347c18e132a2f4d625abf94585","HighResMIP","DECK,HighResMIP","4a62e2f6-00b9-11e6-a080-5404a60d96b5","False","False","False","False","False","False","lo-la-p-ti__va27","m01s30i202,m01s30i301"
"2","Geopotential Height","m",,,"zg","geopotential_height","time: mean","None","real","longitude latitude plev27 time","zg27","atmos","mon","area: areacella","HighResMIP [Amon_diag]",,"19","28e774ec0ecd561a6a3d437e6c443a6b","HighResMIP","DECK,HighResMIP","4a629152-00b9-11e6-a080-5404a60d96b5","False","False","False","False","False","False","lo-la-p-ti__zg27","m01s30i207,m01s30i301"
"2","Specific Humidity","1.0",,,"hus","specific_humidity","time: mean","None","real","longitude latitude plev27 time","hus27","atmos","mon","area: areacella","HighResMIP [Amon_diag]",,"20","53f4724d228998d54191c73352532ce3","HighResMIP","DECK,HighResMIP","4a632fea-00b9-11e6-a080-5404a60d96b5","False","False","False","False","False","False","lo-la-p-ti__hus27","m01s30i205,m01s30i301"
"2","cloud_ice_mixing_ratio",,"Cloud ice mixing ratio",,"cldicemxrat","cloud_ice_mixing_ratio","time: mean",,,"longitude latitude plev27 time","cldicemxrat27","atmos","mon","area: areacella","HighResMIP [Amon_diag]",,"21","5913a2fe-9e49-11e5-803c-0d0b866b59f3","HighResMIP","DECK,HighResMIP","4a5d561a-00b9-11e6-a080-5404a60d96b5","False","False","False","False","False","False","lo-la-p-ti__cldicemxrat27",
"2","cloud_water_mixing_ratio",,"Cloud water mixing ratio",,"cldwatmxrat","cloud_liquid_water_mixing_ratio","time: mean",,,"longitude latitude plev27 time","cldwatmxrat27","atmos","mon","area: areacella","HighResMIP [Amon_diag]",,"22","59151288-9e49-11e5-803c-0d0b866b59f3","HighResMIP","DECK,HighResMIP","4a6255de-00b9-11e6-a080-5404a60d96b5","False","False","False","False","False","False","lo-la-p-ti__cldwatmxrat27",
"2","rain_mixing_ratio",,"Rain mixing ratio",,"rainmxrat","mass_fraction_of_rain_in_air","time: mean",,,"longitude latitude plev27 time","rainmxrat27","atmos","mon","area: areacella","HighResMIP [Amon_diag]",,"23","5914b9be-9e49-11e5-803c-0d0b866b59f3","HighResMIP","DECK,HighResMIP","4a5f5d48-00b9-11e6-a080-5404a60d96b5","False","False","False","False","False","False","lo-la-p-ti__rainmxrat27",
"2","snow_mixing_ratio",,"Snow mixing ratio",,"snowmxrat","mass_fraction_of_snow_in_air","time: mean",,,"longitude latitude plev27 time","snowmxrat27","atmos","mon","area: areacella","HighResMIP [Amon_diag]",,"24","5917d1d0-9e49-11e5-803c-0d0b866b59f3","HighResMIP","DECK,HighResMIP","4a646298-00b9-11e6-a080-5404a60d96b5","False","False","False","False","False","False","lo-la-p-ti__snowmxrat27",
"2","graupel_mixing_ratio",,"Graupel mixing ratio",,"grplmxrat","mass_fraction_of_graupel_in_air","time: mean",,,"longitude latitude plev27 time","grplmxrat27","atmos","mon","area: areacella","HighResMIP [Amon_diag]",,"25","590f21d4-9e49-11e5-803c-0d0b866b59f3","HighResMIP","DECK,HighResMIP","4a64855c-00b9-11e6-a080-5404a60d96b5","False","False","False","False","False","False","lo-la-p-ti__grplmxrat27",
"1","integrated_eastward_wind_times_humidity","m2 s-1","Column integrated eastward wind times specific humidity","Eastward integrated moisture transport","uqint",,"time: mean",,,"longitude latitude time","uqint","atmos","mon","area: areacella","HighResMIP [Amon_ext]",,"13","59177dc0-9e49-11e5-803c-0d0b866b59f3","HighResMIP","CMIP6,DECK,HighResMIP","0ad5f134-00a8-11e6-ab7d-5404a60d96b5","False",-999,"False","False","False","UM:1","lo-la-ti__uqint","m01s30i428"
"1","integrated_northward_wind_times_humidity","m2 s-1","Column integrated northward wind times specific humidity","Northward integrated moisture transport","vqint",,"time: mean",,,"longitude latitude time","vqint","atmos","mon","area: areacella","HighResMIP [Amon_ext]",,"14","591306a0-9e49-11e5-803c-0d0b866b59f3","HighResMIP","CMIP6,DECK,HighResMIP","0ad5f9e0-00a8-11e6-ab7d-5404a60d96b5","False",1,"False","False","False","UM:1","lo-la-ti__vqint","m01s30i429"
"1","Eastward Wind","m s-1",,"in Amon","ua","eastward_wind","time: mean","None","real","longitude latitude plev7c time","ua7c","atmos","mon","area: areacella","HighResMIP [Amon_ext]",,"15","21db90c0a12448299f855fdab60930d4","HighResMIP","CMIP6,DECK,HighResMIP","0ad6000c-00a8-11e6-ab7d-5404a60d96b5","x",1,"False","x","x","UM:1","lo-la-p-ti__ua7c","m01s30i201,m01s30i301"
"1","Northward Wind","m s-1",,"in Amon","va","northward_wind","time: mean","None","real","longitude latitude plev7c time","va7c","atmos","mon","area: areacella","HighResMIP [Amon_ext]",,"16","2dedcb347c18e132a2f4d625abf94585","HighResMIP","CMIP6,DECK,HighResMIP","0ad605ca-00a8-11e6-ab7d-5404a60d96b5","x",1,"False","x","x","UM:1","lo-la-p-ti__va7c","m01s30i202,m01s30i301"
"1","Specific Humidity","1.0",,"in Amon","hus","specific_humidity","time: mean","None","real","longitude latitude plev7c time","hus7c","atmos","mon","area: areacella","HighResMIP [Amon_ext]",,"17","53f4724d228998d54191c73352532ce3","HighResMIP","CMIP6,DECK,HighResMIP","0ad60b9c-00a8-11e6-ab7d-5404a60d96b5","x",1,"Q","x","x","UM:1","lo-la-p-ti__hus7c","m01s30i205,m01s30i301"
"2","Eastward Wind","m s-1",,,"ua","eastward_wind","time: mean","None","real","longitude latitude alevel time","ua","atmos","mon","area: areacella","HighResMIP [Amon_sparc]",,"13","21db90c0a12448299f855fdab60930d4","HighResMIP","DECK,HighResMIP","0ad73d00-00a8-11e6-ab7d-5404a60d96b5","False","False","False","False","False","False","lo-la-al-ti__ua","m01s00i002"
"2","Northward Wind","m s-1",,,"va","northward_wind","time: mean","None","real","longitude latitude alevel time","va","atmos","mon","area: areacella","HighResMIP [Amon_sparc]",,"14","2dedcb347c18e132a2f4d625abf94585","HighResMIP","DECK,HighResMIP","0ad7425a-00a8-11e6-ab7d-5404a60d96b5","False","False","False","False","False","False","lo-la-al-ti__va","m01s00i003"
"2","omega (=dp/dt)","Pa s-1","commonly referred to as """"omega"""", this represents the vertical component of velocity in pressure coordinates (positive down)",,"wap","lagrangian_tendency_of_air_pressure","time: mean",,,"longitude latitude alevel time","wap","atmos","mon","area: areacella","HighResMIP [Amon_sparc]","wap (omega)","15","51fb29dd55442361fa9c5dbe23aca9c6","HighResMIP","DECK,HighResMIP","0ad74782-00a8-11e6-ab7d-5404a60d96b5","False","False","False","False","False","False","lo-la-al-ti__wap","m01s30i008"
"2","Air Temperature","K",,,"ta","air_temperature","time: mean","None","real","longitude latitude alevel time","ta","atmos","mon","area: areacella","HighResMIP [Amon_sparc]",,"16","b9c3eb96337c69c1c4a5aab1317f5563","HighResMIP","DECK,HighResMIP","0ad74d36-00a8-11e6-ab7d-5404a60d96b5","False","False","False","False","False","False","lo-la-al-ti__ta","m01s16i004"
"2","square_of_eastward_wind","m2 s-2","u*u",,"u2","square_of_eastward_wind","time: mean",,,"longitude latitude alevel time","u2","atmos","mon","area: areacella","HighResMIP [Amon_sparc]",,"17","59175dc2-9e49-11e5-803c-0d0b866b59f3","HighResMIP","DECK,HighResMIP","0ad752cc-00a8-11e6-ab7d-5404a60d96b5","False","False","False","False","False","False","lo-la-al-ti__u2",
"2","square_of_northwardwind","m2 s-2","v*v",,"v2","square_of_northward_wind","time: mean",,,"longitude latitude alevel time","v2","atmos","mon","area: areacella","HighResMIP [Amon_sparc]",,"18","591485b6-9e49-11e5-803c-0d0b866b59f3","HighResMIP","DECK,HighResMIP","0ad75844-00a8-11e6-ab7d-5404a60d96b5","False","False","False","False","False","False","lo-la-al-ti__v2",
"2","square_of_omega","Pa2 s-2","omega*omega",,"wap2","square_of_lagrangian_tendency_of_air_pressure","time: mean",,,"longitude latitude alevel time","wap2","atmos","mon","area: areacella","HighResMIP [Amon_sparc]",,"19","591371b2-9e49-11e5-803c-0d0b866b59f3","HighResMIP","DECK,HighResMIP","0ad75dbc-00a8-11e6-ab7d-5404a60d96b5","False","False","False","False","False","False","lo-la-al-ti__wap2",
"2","square_of_air_temperature","K2","t*t",,"t2","square_of_air_temperature","time: mean",,,"longitude latitude alevel time","t2","atmos","mon","area: areacella","HighResMIP [Amon_sparc]",,"20","590d82de-9e49-11e5-803c-0d0b866b59f3","HighResMIP","DECK,HighResMIP","0ad76320-00a8-11e6-ab7d-5404a60d96b5","False","False","False","False","False","False","lo-la-al-ti__t2",
"2","eastward_wind_times_northward_wind","m2 s-2","u*v",,"uv","product_of_eastward_wind_and_northward_wind","time: mean",,,"longitude latitude alevel time","uv","atmos","mon","area: areacella","HighResMIP [Amon_sparc]",,"21","59137496-9e49-11e5-803c-0d0b866b59f3","HighResMIP","DECK,HighResMIP","0ad7688e-00a8-11e6-ab7d-5404a60d96b5","False","False","False","False","False","False","lo-la-al-ti__uv",
"2","eastward_wind_times_omega","Pa m s-2","u*omega",,"uwap","product_of_eastward_wind_and_omega","time: mean",,,"longitude latitude alevel time","uwap","atmos","mon","area: areacella","HighResMIP [Amon_sparc]",,"22","591792ce-9e49-11e5-803c-0d0b866b59f3","HighResMIP","DECK,HighResMIP","0ad76e24-00a8-11e6-ab7d-5404a60d96b5","False","False","False","False","False","False","lo-la-al-ti__uwap",
"2","northward_wind_times_omega","Pa m s-2","v*omega",,"vwap","product_of_northward_wind_and_omega","time: mean",,,"longitude latitude alevel time","vwap","atmos","mon","area: areacella","HighResMIP [Amon_sparc]",,"23","590ec446-9e49-11e5-803c-0d0b866b59f3","HighResMIP","DECK,HighResMIP","0ad773a6-00a8-11e6-ab7d-5404a60d96b5","False","False","False","False","False","False","lo-la-al-ti__vwap",
"2","air_temperature_times_eastward_wind","K m s-1","u*t",,"ut","product_of_eastward_wind_and_air_temperature","time: mean",,,"longitude latitude alevel time","ut","atmos","mon","area: areacella","HighResMIP [Amon_sparc]",,"24","5917841e-9e49-11e5-803c-0d0b866b59f3","HighResMIP","DECK,HighResMIP","0ad77914-00a8-11e6-ab7d-5404a60d96b5","False","False","False","False","False","False","lo-la-al-ti__ut",
"2","air_temperature_times_northward_wind","K m s-1","v*t",,"vt","product_of_northward_wind_and_air_temperature","time: mean",,,"longitude latitude alevel time","vt","atmos","mon","area: areacella","HighResMIP [Amon_sparc]",,"25","5914668a-9e49-11e5-803c-0d0b866b59f3","HighResMIP","DECK,HighResMIP","0ad78008-00a8-11e6-ab7d-5404a60d96b5","False","False","False","False","False","False","lo-la-al-ti__vt",
"2","air_temperature_times_omega","K Pa s-1","omega*t",,"twap","product_of_omega_and_air_temperature","time: mean",,,"longitude latitude alevel time","twap","atmos","mon","area: areacella","HighResMIP [Amon_sparc]",,"26","590f753a-9e49-11e5-803c-0d0b866b59f3","HighResMIP","DECK,HighResMIP","0ad7858a-00a8-11e6-ab7d-5404a60d96b5","False","False","False","False","False","False","lo-la-al-ti__twap",
"2","x_gravity_wave_drag_param","Pa","Parameterised x-component of gravity wave drag",,"xgwdparam","atmosphere_eastward_stress_due_to_gravity_wave_drag","time: mean",,,"longitude latitude alevel time","xgwdparam","atmos","mon","area: areacella","HighResMIP [Amon_sparc]",,"27","591472f6-9e49-11e5-803c-0d0b866b59f3","HighResMIP","DECK,HighResMIP","0ad78b02-00a8-11e6-ab7d-5404a60d96b5","False","False","False","False","False","False","lo-la-al-ti__xgwdparam",
"2","y_gravity_wave_drag_param","Pa","Parameterised y- component of gravity wave drag",,"ygwdparam","atmosphere_northward_stress_due_to_gravity_wave_drag","time: mean",,,"longitude latitude alevel time","ygwdparam","atmos","mon","area: areacella","HighResMIP [Amon_sparc]",,"28","59132e1e-9e49-11e5-803c-0d0b866b59f3","HighResMIP","DECK,HighResMIP","0ad7907a-00a8-11e6-ab7d-5404a60d96b5","False","False","False","False","False","False","lo-la-al-ti__ygwdparam",
"2","Column Integrated Mass Flux","kg m-1 s-1","Column integral of (mcu-mcd)","Column integrated mass flux","columnmassflux",,"time: mean",,,"longitude latitude time  ","columnmassflux","atmos","mon","area: areacella","HighResMIP [Amon_conv]",,"20","590d8018-9e49-11e5-803c-0d0b866b59f3","HighResMIP","DECK,HighResMIP","73ea8722-12df-11e6-aac2-ac72891c3257",,,,,,"CHECK",,
