"Priority","Long name","units","description","comment","Variable Name","CF Standard Name","cell_methods","positive","type","dimensions","CMOR Name","modeling_realm","frequency","cell_measures","prov","provNote","rowIndex","vid","MIPs (requesting)","MIPs (by experiment)","uid","AWI","CNRM","CMCC","ECEarth","MPI","METOFFICE","MO_key","STASH"
"1","Zonal Mean Diabatic Heating Rates","K s-1","The diabatic heating rates due to all the processes that may change potential temperature","zonal mean; hence YZT","zmtnt","tendency_of_air_temperature_due_to_diabatic_processes","time: mean","None","real","latitude plev19 time","zmtnt17","atmos","mon","area: areacella","DynVar [DYVR_monthly_a]",,"4","00efa75221917486576896481325ce2f","DynVar","AerChemMIP,CMIP6,DECK,HighResMIP,ScenarioMIP,SolarMIP,VolMIP","0abd3c02-00a8-11e6-ab7d-5404a60d96b5",,,,,,"False","la-p-ti__zmtnt17","Structure not defined"
"2","Zonal Mean Diabatic Heating Rates","K s-1","The diabatic heating rates due to all the processes that may change potential temperature","zonal mean; hence YZT","zmtnt","tendency_of_air_temperature_due_to_diabatic_processes","time: mean","None","real","latitude plev23 time","zmtnt23","atmos","mon","area: areacella","DynVar [DYVR_monthly_a]",,"4","00efa75221917486576896481325ce2f","DynVar","AerChemMIP,CMIP6,DECK,HighResMIP,ScenarioMIP,SolarMIP,VolMIP","4a5dda9a-00b9-11e6-a080-5404a60d96b5",,,,,,"False","la-p-ti__zmtnt23","Structure not defined"
"1","Longwave heating rate","K s-1","longwave heating rates","zonal mean; hence YZT","tntlw","tendency_of_air_temperature_due_to_longwave_heating","time: mean","None","real","latitude plev19 time","tntlw17","atmos","mon","area: areacella","DynVar [DYVR_monthly_a]",,"5","980bd6fda0d6e911486c34222d691912","DynVar","AerChemMIP,CMIP6,DECK,HighResMIP,ScenarioMIP,SolarMIP,VolMIP","0abd431e-00a8-11e6-ab7d-5404a60d96b5",,,,,,"False","la-p-ti__tntlw17","Structure not defined"
"2","Longwave heating rate","K s-1","longwave heating rates","zonal mean; hence YZT","tntlw","tendency_of_air_temperature_due_to_longwave_heating","time: mean","None","real","latitude plev23 time","tntlw23","atmos","mon","area: areacella","DynVar [DYVR_monthly_a]",,"5","980bd6fda0d6e911486c34222d691912","DynVar","AerChemMIP,CMIP6,DECK,HighResMIP,ScenarioMIP,SolarMIP,VolMIP","4a60d9e8-00b9-11e6-a080-5404a60d96b5",,,,,,"False","la-p-ti__tntlw23","Structure not defined"
"1","Shortwave heating rate","K s-1","shortwave heating rates","zonal mean; hence YZT","tntsw","tendency_of_air_temperature_due_to_shortwave_heating","time: mean","None","real","latitude plev19 time","tntsw17","atmos","mon","area: areacella","DynVar [DYVR_monthly_a]",,"6","96a377b2918c99255e12e1ec0fdb9901","DynVar","AerChemMIP,CMIP6,DECK,HighResMIP,ScenarioMIP,SolarMIP,VolMIP","0abd485a-00a8-11e6-ab7d-5404a60d96b5",,,,,,"False","la-p-ti__tntsw17","Structure not defined"
"2","Shortwave heating rate","K s-1","shortwave heating rates","zonal mean; hence YZT","tntsw","tendency_of_air_temperature_due_to_shortwave_heating","time: mean","None","real","latitude plev23 time","tntsw23","atmos","mon","area: areacella","DynVar [DYVR_monthly_a]",,"6","96a377b2918c99255e12e1ec0fdb9901","DynVar","AerChemMIP,CMIP6,DECK,HighResMIP,ScenarioMIP,SolarMIP,VolMIP","4a624530-00b9-11e6-a080-5404a60d96b5",,,,,,"False","la-p-ti__tntsw23","Structure not defined"
"1","temperature tendency orographic gravity wave dissipation","K s^-1","Temperature tendency due to dissipation of parameterized orographic gravity waves.","zonal mean; hence YZT","tntogw","temperature_tendency_due_to_dissipation_orographic_gravity_wave_drag","time: mean",,,"latitude plev19 time","tntogw17",,"mon","area: areacella","DynVar [DYVR_monthly_b]",,"7","5912b4e8-9e49-11e5-803c-0d0b866b59f3","DynVar","AerChemMIP,CMIP6,DECK,HighResMIP,ScenarioMIP,SolarMIP,VolMIP","0abd4ec2-00a8-11e6-ab7d-5404a60d96b5",,,,,,"False","la-p-ti__tntogw17","Structure not defined"
"2","temperature tendency orographic gravity wave dissipation","K s^-1","Temperature tendency due to dissipation of parameterized orographic gravity waves.","zonal mean; hence YZT","tntogw","temperature_tendency_due_to_dissipation_orographic_gravity_wave_drag","time: mean",,,"latitude plev23 time","tntogw23",,"mon","area: areacella","DynVar [DYVR_monthly_b]",,"7","5912b4e8-9e49-11e5-803c-0d0b866b59f3","DynVar","AerChemMIP,CMIP6,DECK,HighResMIP,ScenarioMIP,SolarMIP,VolMIP","4a645da2-00b9-11e6-a080-5404a60d96b5",,,,,,"False","la-p-ti__tntogw23","Structure not defined"
"1","temperature tendency nonorographic gravity wave dissipation","K s^-1","Temperature tendency due to dissipation of parameterized nonorographic gravity waves.","zonal mean; hence YZT","tntnogw","temperature_tendency_due_to_dissipation_nonorographic_gravity_wave_drag","time: mean",,,"latitude plev19 time","tntnogw17",,"mon","area: areacella","DynVar [DYVR_monthly_b]",,"8","5913e8ea-9e49-11e5-803c-0d0b866b59f3","DynVar","AerChemMIP,CMIP6,DECK,HighResMIP,ScenarioMIP,SolarMIP,VolMIP","0abd54da-00a8-11e6-ab7d-5404a60d96b5",,,,,,"False","la-p-ti__tntnogw17","Structure not defined"
"2","temperature tendency nonorographic gravity wave dissipation","K s^-1","Temperature tendency due to dissipation of parameterized nonorographic gravity waves.","zonal mean; hence YZT","tntnogw","temperature_tendency_due_to_dissipation_nonorographic_gravity_wave_drag","time: mean",,,"latitude plev23 time","tntnogw23",,"mon","area: areacella","DynVar [DYVR_monthly_b]",,"8","5913e8ea-9e49-11e5-803c-0d0b866b59f3","DynVar","AerChemMIP,CMIP6,DECK,HighResMIP,ScenarioMIP,SolarMIP,VolMIP","4a62b010-00b9-11e6-a080-5404a60d96b5",,,,,,"False","la-p-ti__tntnogw23","Structure not defined"
