"priority","long_name","units","description","comment","name","standard_name","cell_methods","positive","type","dimensions","out_name","modeling_realm","frequency","cell_measures","prov","provNote","rowIndex","vid","MIPs (requesting)","MIPs (by experiment)","uid","AWI","CNRM","CMCC","ECEarth","MPI","METOFFICE","MO_key","STASH"
"3","Precipitation","kg m-2 s-1","includes both liquid and solid phases","Total precipitation flux","pr","precipitation_flux","time: point","None","real","longitude latitude time1","pr","atmos","subhr","area: areacella","HighResMIP [1ts]",,"13","62f26742cf240c1b5169a5cd511196b6","HighResMIP","DECK,HighResMIP","0ad9827c-00a8-11e6-ab7d-5404a60d96b5","False","False","False","False","False","False","lo-la-ti__pr","m01s05i216"
"3","Convective Precipitation","kg m-2 s-1","at surface; includes both liquid and solid phases.","Convective precipitation flux","prc","convective_precipitation_flux","time: point","None","real","longitude latitude time1","prc","atmos","subhr","area: areacella","HighResMIP [1ts]",,"14","aa2bea81f238ad8f2c35a7e16ad97801","HighResMIP","DECK,HighResMIP","0ad988e4-00a8-11e6-ab7d-5404a60d96b5","False","False","False","False","False","False","lo-la-ti__prc","m01s05i205,m01s05i206"
"3",,"K","near-surface (usually, 2 meter) air temperature",,"tas","air_temperature","time: point","None","real","longitude latitude time1","tas","atmos","subhr","area: areacella","HighResMIP [1ts]",,"15","5c4978e802ba55d5a298cf1b3bdc2b3a","HighResMIP","DECK,HighResMIP","0ad98de4-00a8-11e6-ab7d-5404a60d96b5","False","False","False","False","False","False","lo-la-ti__tas","m01s03i236"
"3","Near-Surface Specific Humidity","1.0","near-surface (usually, 2 meter) specific humidity.",,"huss","specific_humidity","time: point","None","real","longitude latitude time1","huss","atmos","subhr","area: areacella","HighResMIP [1ts]",,"16","ebfefc2ab8716ef597b128171b275945","HighResMIP","DECK,HighResMIP","0ad992ee-00a8-11e6-ab7d-5404a60d96b5","False","False","False","False","False","False","lo-la-ti__huss","m01s03i237"
"3","Eastward Wind","m s-1",,,"ua","eastward_wind","time: point","None","real","longitude latitude time1","ua","atmos","subhr","area: areacella","HighResMIP [1ts]",,"17","21db90c0a12448299f855fdab60930d4","HighResMIP","DECK,HighResMIP","0ad997da-00a8-11e6-ab7d-5404a60d96b5","False","False","False","False","False","False","lo-la-ti__ua","LEVELS?"
"3","Northward Wind","m s-1",,,"va","northward_wind","time: point","None","real","longitude latitude time1","va","atmos","subhr","area: areacella","HighResMIP [1ts]",,"18","2dedcb347c18e132a2f4d625abf94585","HighResMIP","DECK,HighResMIP","0ad99cc6-00a8-11e6-ab7d-5404a60d96b5","False","False","False","False","False","False","lo-la-ti__va","LEVELS?"
"3","Surface Upward Sensible Heat Flux","W m-2",,,"hfss","surface_upward_sensible_heat_flux","time: point","up","real","longitude latitude time1","hfss","atmos","subhr","area: areacella","HighResMIP [1ts]",,"19","a13ed886b17e20cdae8b89b9ff8e4610","HighResMIP","DECK,HighResMIP","0ad9a216-00a8-11e6-ab7d-5404a60d96b5","False","False","False","False","False","False","lo-la-ti__hfss","m01s03i217"
"3","Surface Upward Latent Heat Flux","W m-2",,,"hfls","surface_upward_latent_heat_flux","time: point","up","real","longitude latitude time1","hfls","atmos","subhr","area: areacella","HighResMIP [1ts]",,"20","95cbf6ac889c8fe7d92e20e8c34960d1","HighResMIP","DECK,HighResMIP","0ad9a70c-00a8-11e6-ab7d-5404a60d96b5","False","False","False","False","False","False","lo-la-ti__hfls","m01s03i234"
"3","TOA Incident Shortwave Radiation","W m-2","at the top of the atmosphere",,"rsdt","toa_incoming_shortwave_flux","time: point","down","real","longitude latitude time1","rsdt","atmos","subhr","area: areacella","HighResMIP [1ts]",,"21","a21e250a10f96b1c1ad6d742206a157e","HighResMIP","DECK,HighResMIP","0ad9abe4-00a8-11e6-ab7d-5404a60d96b5","False","False","False","False","False","False","lo-la-ti__rsdt","m01s01i207"
"3","toa outgoing shortwave radiation","W m-2","at the top of the atmosphere",,"rsut","toa_outgoing_shortwave_flux","time: point","up","real","longitude latitude time1","rsut","atmos","subhr","area: areacella","HighResMIP [1ts]",,"22","b907fef85d4c9571a9457ee1b259bb8f","HighResMIP","DECK,HighResMIP","0ad9b0bc-00a8-11e6-ab7d-5404a60d96b5","False","False","False","False","False","False","lo-la-ti__rsut","m01s01i208"
"3","toa outgoing longwave radiation","W m-2","at the top of the atmosphere (to be compared with satellite measurements)",,"rlut","toa_outgoing_longwave_flux","time: point","up","real","longitude latitude time1","rlut","atmos","subhr","area: areacella","HighResMIP [1ts]",,"23","63345d9732c72b97ca395f24ce2d6642","HighResMIP","DECK,HighResMIP","0ad9b59e-00a8-11e6-ab7d-5404a60d96b5","False","False","False","False","False","False","lo-la-ti__rlut","m01s03i332"
"3","Water Vapor Path","kg m-2","vertically integrated through the atmospheric column",,"prw","atmosphere_water_vapor_content","time: point","None","real","longitude latitude time1","prw","atmos","subhr","area: areacella","HighResMIP [1ts]",,"24","fc637f1c75e58be8a6e4112411a00f36","HighResMIP","DECK,HighResMIP","0ad9ba76-00a8-11e6-ab7d-5404a60d96b5","False","False","False","False","False","False","lo-la-ti__prw","m01s30i404,m01s30i403,m01s30i405,m01s30i406"
"3","boundary_layer_depth","m","Boundary layer depth",,"bldep","atmosphere_boundary_layer_thickness","time: point",,,"longitude latitude time1","bldep","atmos","subhr","area: areacella","HighResMIP [1ts]",,"25","590e3c7e-9e49-11e5-803c-0d0b866b59f3","HighResMIP","DECK,HighResMIP","0ad9c002-00a8-11e6-ab7d-5404a60d96b5","False","False","False","False","False","False","lo-la-ti__bldep","m01s00i025"
"3","omega (=dp/dt)","Pa s-1","commonly referred to as """"omega"""", this represents the vertical component of velocity in pressure coordinates (positive down)",,"wap","lagrangian_tendency_of_air_pressure","time: point","None","real","longitude latitude alevel time1","wap","atmos","subhr","area: areacella","HighResMIP [1ts]",,"26","51fb29dd55442361fa9c5dbe23aca9c6","HighResMIP","DECK,HighResMIP","0ad9c4f8-00a8-11e6-ab7d-5404a60d96b5","False","False","False","False","False","False","lo-la-al-ti__wap","m01s30i008"
"3","Air Temperature","K",,,"ta","air_temperature","time: point","None","real","longitude latitude alevel time1","ta","atmos","subhr","area: areacella","HighResMIP [1ts]",,"27","b9c3eb96337c69c1c4a5aab1317f5563","HighResMIP","DECK,HighResMIP","0ad9caa2-00a8-11e6-ab7d-5404a60d96b5","False","False","False","False","False","False","lo-la-al-ti__ta","m01s16i004"
