"Priority","Long name","units","description","comment","Variable Name","CF Standard Name","cell_methods","positive","type","dimensions","CMOR Name","modeling_realm","frequency","cell_measures","prov","provNote","rowIndex","vid","MIPs (requesting)","MIPs (by experiment)","uid","AWI","CNRM","CMCC","ECEarth","MPI","METOFFICE","MO_key","STASH"
"1","Precipitation maximum","kg m-2 s-1","maximum precipitation rate ","the maximum of time step precip rate within each day","prmax","precipitation_flux","time: maximum","None","real","longitude latitude time  ","prmax","atmos","day","area: areacella","PRIM additional",,,,,,"primDay_prmax",0,"False","False","x","False","UM:1","lo-la-ti__prmax","m01s05i216"
"1","Precipitation minimum","kg m-2 s-1","minimum precipitation rate ","the minimum of time step precip rate within each day","prmin","precipitation_flux","time: minimum","None","real","longitude latitude time  ","prmin","atmos","day","area: areacella","PRIM additional",,,,,,"primDay_prmin",0,"False","False","x","False","UM:1","lo-la-ti__prmin","m01s05i216"
"1","Total Soil Moisture Content","kg m-2","the mass per unit area  (summed over all soil layers) of water in all phases.","the mass per unit area  (summed over all soil layers) of water in all phases.","mrso","soil_moisture_content","time: mean area: mean where land","None","real","longitude latitude time","mrso","land","day","area: areacella","PRIM additional",,,,,,"primDay_mrso",0,"False","False","x","False","UM:1","lo-la-ti_a:m-land_mrso","m01s08i223"
"1","Water Content of Soil Layer","kg m-2","in each soil layer, the mass of water in all phases, including ice.  Reported as """"missing"""" for grid cells occupied entirely by """"sea""""","in each soil layer, the mass of water in all phases, including ice.  Reported as """"missing"""" for grid cells occupied entirely by """"sea""""","mrlsl","moisture_content_of_soil_layer","time: mean area: mean where land","None","real","longitude latitude sdepth time","mrlsl","land","day","area: areacella","PRIM additional",,,,,,"primDay_mrlsl","x","False","False","x","x","UM:1","lo-la-ti_a:m-land_mrlsl","m01s08i223"
"1","Evaporation","kg m-2 s-1","at surface; flux of water into the atmosphere due to conversion of both liquid and solid phases to vapor (from underlying surface and vegetation)","at surface; flux of water into the atmosphere due to conversion of both liquid and solid phases to vapor (from underlying surface and vegetation)","evspsbl","water_evaporation_flux","time: mean","None","real","longitude latitude time","evspsbl","atmos","day","area: areacella","PRIM additional",,,,,,"primDay_evspsbl","x","False","False","x","x","UM:1","lo-la-ti__evspsbl","m01s03i223"
1,"Eastward Neutral wind","m s-1","Neutral eastward wind at 10m",,"uneutrals","eastward_neurtral_wind","time: mean","None","real","longitude latitude time",,"atmos","day",,"MJR additional",,,,,,"primDay_uneutrals",,,,,,"UM:1","lo-la-ti__uneutrals","m01s03i365"
1,"Northward Neutral wind","m s-1","Neutral northward wind at 10m",,"vneutrals","northward_neutral_wind","time: mean","None","real","longitude latitude time",,"atmos","day",,"MJR additional",,,,,,"primDay_vneutrals",,,,,,"UM:1","lo-la-ti__vneutrals","m01s03i366"
"1","Surface Temperature","K","""skin"" temperature (i.e., SST for open ocean)","""""skin"""" temperature (i.e., SST for open ocean)","ts","surface_temperature","time: mean","None","real","longitude latitude time","ts","atmos","day","area: areacella","MJR additional",,,,,,"primDay_ts",,,,,,"UM:1","lo-la-ti__ts","m01s00i024"
"1","Surface Downward Eastward Wind Stress","Pa","unset","Data output on ATMOSPHERE GRID","tauu","surface_downward_eastward_stress","time: mean","None","real","longitude latitude time","tauu","atmos","day","area: areacella","MJR additional",,,,,,"primDay_tauu",,,,,,"UM:1","lo-la-ti__tauu","m01s03i219"
"1","Surface Downward Northward Wind Stress","Pa","unset","Data output on ATMOSPHERE GRID","tauv","surface_downward_northward_stress","time: mean","None","real","longitude latitude time","tauv","atmos","day","area: areacella","MJR additional",,,,,,"primDay_tauv",,,,,,"UM:1","lo-la-ti__tauv","m01s03i220"
