"priority","long_name","units","description","comment","name","standard_name","cell_methods","positive","type","dimensions","out_name","modeling_realm","frequency","cell_measures","prov","provNote","rowIndex","vid","MIPs (requesting)","MIPs (by experiment)","uid","AWI","CNRM","CMCC","ECEarth","MPI","METOFFICE","MO_key","STASH"
1,"Tendency of sea water potential temperature","W m-2",,,"opottemptend","tendency_of_sea_water_potential_temperature_expressed_as_heat_content","time: mean area: mean where sea",,"real","longitude latitude time","opottemptend","ocean","mon","area: areacello","OMIP upgrades",,,,,,"primOmon_opottemptend","x",,"False","x","x","False","lo-la-ti_a:m-sea_opottemptend",
1,"VT","degree_C m s-1","temperature times Y-component of ocean velocity",,"vto","product_of_yward_sea_water_velocity_and_temperature","time: mean area: mean where sea",,"real","longitude latitude olevel time",,"ocean","mon","area: areacello","PRIMAVERA additional",,,,,,"primOmon_vto","x",,"False","False","x","NEMO:1","lo-la-ol-ti_a:m-sea_vto",
1,"UT","degree_C m s-1","temperature times X-component of ocean velocity",,"uto","product_of_xward_sea_water_velocity_and_temperature","time: mean area: mean where sea",,"real","longitude latitude olevel time",,"ocean","mon","area: areacello","PRIMAVERA additional",,,,,,"primOmon_uto","x",,"False","False","x","NEMO:1","lo-la-ol-ti_a:m-sea_uto",
1,"UU","m2 s-2","square of X-component of ocean velocity",,"u2o","square_of_sea_water_x_velocity","time: mean area: mean where sea",,"real","longitude latitude olevel time",,"ocean","mon","area: areacello","PRIMAVERA additional",,,,,,"primOmon_u2o","x",,"False","x","x","NEMO:1","lo-la-ol-ti_a:m-sea_u2o",
1,"VV","m2 s-2","square of Y-component of ocean velocity",,"v2o","square_of_sea_water_y_velocity","time: mean area: mean where sea",,"real","longitude latitude olevel time",,"ocean","mon","area: areacello","PRIMAVERA additional",,,,,,"primOmon_v2o","x",,"False","x","x","NEMO:1","lo-la-ol-ti_a:m-sea_v2o",
1,"US","m s-1","salinity times X-component of ocean velocity",,"uso","product_of_xward_sea_water_velocity_and_salinity","time: mean area: mean where sea",,"real","longitude latitude olevel time",,"ocean","mon","area: areacello","PRIMAVERA additional",,,,,,"primOmon_uso","x",,"False","x","x","NEMO:1","lo-la-ol-ti_a:m-sea_uso",
1,"VS","m s-1","salinity times Y-component of ocean velocity",,"vso","product_of_yward_sea_water_velocity_and_salinity","time: mean area: mean where sea",,"real","longitude latitude olevel time",,"ocean","mon","area: areacello","PRIMAVERA additional",,,,,,"primOmon_vso","x",,"False","x","x","NEMO:1","lo-la-ol-ti_a:m-sea_vso",
1,"WW","m2 s-2","square of vertical component of ocean velocity",,"w2o","square_of_sea_water_upward_velocity","time: mean area: mean where sea",,"real","longitude latitude olevel time",,"ocean","mon","area: areacello","PRIMAVERA additional",,,,,,"primOmon_w2o",,,,"False",,"False","lo-la-ol-ti_a:m-sea_w2o",
1,"WT","degree_C m s-1","temperature times vertical component of ocean velocity",,"wto","product_of_upward_sea_water_velocity_and_salinity","time: mean area: mean where sea",,"real","longitude latitude olevel time",,"ocean","mon","area: areacello","PRIMAVERA additional",,,,,,"primOmon_wto",,,,"False",,"False","lo-la-ol-ti_a:m-sea_wto",
1,"WS","m s-1","salinity times vertical component of ocean velocity",,"wso","product_of_upward_sea_water_velocity_and_salinity","time: mean area: mean where sea",,"real","longitude latitude olevel time",,"ocean","mon","area: areacello","PRIMAVERA additional",,,,,,"primOmon_wso",,,,"False",,"False","lo-la-ol-ti_a:m-sea_wso",
1,"W","m s-1","vertical component of ocean velocity",,"wo","upward_sea_water_velocity","time: mean",,"real","longitude latitude olevel time","wo","ocean","mon","area: areacello","#70comment:2",,,,,,"primOmon_wo",,,,"x",,"NEMO:1",,
