"included","table_id","priority","long_name","units","comment","questions & notes","out_name","standard_name","uncinfirmed or proposed standard name","unformatted units","cell_methods","valid_min","valid_max","ok_min_mean_abs","ok_max_mean_abs","positive","dimensions","type","name","modeling_realm","frequency","cell_measures","flag_values","flag_meanings","OMIP priority","OMIP override"
"1","3hr","1","Precipitation","kg m-2 s-1","at surface; includes both liquid and solid phases.  This is the 3-hour mean precipitation flux.","None","pr","precipitation_flux","None","kg m-2 s-1","time: mean","","","","","","longitude latitude time","real","pr","atmos","3hr","area: areacella","None","None","",""
"1","3hr","1","","K","This is sampled synoptically.","None","tas","air_temperature","None","K","time: point","","","","","","longitude latitude time1 height2m","real","tas","atmos","3hr","area: areacella","None","None","",""
"1","3hr","1","Surface Upward Latent Heat Flux","W m-2","This is the 3-hour mean flux.","None","hfls","surface_upward_latent_heat_flux","None","W m-2","time: mean","","","","","up","longitude latitude time","real","hfls","atmos","3hr","area: areacella","None","None","",""
"1","3hr","1","Surface Upward Sensible Heat Flux","W m-2","This is the 3-hour mean flux.","None","hfss","surface_upward_sensible_heat_flux","None","W m-2","time: mean","","","","","up","longitude latitude time","real","hfss","atmos","3hr","area: areacella","None","None","",""
"1","3hr","1","surface downwelling longwave radiation","W m-2","This is the 3-hour mean flux.","None","rlds","surface_downwelling_longwave_flux_in_air","None","W m-2","time: mean","","","","","down","longitude latitude time","real","rlds","atmos","3hr","area: areacella","None","None","",""
"1","3hr","1","surface upwelling longwave radiation","W m-2","This is the 3-hour mean flux.","None","rlus","surface_upwelling_longwave_flux_in_air","None","W m-2","time: mean","","","","","up","longitude latitude time","real","rlus","atmos","3hr","area: areacella","None","None","",""
"1","3hr","1","Surface Downwelling Shortwave Radiation","W m-2","This is the 3-hour mean flux.","None","rsds","surface_downwelling_shortwave_flux_in_air","None","W m-2","time: mean","","","","","down","longitude latitude time","real","rsds","atmos","3hr","area: areacella","None","None","",""
"1","3hr","1","surface upwelling shortwave radiation","W m-2","This is the 3-hour mean flux.","None","rsus","surface_upwelling_shortwave_flux_in_air","None","W m-2","time: mean","","","","","up","longitude latitude time","real","rsus","atmos","3hr","area: areacella","None","None","",""
"1","3hr","1","Eastward Near-Surface Wind","m s-1","This is sampled synoptically.","None","uas","eastward_wind","None","m s-1","time: point","","","","","","longitude latitude time1 height10m","real","uas","atmos","3hr","","None","None","",""
"1","3hr","1","Northward Near-Surface Wind","m s-1","This is sampled synoptically.","None","vas","northward_wind","None","m s-1","time: point","","","","","","longitude latitude time1 height10m","real","vas","atmos","3hr","","None","None","",""
"1","3hr","1","Near-Surface Specific Humidity","1.0","This is sampled synoptically.","None","huss","specific_humidity","None","1.0","time: point","","","","","","longitude latitude time1 height2m","real","huss","atmos","3hr","area: areacella","None","None","",""
"1","3hr","1","Moisture in Upper Portion of Soil Column","kg m-2","the mass of water in all phases in a thin surface soil layer.","None","mrsos","moisture_content_of_soil_layer","None","kg m-2","time: point area: mean where land","","","","","","longitude latitude time1 sdepth1","real","mrsos","land","3hr","area: areacella","None","None","",""
